Ankunft ▼,Ist ▼,Zugnr. ▼,von (Abfahrt) ▼,Gleis ▼
00:01,00:01,RE 94749,Potsdam Hbf (ab 23:32),1
00:12,00:12,RB 21962,Flughafen BER (ab 23:42),4
00:18,00:18,RE 73826,Frankfurt(Oder) (ab 23:07),4
00:24,00:24,RE 3745,Senftenberg (ab 22:26),4
00:46,00:46,RE 3141,Cottbus Hbf (ab 23:03),3
01:06,01:06,RE 3742,Dessau Hbf (ab 23:23),1
01:45,01:45,RB 21969,Eisenach Hbf (ab 12:13),1
05:28,05:28,RE 3102,Hennigsdorf(b Berlin) (ab 04:33),1
05:47,05:47,RE 3704,Dessau Hbf (ab 04:05),1
06:01,06:01,RE 94713,Berlin-Wannsee (ab 05:39),1
06:28,06:28,RE 3104,Hennigsdorf(b Berlin) (ab 05:35),1
06:32,06:32,RE 3105,Cottbus Hbf (ab 04:57),4
06:48,06:48,RE 3706,Dessau Hbf (ab 05:05),1
07:11,07:11,RE 3711,Senftenberg (ab 05:11),3
07:19 (+20),07:39,RE 94762,Frankfurt(Oder) (ab 06:11),
07:28,07:28,RE 3106,Hennigsdorf(b Berlin) (ab 06:35),1
07:32,07:32,RE 3107,Cottbus Hbf (ab 06:07),3
07:39,07:39,RE 94757,Potsdam Hbf (ab 07:10),
07:48 (+5),07:53,RE 3708,Dessau Hbf (ab 06:05),1
07:56,07:56,RE 94722,Frankfurt(Oder) (ab 06:42),
08:01,08:01,RE 94717,Berlin-Wannsee (ab 07:39),1
08:11,08:11,RE 3713,Senftenberg (ab 06:14),4
08:19,08:19,RB 94764,Frankfurt(Oder) (ab 07:11),
08:28,08:28,RE 3108,Hennigsdorf(b Berlin) (ab 07:35),1
08:32,08:32,RE 3109,Cottbus Hbf (ab 07:03),4
08:48,08:48,RE 3710,Dessau Hbf (ab 07:05),1
09:11,09:11,RE 3715,Senftenberg (ab 07:14),3
09:28,09:28,RE 3110,Hennigsdorf(b Berlin) (ab 08:35),1
09:32,09:32,RE 3111,Cottbus Hbf (ab 08:04),3
09:48,09:48,RE 3712,Bad Belzig (ab 08:41),1
10:01,10:01,RE 94721,Berlin-Wannsee (ab 09:39),1
10:11,10:11,RE 3717,Senftenberg (ab 08:14),4
