Ankunft ▼,Ist ▼,Zugnr. ▼,von (Abfahrt) ▼,Gleis ▼
00:23,00:23,RB 92138,Nauen (ab 23:39),
04:24 (+17),04:41,RE 62040,Nauen (ab 04:03),
06:49,06:49,RE 73715,Magdeburg Hbf (ab 04:59),4
09:49,09:49,RE 73721,Magdeburg Hbf (ab 08:10),4
10:32 (+2),10:34,ICE 996,Kassel-Wilhelmshöhe (ab 07:49),4
12:20 (+6),12:26,IC 2035,Leer(Ostfriesl) (ab 06:41),1
12:31,12:31,ICE 994,Stuttgart Hbf (ab 06:28),4
14:31 (+24),14:55,ICE 992,Frankfurt(M) Flughafen Fernbf (ab 10:09),4
14:50,14:50,RE 73731,Magdeburg Hbf (ab 13:10),4
16:31 (+5),16:36,ICE 798,Karlsruhe Hbf (ab 10:40),
17:48,17:48,RE 73737,Magdeburg Hbf (ab 16:10),4
17:54 (+1),17:55,RE 3627,Neuruppin Rheinsberger Tor (ab 16:31),
18:20 (+6),18:26,IC 2431,Emden Außenhafen (ab 12:01),1
18:31 (+21),18:52,ICE 796,Frankfurt(M) Flughafen Fernbf (ab 14:09),
18:50,18:50,RB 18627,Nauen (ab 18:11),3
18:55,18:55,RB 3629,Diekirch (ab 04:51),2
18:55 (+1),18:56,RE 3629,Neuruppin Rheinsberger Tor (ab 17:29),
19:34,19:34,RB 18268,Wustermark (ab 19:09),2
20:30 (+3),20:33,ICE 794,Karlsruhe Hbf (ab 14:40),4
