Abfahrt,Zugnr.,nach (Ankunft),Gleis
17:32 (+1),RE 3314,Stralsund Hbf (an 20:44),9
17:44 (+2),IC 2174,Rostock Hbf (an 19:37),9
17:54 (+1),RE 3516,Stralsund Hbf (an 20:51),9
18:06,RE 3515,Berlin Südkreuz (an 18:23),6
18:17 (+2),IC 2273,Dresden Hbf (an 20:28),6
18:23 Ausfall,RB 3630,Perleberg (an 20:51),
18:24 (+2),RE 3313,Lutherstadt Wittenberg Hbf (an 20:07),6
18:26 (+3),ICE 1105,München Hbf (an 22:45),7
18:32 (+1),RE 3354,Schwedt(Oder) (an 19:55),10
18:46 (+3),ICE 697,Frankfurt(Main)Hbf (an 23:44),7
18:54,RE 4364,Rostock Hbf (an 21:21),10
19:06 (+3),RE 4365,Berlin Südkreuz (an 19:23),6
19:14,RB 18271,Berlin-Spandau (an 19:28),
19:16 (+2),RB 56815,Schwerin Hbf (an 21:48),10
19:16,RE 56815,Schwerin Hbf (an 21:48),
19:23,RB 3632,Perleberg (an 21:51),
19:26 (+3),ICE 1605,München Hbf (an 23:52),7
19:32 (+1),RE 3316,Stralsund Hbf (an 22:49),9
19:42 (+1),ICE 805,Nürnberg Hbf (an 23:07),6
19:44 (+2),IC 2172,Rostock Hbf (an 21:37),9
19:54 (+1),RE 3518,Stralsund Hbf (an 22:51),9
20:06,RE 3517,Berlin Südkreuz (an 20:22),6
20:23,RB 3634,Perleberg (an 22:51),
20:24,RE 3315,Lutherstadt Wittenberg Hbf (an 22:07),6
20:26 (+1),ICE 1107,München Hbf (an 00:50),7
20:32,RE 3356,Schwedt(Oder) (an 21:55),9
20:54 (+20),RE 4366,Rostock Hbf (an 23:21),9
20:56,ICE 939,Berlin Südkreuz (an 21:08),6
21:06 (+5),RE 4367,Berlin Südkreuz (an 21:23),6
21:14,RB 18275,Berlin-Spandau (an 21:28),
21:16,RB 56817,Schwerin Hbf (an 23:48),
21:16,RE 56817,Schwerin Hbf (an 23:48),
21:18,ICE 2837,Erfurt Hbf (an 23:38),
21:18,ICE 2933,München Hbf (an 07:49),7
21:18,ICE 699,München Hbf (an 07:49),7
21:21,RE 3318,Pasewalk (an 23:14),9
21:23,RB 3636,Neuruppin West (an 22:30),
21:24,RE 3357,Jüterbog (an 22:30),6
21:54,RE 3520,Neubrandenburg (an 23:29),9
22:06,RE 3519,Berlin Südkreuz (an 22:23),6
22:23 Ausfall,RB 3638,Neuruppin West (an 23:30),
22:31,RE 3317,Lutherstadt Wittenberg Hbf (an 00:08),6
22:32,RE 3358,Schwedt(Oder) (an 23:56),9
22:41,RB 56814,Berlin Südkreuz (an 22:53),6
22:41,RE 56814,Berlin Südkreuz (an 22:53),6
22:54,RE 4368,Rostock Hbf (an 01:10),9
23:06 (+1),RE 4369,Berlin Südkreuz (an 23:24),6
23:20,ICE 2939,München Hbf (an 07:15),
23:20 (+6),ICE 905,München Hbf (an 07:15),7
23:23,RB 3640,Neuruppin West (an 00:30),
23:31,RE 3320,Eberswalde Hbf (an 00:05),9
23:54,RE 3522,Neustrelitz Hbf (an 01:09),9
23:55,RE 3359,Jüterbog (an 01:01),6
