Ankunft,Zugnr.,von (Abfahrt),Gleis
00:28,RE 62038,Wustermark (ab 00:02),
00:29,RB 62086,Baruth(Mark) (ab 23:19),
00:57,RE 3165,Berlin Hbf (ab 00:53),4
02:41 (+1),RB 62089,Wustermark (ab 02:16),
03:07,RE 62090,Berlin Hbf (ab 03:03),4
04:21,RB 18241,Berlin Gesundbrunnen (ab 04:14),4
04:40,RE 62040,Wustermark (ab 04:16),
04:52,RB 62094,Berlin Südkreuz (ab 04:38),
04:58,RE 3144,Rathenow (ab 04:09),
04:59,RE 3145,Berlin Hbf (ab 04:54),4
05:22,RB 18243,Berlin Gesundbrunnen (ab 05:14),4
05:27 (+28),RE 62000,Elstal (ab 05:07),3
05:29 (+1),RE 62003,Baruth(Mark) (ab 04:19),4
05:32 (+1),RB 18240,Werder(Havel) (ab 04:40),3
05:52 (+1),RB 62050,Wünsdorf-Waldstadt (ab 04:50),
05:59,RE 3164,Stendal Hbf (ab 04:48),3
05:59,RE 3167,Jüterbog (ab 05:02),4
06:05 (+1),RB 62051,Wustermark (ab 05:39),3
06:22,RB 18245,Berlin Gesundbrunnen (ab 06:14),4
06:27,RE 62002,Elstal (ab 06:07),3
06:29 (+1),RE 62005,Elsterwerda (ab 04:29),4
06:32 (+1),RB 18242,Werder(Havel) (ab 05:41),3
06:52 (+3),RB 62052,Rangsdorf (ab 06:21),
06:58 (+3),RE 3146,Stendal Hbf (ab 05:48),3
06:59,RE 3147,Falkenberg(Elster) (ab 05:14),4
07:05 (+1),RB 62053,Wustermark (ab 06:39),3
07:22,RB 18247,Berlin Gesundbrunnen (ab 07:14),4
07:27 (+1),RE 62004,Elstal (ab 07:07),3
07:29,RE 62007,Elsterwerda (ab 05:29),4
07:35 (+1),RB 18244,Werder(Havel) (ab 06:43),3
07:52 (+17),RB 62054,Rangsdorf (ab 07:23),
07:59 (+7),RE 3166,Stendal Hbf (ab 06:47),3
07:59,RE 3169,Jüterbog (ab 07:02),4
08:05 (+6),RB 62055,Wustermark (ab 07:39),3
08:27 (+2),RE 62006,Elstal (ab 08:07),3
08:29 (+15),RE 62009,Elsterwerda (ab 06:40),4
08:32,RB 18246,Werder(Havel) (ab 07:41),3
08:52 (+9),RB 62056,Rangsdorf (ab 08:21),4
08:58 (+13),RE 3148,Rathenow (ab 08:05),3
08:59,RE 3149,Falkenberg(Elster) (ab 07:18),4
09:05 (+3),RB 62057,Wustermark (ab 08:39),3
09:20,RB 18251,Berlin Gesundbrunnen (ab 09:14),4
09:27 (+6),RE 62008,Elstal (ab 09:07),3
09:31 (+9),RE 62011,Elsterwerda (ab 07:29),4
09:32 (+7),RB 18248,Werder(Havel) (ab 08:41),3
09:52 (+3),RB 62058,Berlin Südkreuz (ab 09:38),
09:59 (+3),RE 3168,Stendal Hbf (ab 08:47),3
09:59 (+11),RE 3171,Jüterbog (ab 09:02),4
10:04 (+3),RB 62059,Wustermark (ab 09:39),3
10:24 (+4),RE 62010,Elstal (ab 10:05),3
10:29,RE 62013,Elsterwerda (ab 08:40),4
10:32 (+1),RB 18250,Werder(Havel) (ab 09:41),3
10:52,RB 62060,Berlin Südkreuz (ab 10:38),
10:58 (+2),RE 3150,Rathenow (ab 10:02),3
10:59 (+1),RE 3151,Falkenberg(Elster) (ab 09:18),4
