Ankunft,Zugnr.,von (Abfahrt),Ankunftsbhf.
00:33,RE 3141,Bestensee (ab 00:03),Berlin-Lichtenberg
05:32,RB 61142,Werneuchen (ab 05:02),Berlin-Lichtenberg
05:36 (+1),RB 5151,Berlin Ostkreuz (ab 05:33),Berlin-Lichtenberg
05:59,RB 92236,Eberswalde Hbf (ab 05:17),Berlin-Lichtenberg
06:24 (+1),RB 5152,Küstrin-Kietz (ab 05:11),Berlin-Lichtenberg
06:32,RB 61144,Werneuchen (ab 06:02),Berlin-Lichtenberg
06:36 (+1),RB 5153,Berlin Ostkreuz (ab 06:33),Berlin-Lichtenberg
07:24 (+2),RB 5154,Küstrin-Kietz (ab 06:11),Berlin-Lichtenberg
07:32,RB 61146,Werneuchen (ab 07:02),Berlin-Lichtenberg
07:36 (+2),RB 5155,Berlin Ostkreuz (ab 07:33),Berlin-Lichtenberg
08:03,RB 5190,Müncheberg(Mark) (ab 07:19),Berlin-Lichtenberg
08:24,RB 5156,Küstrin-Kietz (ab 07:08),Berlin-Lichtenberg
10:24,RB 5160,Küstrin-Kietz (ab 09:18),Berlin-Lichtenberg
10:40,RB 18210,Schönefeld(bei Berlin) (ab 10:19),Berlin-Lichtenberg
11:36 (+4),RB 5163,Berlin Ostkreuz (ab 11:33),Berlin-Lichtenberg
12:24,RB 5164,Küstrin-Kietz (ab 11:18),Berlin-Lichtenberg
12:58,RB 61116,Templin Stadt (ab 11:32),Berlin-Lichtenberg
13:23 (+1),RB 61159,Berlin Ostkreuz (ab 13:20),Berlin-Lichtenberg
13:24 (+2),RB 5166,Küstrin-Kietz (ab 12:11),Berlin-Lichtenberg
13:36 (+5),RB 5167,Berlin Ostkreuz (ab 13:33),Berlin-Lichtenberg
13:53,RB 91719,Berlin Ostkreuz (ab 13:50),Berlin-Lichtenberg
14:23 (+1),RB 61161,Berlin Ostkreuz (ab 14:20),Berlin-Lichtenberg
14:24 (+1),RB 5168,Küstrin-Kietz (ab 13:18),Berlin-Lichtenberg
14:53 (+1),RB 91721,Berlin Ostkreuz (ab 14:50),Berlin-Lichtenberg
15:23 (+1),RB 61163,Berlin Ostkreuz (ab 15:20),Berlin-Lichtenberg
15:24,RB 5170,Küstrin-Kietz (ab 14:11),Berlin-Lichtenberg
15:36,RB 5171,Berlin Ostkreuz (ab 15:33),Berlin-Lichtenberg
15:53,RB 91723,Berlin Ostkreuz (ab 15:50),Berlin-Lichtenberg
16:23 (+1),RB 61165,Berlin Ostkreuz (ab 16:20),Berlin-Lichtenberg
16:24 (+1),RB 5172,Küstrin-Kietz (ab 15:18),Berlin-Lichtenberg
16:53,RB 91725,Berlin Ostkreuz (ab 16:50),Berlin-Lichtenberg
17:23 (+1),RB 61167,Berlin Ostkreuz (ab 17:20),Berlin-Lichtenberg
17:24,RB 5174,Küstrin-Kietz (ab 16:11),Berlin-Lichtenberg
17:36 (+1),RB 5175,Berlin Ostkreuz (ab 17:33),Berlin-Lichtenberg
17:53,RB 91727,Berlin Ostkreuz (ab 17:50),Berlin-Lichtenberg
18:23 (+1),RB 61169,Berlin Ostkreuz (ab 18:20),Berlin-Lichtenberg
18:24 (+1),RB 5176,Küstrin-Kietz (ab 17:18),Berlin-Lichtenberg
18:53,RB 91729,Berlin Ostkreuz (ab 18:50),Berlin-Lichtenberg
19:23,RB 61171,Berlin Ostkreuz (ab 19:20),Berlin-Lichtenberg
19:24 (+2),RB 5178,Küstrin-Kietz (ab 18:11),Berlin-Lichtenberg
19:36 (+2),RB 5179,Berlin Ostkreuz (ab 19:33),Berlin-Lichtenberg
20:24,RB 5180,Küstrin-Kietz (ab 19:18),Berlin-Lichtenberg
22:24,RB 5184,Küstrin-Kietz (ab 21:18),Berlin-Lichtenberg
22:49,RB 32945,Eberswalde Hbf (ab 22:07),Berlin-Lichtenberg
23:36,RB 5187,Berlin Ostkreuz (ab 23:33),Berlin-Lichtenberg
