Abfahrt,Zugnr.,nach (Ankunft),Abfahrtsbhf.
00:28,RE 3360,Eberswalde Hbf (an 01:24),Berlin Südkreuz
00:28,RE 3366,Eberswalde Hbf (an 01:24),Berlin Südkreuz
00:28,RE 93007,Eberswalde Hbf (an 01:24),Berlin Südkreuz
00:51,RE 3363,Jüterbog (an 01:41),Berlin Südkreuz
00:59,RE 62090,Dabendorf (an 01:31),Berlin Südkreuz
01:04,RE 62089,Berlin Hbf (an 01:11),Berlin Südkreuz
04:18 (+16),ICE 501,München Hbf (an 09:17),Berlin Südkreuz
04:30,ICE 908,Hamburg-Altona (an 07:26),Berlin Südkreuz
04:47,RE 62052,Dabendorf (an 05:24),Berlin Südkreuz
05:05,RE 62051,Berlin Hbf (an 05:12),Berlin Südkreuz
05:16 (+25),ICE 1701,München Hbf (an 10:18),Berlin Südkreuz
05:20,RE 3340,Angermünde (an 06:28),Berlin Südkreuz
05:33 (+2),ICE 71,Basel SBB (an 13:10),Berlin Südkreuz
05:36,ICE 608,Hamburg Hbf (an 08:20),Berlin Südkreuz
05:41,RB 18600,Berlin-Spandau (an 06:00),Berlin Südkreuz
05:46,RE 3167,Rathenow (an 06:56),Berlin Südkreuz
05:47,RE 93701,Jüterbog (an 06:29),Berlin Südkreuz
05:54,RE 62054,Elsterwerda (an 07:46),Berlin Südkreuz
06:02,RE 62053,Berlin Hbf (an 06:11),Berlin Südkreuz
06:07,ICE 1001,München Hbf (an 10:02),Berlin Südkreuz
06:20,ICE 808,Hamburg-Altona (an 09:22),Berlin Südkreuz
06:21,RE 50257,Elsterwerda (an 07:33),Berlin Südkreuz
06:21 (+4),RJ 257,Graz Hbf (an 17:33),Berlin Südkreuz
06:23 (+1),RE 3304,Stralsund Hbf (an 09:43),Berlin Südkreuz
06:26 (+15),IC 296,Rostock Hbf (an 08:37),Berlin Südkreuz
06:35,ICE 503,München Hbf (an 11:03),Berlin Südkreuz
06:41,RB 18602,Nauen (an 07:27),Berlin Südkreuz
06:45,RE 3147,Stendal Hbf (an 08:20),Berlin Südkreuz
06:46 (+1),RE 3341,Lutherstadt Wittenberg Hbf (an 08:04),Berlin Südkreuz
06:56,RE 62056,Dabendorf (an 07:29),Berlin Südkreuz
07:06,RE 62055,Berlin Hbf (an 07:12),Berlin Südkreuz
07:11,ICE 1103,München Hbf (an 11:11),Berlin Südkreuz
07:14 (+1),ICE 791,Frankfurt(M) Flughafen Fernbf (an 11:51),Berlin Südkreuz
07:14,RE 3146,Falkenberg(Elster) (an 08:34),Berlin Südkreuz
07:21 (+18),RE 3342,Angermünde (an 08:28),Berlin Südkreuz
07:23,EC 171,Praha hl.n. (an 11:24),Berlin Südkreuz
07:24 (+2),ICE 1606,Hamburg-Altona (an 10:27),Berlin Südkreuz
07:33,ICE 73,Zürich HB (an 16:00),Berlin Südkreuz
07:37,FLX 1241,Stuttgart Hbf (an 13:30),Berlin Südkreuz
07:41,ICE 701,München Hbf (an 12:42),Berlin Südkreuz
07:42 (+2),RB 18604,Nauen (an 08:27),Berlin Südkreuz
07:46 (+6),RE 3169,Rathenow (an 08:56),Berlin Südkreuz
07:47 (+12),RE 93703,Jüterbog (an 08:29),Berlin Südkreuz
07:54 (+1),RE 62058,Elsterwerda (an 09:39),Berlin Südkreuz
