Ankunft,Zugnr.,von (Abfahrt),Ankunftsbhf.
04:27 (+2),RE 62001,Flughafen BER (ab 03:47),Berlin Jungfernheide
05:16,RB 18500,Berlin Südkreuz (ab 05:02),Berlin Jungfernheide
05:39,RB 18501,Nauen (ab 05:08),Berlin Jungfernheide
05:55 (+1),RE 3164,Stendal Hbf (ab 04:45),Berlin Jungfernheide
06:03,RB 18601,Nauen (ab 05:31),Berlin Jungfernheide
06:16,RB 18502,Berlin Südkreuz (ab 06:02),Berlin Jungfernheide
06:23,RB 18245,Berlin Gesundbrunnen (ab 06:15),Berlin Jungfernheide
06:39,RB 18503,Nauen (ab 06:08),Berlin Jungfernheide
06:54,RB 18602,Berlin Südkreuz (ab 06:41),Berlin Jungfernheide
06:56 (+2),RE 3146,Stendal Hbf (ab 05:45),Berlin Jungfernheide
07:00,RE 3147,Falkenberg(Elster) (ab 05:14),Berlin Jungfernheide
07:03,RB 18603,Nauen (ab 06:28),Berlin Jungfernheide
07:16,RB 18504,Berlin Südkreuz (ab 07:01),Berlin Jungfernheide
07:22,RB 18247,Berlin Gesundbrunnen (ab 07:13),Berlin Jungfernheide
07:32 (+3),RB 18244,Potsdam Hbf (ab 06:35),Berlin Jungfernheide
07:39 (+1),RB 18505,Nauen (ab 07:08),Berlin Jungfernheide
07:55 (+1),RB 18604,Berlin Südkreuz (ab 07:42),Berlin Jungfernheide
07:55 (+2),RE 3166,Rathenow (ab 07:06),Berlin Jungfernheide
08:01 (+3),RE 3169,Jüterbog (ab 07:03),Berlin Jungfernheide
08:03,RB 18605,Nauen (ab 07:18),Berlin Jungfernheide
08:16 (+1),RB 18506,Berlin Südkreuz (ab 08:02),Berlin Jungfernheide
08:23,RB 18249,Berlin Gesundbrunnen (ab 08:13),Berlin Jungfernheide
08:33 (+2),RB 18246,Potsdam Hbf (ab 07:36),Berlin Jungfernheide
08:39 (+1),RB 18507,Nauen (ab 08:08),Berlin Jungfernheide
08:55 (+1),RB 18606,Berlin Südkreuz (ab 08:42),Berlin Jungfernheide
08:57 (+1),RE 3148,Rathenow (ab 08:02),Berlin Jungfernheide
09:00,RE 3149,Falkenberg(Elster) (ab 07:11),Berlin Jungfernheide
09:03 Ausfall,RB 18607,Nauen (ab 08:27),Berlin Jungfernheide
09:16 (+3),RB 18508,Berlin Südkreuz (ab 09:02),Berlin Jungfernheide
09:23,RB 18251,Berlin Gesundbrunnen (ab 09:12),Berlin Jungfernheide
09:31 (+2),RB 18248,Potsdam Hbf (ab 08:36),Berlin Jungfernheide
09:39,RB 18509,Nauen (ab 09:08),Berlin Jungfernheide
09:55 Ausfall,RB 18608,Berlin Südkreuz (ab 09:41),Berlin Jungfernheide
09:55,RE 3168,Rathenow (ab 09:07),Berlin Jungfernheide
10:01 (+1),RE 3171,Jüterbog (ab 09:03),Berlin Jungfernheide
10:03 (+6),RB 18609,Nauen (ab 09:18),Berlin Jungfernheide
10:16,RB 18510,Berlin Südkreuz (ab 10:02),Berlin Jungfernheide
10:23,RB 18253,Berlin Gesundbrunnen (ab 10:13),Berlin Jungfernheide
10:33 (+5),RB 18250,Potsdam Hbf (ab 09:35),Berlin Jungfernheide
10:39 (+6),RB 18511,Nauen (ab 10:08),Berlin Jungfernheide
10:55,RB 18610,Berlin Südkreuz (ab 10:41),Berlin Jungfernheide
10:57 (+1),RE 3150,Frankfurt(Oder) (ab 00:24),Berlin Jungfernheide
11:00 (+5),RE 3151,Falkenberg(Elster) (ab 09:14),Berlin Jungfernheide
11:03,RB 18611,Nauen (ab 10:27),Berlin Jungfernheide
11:17 (+4),RB 18512,Berlin Südkreuz (ab 11:01),Berlin Jungfernheide
11:23 (+1),RB 18255,Berlin Gesundbrunnen (ab 11:13),Berlin Jungfernheide
11:32,RB 18252,Potsdam Hbf (ab 10:36),Berlin Jungfernheide
11:39 (+1),RB 18513,Nauen (ab 11:08),Berlin Jungfernheide
11:55 (+4),RB 18612,Berlin Südkreuz (ab 11:41),Berlin Jungfernheide
11:56,RE 3170,Frankfurt(Oder) (ab 09:26),Berlin Jungfernheide
12:01 (+8),RE 3173,Jüterbog (ab 11:03),Berlin Jungfernheide
12:02 Ausfall,RB 18613,Nauen (ab 11:18),Berlin Jungfernheide
12:16,RB 18514,Berlin Südkreuz (ab 12:02),Berlin Jungfernheide
12:23,RB 18257,Berlin Gesundbrunnen (ab 12:13),Berlin Jungfernheide
12:33 (+3),RB 18254,Potsdam Hbf (ab 11:36),Berlin Jungfernheide
12:39 (+1),RB 18515,Nauen (ab 12:08),Berlin Jungfernheide
12:55 Ausfall,RB 18614,Berlin Südkreuz (ab 12:41),Berlin Jungfernheide
12:57,RE 3152,Rathenow (ab 12:02),Berlin Jungfernheide
13:00,RE 3153,Falkenberg(Elster) (ab 11:14),Berlin Jungfernheide
13:02 (+1),RB 18615,Nauen (ab 12:27),Berlin Jungfernheide
13:16,RB 18516,Berlin Südkreuz (ab 13:01),Berlin Jungfernheide
13:23,RB 18259,Berlin Gesundbrunnen (ab 13:13),Berlin Jungfernheide
13:32 (+2),RB 18256,Potsdam Hbf (ab 12:36),Berlin Jungfernheide
13:40,RB 18517,Nauen (ab 13:08),Berlin Jungfernheide
13:53,RB 18616,Berlin Südkreuz (ab 13:39),Berlin Jungfernheide
13:56,RE 3172,Frankfurt(Oder) (ab 10:26),Berlin Jungfernheide
14:01 (+1),RE 3175,Jüterbog (ab 13:03),Berlin Jungfernheide
14:02,RB 18617,Nauen (ab 13:18),Berlin Jungfernheide
14:16 (+11),RB 18518,Berlin Südkreuz (ab 14:03),Berlin Jungfernheide
14:23 (+1),RB 18261,Berlin Gesundbrunnen (ab 14:13),Berlin Jungfernheide
14:33 (+3),RB 18258,Potsdam Hbf (ab 13:36),Berlin Jungfernheide
14:39 (+3),RB 18519,Nauen (ab 14:08),Berlin Jungfernheide
14:55 (+10),RB 18618,Berlin Südkreuz (ab 14:41),Berlin Jungfernheide
14:57 (+1),RE 3154,Rathenow (ab 14:02),Berlin Jungfernheide
15:00 (+9),RE 3155,Falkenberg(Elster) (ab 13:14),Berlin Jungfernheide
15:02 (+1),RB 18619,Nauen (ab 14:27),Berlin Jungfernheide
15:16 (+1),RB 18520,Berlin Südkreuz (ab 15:01),Berlin Jungfernheide
15:23,RB 18263,Berlin Gesundbrunnen (ab 15:12),Berlin Jungfernheide
15:32,RB 18260,Potsdam Hbf (ab 14:36),Berlin Jungfernheide
15:39,RB 18521,Nauen (ab 15:08),Berlin Jungfernheide
15:54 (+35),RB 18620,Berlin Südkreuz (ab 15:41),Berlin Jungfernheide
15:56 (+23),RE 3174,Rathenow (ab 15:02),Berlin Jungfernheide
16:01 (+35),RE 3177,Jüterbog (ab 15:03),Berlin Jungfernheide
16:02 (+23),RB 18621,Nauen (ab 15:18),Berlin Jungfernheide
16:16 (+36),RB 18522,Berlin Südkreuz (ab 16:02),Berlin Jungfernheide
16:23,RB 18265,Berlin Gesundbrunnen (ab 16:13),Berlin Jungfernheide
16:33 (+12),RB 18262,Potsdam Hbf (ab 15:36),Berlin Jungfernheide
16:39 (+15),RB 18523,Nauen (ab 16:08),Berlin Jungfernheide
16:55 (+25),RB 18622,Berlin Südkreuz (ab 16:42),Berlin Jungfernheide
16:57 (+8),RE 3156,Rathenow (ab 16:02),Berlin Jungfernheide
17:00 (+1),RE 3157,Falkenberg(Elster) (ab 15:14),Berlin Jungfernheide
17:03 (+13),RB 18623,Nauen (ab 16:27),Berlin Jungfernheide
17:16 (+24),RB 18524,Berlin Südkreuz (ab 17:02),Berlin Jungfernheide
17:23 (+1),RB 18267,Berlin Gesundbrunnen (ab 17:13),Berlin Jungfernheide
17:32 (+4),RB 18264,Potsdam Hbf (ab 16:36),Berlin Jungfernheide
17:39 (+13),RB 18525,Nauen (ab 17:08),Berlin Jungfernheide
17:55 (+5),RB 18624,Berlin Südkreuz (ab 17:41),Berlin Jungfernheide
17:56,RE 3176,Rathenow (ab 17:02),Berlin Jungfernheide
18:00 (+21),RE 3179,Jüterbog (ab 17:03),Berlin Jungfernheide
