Ankunft ▼,Ist ▼,Zugnr. ▼,von (Abfahrt) ▼,Gleis ▼
23:11 (+43),23:54,RE 4369,Rostock Hbf (ab 20:34),4
23:13 (+7),23:20,RE 62039,Elsterwerda (ab 21:30),7 D - G
23:18 (+28),23:46,ICE 5323,Kassel-Wilhelmshöhe (ab 03:52),
23:23 (+39),00:02,ICE 1000,München Hbf (ab 17:33),5
23:29,23:29,ICE 500,Leipzig Hbf (ab 22:12),
23:33,23:33,RE 3359,Schwedt(Oder) (ab 22:04),4
23:34,23:34,ICE 2554,Zürich HB (ab 14:00),3
23:38,23:38,RE 62036,Wismar (ab 20:21),2
23:51 (+35),00:26,ICE 1919,Hamburg Hbf (ab 21:51),3
23:51 (+35),00:26,ICE 809,Hamburg Hbf (ab 21:51),3
23:56 (+3),23:59,FLX 1351,Hamburg Hbf (ab 21:40),4
