Ankunft ▼,Ist ▼,Zugnr. ▼,von (Abfahrt) ▼,Gleis ▼
00:01,00:01,RE 73794,Frankfurt(Oder) (ab 22:32),4
00:07,00:07,ICE 901,Hamburg-Altona (ab 21:26),
00:20,00:20,ICE 947,Köln Hbf (ab 19:27),1
00:22,00:22,RB 21962,Flughafen BER (ab 23:42),
00:28,00:28,RE 73826,Frankfurt(Oder) (ab 23:07),
00:33,00:33,RE 3745,Senftenberg (ab 22:26),
00:55,00:55,RE 3141,Cottbus Hbf (ab 23:03),
00:56,00:56,RE 3742,Dessau Hbf (ab 23:23),
01:01,01:01,RE 73796,Frankfurt(Oder) (ab 23:32),
01:09,01:09,RB 21968,Flughafen BER (ab 00:30),4
01:15,01:15,RE 73791,Magdeburg Hbf (ab 23:21),2
01:23 (+10),01:33,ICE 1707,Hamburg-Altona (ab 22:34),
01:23,01:23,ICE 2863,Hamburg-Altona (ab 22:34),
01:23 (+10),01:33,ICE 2899,Hamburg-Altona (ab 22:34),
01:36,01:36,RB 21969,Berlin-Charlottenburg (ab 01:33),2
01:56,01:56,RE 73752,Frankfurt(Oder) (ab 00:29),3
02:00,02:00,RB 21800,Flughafen BER (ab 01:22),
02:11 (+5),02:16,ICE 647,Köln Hbf (ab 21:26),
02:30,02:30,RE 73793,Magdeburg Hbf (ab 00:42),2
02:35,02:35,RE 3701,Berlin Ostkreuz (ab 02:13),3
02:51,02:51,RB 21803,Berlin-Charlottenburg (ab 02:48),2
03:00,03:00,RB 21802,Flughafen BER (ab 02:22),4
03:12,03:12,RE 73754,Berlin Ostkreuz (ab 02:51),3
04:28,04:28,ICE 646,Berlin Ostbahnhof (ab 04:09),4
04:32,04:32,RB 21813,Berlin-Charlottenburg (ab 04:29),2
04:44 (+1),04:45,RE 73756,Berlin Ostkreuz (ab 04:23),3
04:49,04:49,RB 21806,Flughafen BER (ab 04:10),
05:08,05:08,RE 73716,Frankfurt(Oder) (ab 03:38),3
05:08,05:08,RE 73753,Brandenburg Hbf (ab 04:17),2
05:18,05:18,RE 3102,Berlin-Charlottenburg (ab 05:15),1
05:20,05:20,RE 3707,Lübbenau(Spreewald) (ab 03:53),3
05:28,05:28,ICE 1541,Köln Hbf (ab 23:27),1
05:29,05:29,RE 73758,Frankfurt(Oder) (ab 04:15),4
05:33 (+22),05:55,ICE 946,Berlin Ostbahnhof (ab 05:15),3
05:38,05:38,RE 3704,Bad Belzig (ab 04:41),2
05:42,05:42,RE 3103,Cottbus Hbf (ab 04:00),4
06:07,06:07,RE 73718,Frankfurt(Oder) (ab 04:39),4
06:18,06:18,RE 3104,Hennigsdorf(b Berlin) (ab 05:35),1
06:22,06:22,EC 430,Przemysl Glowny (ab 18:49),4
06:34,06:34,ICE 279,Berlin Ostbahnhof (ab 06:15),3
06:42,06:42,ICE 1272,Frankfurt(Main)Hbf (ab 23:35),1
06:42,06:42,RE 3105,Cottbus Hbf (ab 04:57),4
07:37,07:37,IC 2432,Cottbus Hbf (ab 06:01),3
08:18,08:18,RE 3108,Hennigsdorf(b Berlin) (ab 07:35),1
08:29,08:29,RE 73759,Brandenburg Hbf (ab 07:44),2
08:38,08:38,RE 3710,Dessau Hbf (ab 07:05),2
08:51,08:51,RE 73719,Magdeburg Hbf (ab 07:12),2
09:20,09:20,RE 3715,Senftenberg (ab 07:14),3
09:29,09:29,RE 73761,Brandenburg Hbf (ab 08:44),2
