Abfahrt,Zugnr.,nach (Ankunft),Abfahrtsbhf.
00:03,RE 3138,Cottbus Hbf (an 01:40),Berlin Ostkreuz
00:06,RE 73826,Berlin Zoologischer Garten (an 00:28),Berlin Ostkreuz
00:16,RE 73749,Frankfurt(Oder) (an 01:18),Berlin Ostkreuz
00:38,RE 73796,Brandenburg Hbf (an 01:54),Berlin Ostkreuz
00:48,RB 21968,Berlin Hbf (an 01:04),Berlin Ostkreuz
00:58,RE 3141,Berlin-Lichtenberg (an 01:01),Berlin Ostkreuz
01:09,RE 3140,Cottbus Hbf (an 02:40),Berlin Ostkreuz
01:33,RE 73752,Berlin Hbf (an 01:48),Berlin Ostkreuz
01:38,RE 73791,Frankfurt(Oder) (an 02:38),Berlin Ostkreuz
03:54,RE 3700,Lübbenau(Spreewald) (an 05:18),Berlin Ostkreuz
03:59,RE 3705,Dessau Hbf (an 05:53),Berlin Ostkreuz
04:16,RE 3101,Hennigsdorf(b Berlin) (an 05:23),Berlin Ostkreuz
04:23,RE 73756,Brandenburg Hbf (an 05:33),Berlin Ostkreuz
04:27,RE 73751,Frankfurt(Oder) (an 05:29),Berlin Ostkreuz
04:41,RB 18300,Eberswalde Hbf (an 05:27),Berlin Ostkreuz
04:46,RB 18201,Ludwigsfelde (an 05:24),Berlin Ostkreuz
04:46,RE 73716,Genthin (an 06:17),Berlin Ostkreuz
04:46,RE 73801,Frankfurt(Oder) (an 05:36),Berlin Ostkreuz
04:59,RE 3707,Dessau Hbf (an 06:53),Berlin Ostkreuz
05:02,RE 3702,Senftenberg (an 06:41),Berlin Ostkreuz
05:07,RE 73758,Brandenburg Hbf (an 06:19),Berlin Ostkreuz
05:18,RB 18200,Berlin-Lichtenberg (an 05:22),Berlin Ostkreuz
05:20,RE 3103,Hennigsdorf(b Berlin) (an 06:23),Berlin Ostkreuz
05:32,RE 73753,Frankfurt(Oder) (an 06:35),Berlin Ostkreuz
05:41,RB 18302,Eberswalde Hbf (an 06:27),Berlin Ostkreuz
05:42,RE 3102,Cottbus Hbf (an 06:56),Berlin Ostkreuz
05:44,RE 73718,Magdeburg Hbf (an 08:05),Berlin Ostkreuz
05:59,RE 3709,Dessau Hbf (an 07:53),Berlin Ostkreuz
06:01,RE 3704,Senftenberg (an 07:41),Berlin Ostkreuz
06:05,EC 41,Venezia Santa Lucia (an 12:42),Berlin Ostkreuz
06:07,RE 73760,Brandenburg Hbf (an 07:19),Berlin Ostkreuz
06:16,RE 73713,Frankfurt(Oder) (an 07:18),Berlin Ostkreuz
06:20,RE 3105,Hennigsdorf(b Berlin) (an 07:23),Berlin Ostkreuz
06:41,RB 18304,Eberswalde Hbf (an 07:27),Berlin Ostkreuz
06:42,RE 3104,Cottbus Hbf (an 07:57),Berlin Ostkreuz
06:44,RE 73720,Genthin (an 08:18),Berlin Ostkreuz
06:53,RE 73755,Frankfurt(Oder) (an 07:47),Berlin Ostkreuz
06:59,RE 3711,Dessau Hbf (an 08:53),Berlin Ostkreuz
07:02,RE 3706,Senftenberg (an 08:41),Berlin Ostkreuz
07:07,RE 73762,Brandenburg Hbf (an 08:23),Berlin Ostkreuz
07:16,RE 73715,Frankfurt(Oder) (an 08:20),Berlin Ostkreuz
07:20,RE 3107,Hennigsdorf(b Berlin) (an 08:23),Berlin Ostkreuz
07:36,RE 83711,Fangschleuse Tesla Süd (an 08:05),Berlin Ostkreuz
07:41,RB 18306,Eberswalde Hbf (an 08:27),Berlin Ostkreuz
07:42,RE 3106,Cottbus Hbf (an 08:56),Berlin Ostkreuz
07:44,RE 73722,Magdeburg Hbf (an 10:05),Berlin Ostkreuz
07:46,RB 18207,Ludwigsfelde (an 08:24),Berlin Ostkreuz
07:53,RE 73757,Frankfurt(Oder) (an 08:43),Berlin Ostkreuz
07:59,RE 3713,Dessau Hbf (an 09:53),Berlin Ostkreuz
08:02,RE 3708,Senftenberg (an 09:41),Berlin Ostkreuz
08:07,RE 73764,Brandenburg Hbf (an 09:19),Berlin Ostkreuz
08:16,RE 73717,Frankfurt(Oder) (an 09:18),Berlin Ostkreuz
08:18,RB 18206,Berlin-Lichtenberg (an 08:22),Berlin Ostkreuz
