Ankunft,Zugnr.,von (Abfahrt),Ankunftsbhf.
00:01 (+5),RE 3138,Nauen (ab 23:08),Berlin Ostbahnhof
00:05,RE 62045,Berlin Ostkreuz (ab 00:02),Berlin Ostbahnhof
00:08,RE 73750,Berlin Friedrichstr (ab 00:01),Berlin Ostbahnhof
00:10 (+6),RE 18799,Lübben(Spreewald) (ab 23:04),Berlin Ostbahnhof
00:15 (+1),ICE 1102,München Hbf (ab 18:52),Berlin Ostbahnhof
00:23,FEX19878,Flughafen BER (ab 00:02),Berlin Ostbahnhof
00:26 (+7),ICE 2947,Düsseldorf Hbf (ab 18:56),Berlin Ostbahnhof
00:26 Ausfall,ICE 957,Köln Hbf (ab 18:45),Berlin Ostbahnhof
00:29,RE 73797,Fangschleuse (ab 00:04),Berlin Ostbahnhof
00:35 (+1),RE 3141,Bestensee (ab 00:03),Berlin Ostbahnhof
00:54,ICE 790,Frankfurt(M) Flughafen Fernbf (ab 20:09),Berlin Ostbahnhof
01:02,RE 62041,Flughafen BER (ab 00:40),Berlin Ostbahnhof
01:03,RE 3100,Nauen (ab 00:08),Berlin Ostbahnhof
01:08,RE 3742,Brück(Mark) (ab 00:04),Berlin Ostbahnhof
01:08,RE7,Brück(Mark) (ab 00:04),Berlin Ostbahnhof
01:29,RE 73753,Frankfurt(Oder) (ab 00:24),Berlin Ostbahnhof
01:33,RE 73794,Genthin (ab 00:01),Berlin Ostbahnhof
01:36,FEX19880,Flughafen BER (ab 01:15),Berlin Ostbahnhof
01:58,RE 62042,Nauen (ab 01:03),Berlin Ostbahnhof
01:58,RE 92042,Berlin-Charlottenburg (ab 01:36),Berlin Ostbahnhof
02:02,RE 62047,Flughafen BER (ab 01:39),Berlin Ostbahnhof
02:48,RE 3143,Magdeburg Hbf (ab 00:42),Berlin Ostbahnhof
02:48,RE 73798,Magdeburg Hbf (ab 00:42),Berlin Ostbahnhof
02:54,RE 62046,Nauen (ab 02:02),Berlin Ostbahnhof
03:02,RE 62043,Flughafen BER (ab 02:41),Berlin Ostbahnhof
03:25,FEX19801,Berlin-Charlottenburg (ab 03:05),Berlin Ostbahnhof
03:39,FEX19803,Berlin-Charlottenburg (ab 03:20),Berlin Ostbahnhof
03:39,RE FEX,Berlin Ostkreuz (ab 01:32),Berlin Ostbahnhof
03:55,RE 62044,Nauen (ab 03:02),Berlin Ostbahnhof
04:06,RE 62001,Flughafen BER (ab 03:44),Berlin Ostbahnhof
04:06,RE8,Berlin Ostkreuz (ab 00:02),Berlin Ostbahnhof
04:30,RE 73752,Brandenburg Hbf (ab 03:15),Berlin Ostbahnhof
04:43,RE 73800,Berlin-Charlottenburg (ab 04:23),Berlin Ostbahnhof
04:48,RE 73717,Frankfurt(Oder) (ab 03:44),Berlin Ostbahnhof
04:52,RE 62048,Nauen (ab 04:01),Berlin Ostbahnhof
04:56 (+2),RE 3702,Bad Belzig (ab 03:41),Berlin Ostbahnhof
05:00,RE 3707,Lübbenau(Spreewald) (ab 03:54),Berlin Ostbahnhof
05:06,RE 62003,Flughafen BER (ab 04:44),Berlin Ostbahnhof
05:06,RE 8,Flughafen BER (ab 04:44),Berlin Ostbahnhof
05:17,RB 18141,Berlin-Charlottenburg (ab 04:57),Berlin Ostbahnhof
05:23,RE 3103,Cottbus Hbf (ab 03:47),Berlin Ostbahnhof
05:24,RE 18540,Kirchmöser (ab 04:16),Berlin Ostbahnhof
05:24,RE 73754,Brandenburg Hbf (ab 04:17),Berlin Ostbahnhof
05:33,RE 3102,Nauen (ab 04:36),Berlin Ostbahnhof
05:34,RB 18140,Flughafen BER (ab 05:13),Berlin Ostbahnhof
05:43,RE 62000,Wittenberge (ab 04:03),Berlin Ostbahnhof
05:48,RE 73719,Eisenhüttenstadt (ab 04:26),Berlin Ostbahnhof
05:54,RE 3704,Dessau Hbf (ab 04:05),Berlin Ostbahnhof
05:54,RE 95111,Bad Belzig (ab 04:41),Berlin Ostbahnhof
06:00,RE 3709,Senftenberg (ab 04:14),Berlin Ostbahnhof
06:06,RE 62005,Flughafen BER (ab 05:44),Berlin Ostbahnhof
06:09,RE 73714,Brandenburg Hbf (ab 05:05),Berlin Ostbahnhof
06:11,RE 73805,Frankfurt(Oder) (ab 05:18),Berlin Ostbahnhof
06:15,RE 18754,Bad Belzig (ab 05:01),Berlin Ostbahnhof
06:20,RB 18143,Berlin-Charlottenburg (ab 06:00),Berlin Ostbahnhof
06:23,RE 3105,Cottbus Hbf (ab 05:01),Berlin Ostbahnhof
06:24,RE 73756,Magdeburg Hbf (ab 04:19),Berlin Ostbahnhof
06:27,ES 453,Bruxelles Midi (ab 19:22),Berlin Ostbahnhof
06:29,RE 73761,Frankfurt(Oder) (ab 05:26),Berlin Ostbahnhof
06:33,RE 3104,Nauen (ab 05:37),Berlin Ostbahnhof
06:33,RE2,Großburgwedel (ab 00:00),Berlin Ostbahnhof
06:34,RB 18142,Flughafen BER (ab 06:13),Berlin Ostbahnhof
06:41 (+19),RE 18753,Cottbus Hbf (ab 05:26),Berlin Ostbahnhof
06:46,RE 73802,Brandenburg Hbf (ab 05:45),Berlin Ostbahnhof
06:48,RE 73721,Eisenhüttenstadt (ab 05:36),Berlin Ostbahnhof
06:52,RE 62002,Wittenberge (ab 05:03),Berlin Ostbahnhof
06:53 (+25),ICE 2400,Stuttgart Hbf (ab 19:56),Berlin Ostbahnhof
06:56,RE 3706,Dessau Hbf (ab 05:05),Berlin Ostbahnhof
07:00 (+14),RE 3711,Senftenberg (ab 05:10),Berlin Ostbahnhof
07:06,RE 62007,Flughafen BER (ab 06:44),Berlin Ostbahnhof
07:09,RE 73716,Magdeburg Hbf (ab 05:12),Berlin Ostbahnhof
07:15 (+10),IC 2432,Cottbus Hbf (ab 06:01),Berlin Ostbahnhof
07:15 (+7),RE 18756,Bad Belzig (ab 06:01),Berlin Ostbahnhof
07:15 (+6),RE 62432,Cottbus Hbf (ab 06:01),Berlin Ostbahnhof
07:19,RB 18145,Golm (ab 06:30),Berlin Ostbahnhof
07:23,RE 3107,Cottbus Hbf (ab 06:08),Berlin Ostbahnhof
07:24,RE 18541,Brandenburg Hbf (ab 06:19),Berlin Ostbahnhof
07:24,RE 73758,Brandenburg Hbf (ab 06:19),Berlin Ostbahnhof
07:29,RE 73763,Frankfurt(Oder) (ab 06:26),Berlin Ostbahnhof
07:33,RE 3106,Nauen (ab 06:37),Berlin Ostbahnhof
07:34,RB 18144,Flughafen BER (ab 07:13),Berlin Ostbahnhof
07:40,RE 18755,Cottbus Hbf (ab 06:13),Berlin Ostbahnhof
07:46,RE 73804,Magdeburg Hbf (ab 05:54),Berlin Ostbahnhof
07:48,RE 73723,Frankfurt(Oder) (ab 06:55),Berlin Ostbahnhof
07:52,RE 62004,Wittenberge (ab 06:03),Berlin Ostbahnhof
07:56 (+5),RE 3708,Dessau Hbf (ab 06:05),Berlin Ostbahnhof
08:00 (+10),RE 3713,Senftenberg (ab 06:14),Berlin Ostbahnhof
08:02,ICE 649,Hannover Hbf (ab 05:27),Berlin Ostbahnhof
08:06,RE 62009,Flughafen BER (ab 07:44),Berlin Ostbahnhof
08:09,RE 73718,Brandenburg Hbf (ab 07:05),Berlin Ostbahnhof
08:15,RE 18758,Bad Belzig (ab 07:01),Berlin Ostbahnhof
08:20,RB 18147,Golm (ab 07:30),Berlin Ostbahnhof
08:23,RE 3109,Cottbus Hbf (ab 07:03),Berlin Ostbahnhof
08:24,RE 73760,Magdeburg-Neustadt (ab 06:16),Berlin Ostbahnhof
08:29,RE 73765,Frankfurt(Oder) (ab 07:26),Berlin Ostbahnhof
08:33,RE 3108,Nauen (ab 07:37),Berlin Ostbahnhof
08:34,RB 18146,Flughafen BER (ab 08:13),Berlin Ostbahnhof
08:36 (+13),ICE 841,Oldenburg(Oldb)Hbf (ab 04:30),Berlin Ostbahnhof
08:40,RE 18757,Lübbenau(Spreewald) (ab 07:46),Berlin Ostbahnhof
08:48,RE 73725,Eisenhüttenstadt (ab 07:36),Berlin Ostbahnhof
08:48,RE 73806,Brandenburg Hbf (ab 07:45),Berlin Ostbahnhof
08:52,RE 62006,Wittenberge (ab 07:01),Berlin Ostbahnhof
08:56 (+12),RE 3710,Dessau Hbf (ab 07:05),Berlin Ostbahnhof
09:00 (+10),RE 3715,Senftenberg (ab 07:14),Berlin Ostbahnhof
09:02 (+8),EC 45,Berlin Hbf (ab 09:52),Berlin Ostbahnhof
09:04 (+33),ICE 2951,Hamburg-Altona (ab 05:04),Berlin Ostbahnhof
09:04 Ausfall,ICE 751,Hamburg-Altona (ab 05:04),Berlin Ostbahnhof
09:06,RE 62011,Flughafen BER (ab 08:44),Berlin Ostbahnhof
09:10,RE 73720,Magdeburg Hbf (ab 07:12),Berlin Ostbahnhof
09:19 (+3),RB 18149,Golm (ab 08:30),Berlin Ostbahnhof
09:23 (+2),RE 3111,Cottbus Hbf (ab 08:04),Berlin Ostbahnhof
09:24,RE 73762,Brandenburg Hbf (ab 08:19),Berlin Ostbahnhof
09:27 Ausfall,ICE 541,Köln Hbf (ab 03:15),Berlin Ostbahnhof
09:29,RE 73767,Frankfurt(Oder) (ab 08:26),Berlin Ostbahnhof
09:33,RE 3110,Nauen (ab 08:37),Berlin Ostbahnhof
09:34,RB 18148,Flughafen BER (ab 09:13),Berlin Ostbahnhof
09:42,ICE 876,Kassel-Wilhelmshöhe (ab 06:43),Berlin Ostbahnhof
09:46,RE 73808,Brandenburg Hbf (ab 08:45),Berlin Ostbahnhof
09:48,RE 73727,Eisenhüttenstadt (ab 08:36),Berlin Ostbahnhof
09:52,RE 62008,Wittenberge (ab 08:03),Berlin Ostbahnhof
09:55 (+2),EC 248,Warszawa Wschodnia (ab 04:34),Berlin Ostbahnhof
09:56 (+2),RE 3712,Dessau Hbf (ab 08:05),Berlin Ostbahnhof
10:00 (+9),RE 3717,Senftenberg (ab 08:14),Berlin Ostbahnhof
10:01 (+1),ICE 741,Münster(Westf)Hbf (ab 06:17),Berlin Ostbahnhof
10:06,RE 62013,Flughafen BER (ab 09:44),Berlin Ostbahnhof
10:08,RE 73722,Magdeburg Hbf (ab 08:12),Berlin Ostbahnhof
10:16,ICE 998,Frankfurt(Main)Hbf (ab 05:58),Berlin Ostbahnhof
10:20 (+1),RB 18151,Golm (ab 09:30),Berlin Ostbahnhof
10:23 (+1),RE 3113,Cottbus Hbf (ab 09:04),Berlin Ostbahnhof
10:24,RE 73764,Brandenburg Hbf (ab 09:19),Berlin Ostbahnhof
10:27 (+105),ICE 843,Köln Hbf (ab 04:29),Berlin Ostbahnhof
10:27 (+105),ICE 853,Köln Hbf (ab 04:44),Berlin Ostbahnhof
10:29,RE 3170,Frankfurt(Oder) (ab 09:26),Berlin Ostbahnhof
10:29,RE 73769,Frankfurt(Oder) (ab 09:26),Berlin Ostbahnhof
10:33,RE 3112,Nauen (ab 09:37),Berlin Ostbahnhof
10:34,RB 18150,Flughafen BER (ab 10:13),Berlin Ostbahnhof
10:45,RE 62110,Brandenburg Hbf (ab 09:33),Berlin Ostbahnhof
10:48,RE 1,Düsseldorf Hbf (ab 00:22),Berlin Ostbahnhof
10:48,RE 73729,Frankfurt(Oder) (ab 09:55),Berlin Ostbahnhof
10:51,RE 62010,Wittenberge (ab 09:01),Berlin Ostbahnhof
10:56,RE 3714,Dessau Hbf (ab 09:05),Berlin Ostbahnhof
11:00 (+10),RE 3719,Senftenberg (ab 09:14),Berlin Ostbahnhof
11:06,RE 62015,Flughafen BER (ab 10:44),Berlin Ostbahnhof
11:09,RE 73724,Magdeburg Hbf (ab 09:12),Berlin Ostbahnhof
11:12 (+70),ICE 553,Koblenz Hbf (ab 04:51),Berlin Ostbahnhof
11:19 (+2),RB 18153,Golm (ab 10:30),Berlin Ostbahnhof
11:23 (+31),RE 3115,Cottbus Hbf (ab 10:04),Berlin Ostbahnhof
11:24,RE 73766,Brandenburg Hbf (ab 10:19),Berlin Ostbahnhof
11:27 (+15),ICE 543,Köln Hbf (ab 05:15),Berlin Ostbahnhof
11:29,RE 3172,Frankfurt(Oder) (ab 10:26),Berlin Ostbahnhof
11:29,RE 73771,Pillgram (ab 10:35),Berlin Ostbahnhof
11:33,RE 3114,Nauen (ab 10:37),Berlin Ostbahnhof
11:34,RB 18152,Flughafen BER (ab 11:13),Berlin Ostbahnhof
11:40 (+5),ICE 774,Stuttgart Hbf (ab 05:02),Berlin Ostbahnhof
11:48,RE 73731,Pillgram (ab 11:00),Berlin Ostbahnhof
11:52,RE 62012,Wittenberge (ab 10:03),Berlin Ostbahnhof
11:56 (+3),RE 3716,Dessau Hbf (ab 10:05),Berlin Ostbahnhof
12:00 (+10),RE 3721,Senftenberg (ab 10:14),Berlin Ostbahnhof
12:01 (+34),IC 141,Amsterdam Centraal (ab 05:59),Berlin Ostbahnhof
12:06,RE 62017,Flughafen BER (ab 11:44),Berlin Ostbahnhof
12:09,RE 73726,Magdeburg Hbf (ab 10:12),Berlin Ostbahnhof
12:14 (+29),ICE 1136,Frankfurt(Main)Hbf (ab 08:02),Berlin Ostbahnhof
