Abfahrt,Zugnr.,nach (Ankunft),Abfahrtsbhf.
00:10 (+28),ICE 947,Berlin Ostbahnhof (an 00:56),Berlin-Spandau
00:29,ICE 2520,Stendal Hbf (an 23:52),Berlin-Spandau
00:29 (+12),ICE 790,Berlin Hbf (an 00:39),Berlin-Spandau
00:29 (+4),RE 62038,Berlin-Charlottenburg (an 00:30),Berlin-Spandau
01:07,RE 3165,Rathenow (an 01:57),Berlin-Spandau
04:29,RB 18241,Potsdam Hbf (an 05:23),Berlin-Spandau
04:35,RE 62001,Wismar (an 07:26),Berlin-Spandau
04:39 (+1),ICE 646,Düsseldorf Hbf (an 09:07),Berlin-Spandau
04:39 (+1),ICE 656,Köln Hbf (an 09:15),Berlin-Spandau
04:52,RE 3144,Falkenberg(Elster) (an 06:34),Berlin-Spandau
05:21,RE 3602,Wittenberge (an 07:55),Berlin-Spandau
05:25,RB 18500,Nauen (an 05:49),Berlin-Spandau
05:27 (+1),RB 18240,Berlin Jungfernheide (an 05:32),Berlin-Spandau
05:30 (+1),RB 18243,Potsdam Hbf (an 06:23),Berlin-Spandau
05:35 Ausfall,RB 18501,Berlin Südkreuz (an 05:55),Berlin-Spandau
05:37,RE 62003,Wismar (an 08:37),Berlin-Spandau
05:41,ICE 608,Hamburg-Altona (an 07:41),Berlin-Spandau
05:47 (+2),ICE 946,Düsseldorf Hbf (an 10:02),Berlin-Spandau
05:47 (+2),ICE 956,Köln Hbf (an 10:09),Berlin-Spandau
05:51 (+1),ICE 1158,Bonn Hbf (an 10:15),Berlin-Spandau
05:51 (+1),RE 3164,Jüterbog (an 06:56),Berlin-Spandau
05:58,RB 18601,Berlin Südkreuz (an 06:17),Berlin-Spandau
06:02,RB 18600,Nauen (an 06:33),Berlin-Spandau
06:21,RE 3622,Dossow(Prign) (an 07:50),Berlin-Spandau
06:25,RB 18502,Nauen (an 06:51),Berlin-Spandau
06:27,RB 18242,Berlin Jungfernheide (an 06:32),Berlin-Spandau
06:30,RB 18245,Potsdam Hbf (an 07:23),Berlin-Spandau
06:30,RB21,Potsdam Hbf (an 07:23),Berlin-Spandau
06:35,RB 18503,Berlin Südkreuz (an 06:54),Berlin-Spandau
06:38,RE 62005,Wittenberge (an 07:57),Berlin-Spandau
06:39,RE 3621,Berlin-Charlottenburg (an 06:46),Berlin-Spandau
06:48,ICE 808,Hamburg-Altona (an 08:41),Berlin-Spandau
06:52 (+1),RE 3146,Falkenberg(Elster) (an 08:34),Berlin-Spandau
06:58 (+2),RB 18603,Berlin Südkreuz (an 07:20),Berlin-Spandau
07:02,RB 18602,Nauen (an 07:33),Berlin-Spandau
07:08 (+1),RE 3147,Rathenow (an 07:55),Berlin-Spandau
07:12 (+25),ICE 644,Salzburg Hbf (an 15:49),Berlin-Spandau
07:12 (+25),ICE 654,Bonn Hbf (an 11:43),Berlin-Spandau
07:12 (+1),ICE 701,München-Pasing (an 12:32),Berlin-Spandau
07:16,ICE 1052,Aachen Hbf (an 13:12),Berlin-Spandau
07:17 (+1),IC 2070,Hamburg-Altona (an 09:24),Berlin-Spandau
07:21,RE 3604,Wittenberge (an 09:55),Berlin-Spandau
07:23,RE 62004,Berlin-Charlottenburg (an 07:30),Berlin-Spandau
07:25 (+1),RB 18504,Nauen (an 07:51),Berlin-Spandau
07:27 (+2),RB 18244,Berlin Jungfernheide (an 07:32),Berlin-Spandau
07:30 (+13),ICE 649,Berlin Ostbahnhof (an 08:02),Berlin-Spandau
07:30,RB 18247,Potsdam Hbf (an 08:23),Berlin-Spandau
07:35 (+12),ICE 791,Göttingen (an 09:50),Berlin-Spandau
07:35 (+2),RB 18505,Berlin Südkreuz (an 07:55),Berlin-Spandau
07:38,RE 62007,Wismar (an 10:37),Berlin-Spandau
07:39,RE 3603,Berlin-Charlottenburg (an 07:46),Berlin-Spandau
07:48 (+3),ICE 1606,Hamburg-Altona (an 09:39),Berlin-Spandau
