Ankunft,Zugnr.,von (Abfahrt),Ankunftsbhf.
00:21,RE 3361,Angermünde (ab 23:33),Berlin Gesundbrunnen
00:38 (+9),RE 52836,Schwerin Hbf (ab 22:13),Berlin Gesundbrunnen Bhf
00:38,RE 52836,Schwerin Hbf (ab 22:13),Berlin Gesundbrunnen
00:41,RE 3366,Lutherstadt Wittenberg Hbf (ab 23:00),Berlin Gesundbrunnen
00:46 (+52),ICE 790,Frankfurt(M) Flughafen Fernbf (ab 20:09),Berlin Gesundbrunnen Bhf
00:46 (+49),ICE 790,Frankfurt(M) Flughafen Fernbf (ab 20:09),Berlin Gesundbrunnen
00:46 (+52),ICE 790,Frankfurt(M) Flughafen Fernbahnhof (ab 20:09),Berlin Gesundbrunnen Bhf
00:46 (+49),ICE 790,Frankfurt(M) Flughafen Fernbahnhof (ab 20:09),Berlin Gesundbrunnen
04:26,RB 18653,Berlin Hbf (ab 04:21),Berlin Gesundbrunnen
04:31,RE 3302,Berlin Hbf (ab 04:26),Berlin Gesundbrunnen
04:37,RE 3369,Eberswalde Hbf (ab 04:03),Berlin Gesundbrunnen
04:57,FEX19800,Wünsdorf-Waldstadt (ab 03:49),Berlin Gesundbrunnen
05:03,RE 4351,Neustrelitz Hbf (ab 03:49),Berlin Gesundbrunnen
05:15 (+1),RE 52821,Berlin Südkreuz (ab 05:01),Berlin Gesundbrunnen Bhf
05:15,RE 52821,Berlin Südkreuz (ab 05:01),Berlin Gesundbrunnen
05:22,RE 3301,Angermünde (ab 04:27),Berlin Gesundbrunnen
05:26,RB 18655,Berlin Hbf (ab 05:21),Berlin Gesundbrunnen
05:27,FEX19802,Ludwigsfelde (ab 04:39),Berlin Gesundbrunnen
05:34,RE 3601,Neuruppin West (ab 04:24),Berlin Gesundbrunnen
05:36,RE 3340,Jüterbog (ab 04:32),Berlin Gesundbrunnen
05:40 (+6),RB 18240,Potsdam Hbf (ab 04:36),Berlin Gesundbrunnen
05:48,RB 26080,Angermünde (ab 04:55),Berlin Gesundbrunnen
05:48,RE 3377,Angermünde (ab 04:55),Berlin Gesundbrunnen
05:53,RE 3504,Berlin Südkreuz (ab 05:36),Berlin Gesundbrunnen
05:56 (+16),FEX19804,Wünsdorf-Waldstadt (ab 04:49),Berlin Gesundbrunnen
06:03,RE 3503,Neubrandenburg (ab 04:27),Berlin Gesundbrunnen
06:21,RE 3341,Schwedt(Oder) (ab 05:06),Berlin Gesundbrunnen
06:27 (+1),FEX19806,Ludwigsfelde (ab 05:39),Berlin Gesundbrunnen
06:34,RE 3603,Wittstock(Dosse) (ab 04:50),Berlin Gesundbrunnen
06:34,RE 3605,Wittstock(Dosse) (ab 04:50),Berlin Gesundbrunnen
06:37 (+2),RE 3304,Lutherstadt Wittenberg Hbf (ab 05:05),Berlin Gesundbrunnen
06:38,RB 61080,Klosterfelde (ab 06:02),Berlin Gesundbrunnen
06:40 (+1),IC 494,Wien Hbf (ab 19:13),Berlin Gesundbrunnen
06:40 (+1),IC 494,Wien Hbf (ab 19:13),Berlin Gesundbrunnen Bhf
06:44,RB 18242,Potsdam Hbf (ab 05:35),Berlin Gesundbrunnen
06:53 (+1),RE 4352,Berlin Südkreuz (ab 06:35),Berlin Gesundbrunnen
06:56 (+1),FEX19808,Wünsdorf-Waldstadt (ab 05:49),Berlin Gesundbrunnen
06:56,RE 3331,Pasewalk (ab 05:17),Berlin Gesundbrunnen
06:56,RE 94461,Pasewalk (ab 05:17),Berlin Gesundbrunnen
07:04,RE 4353,Rostock Hbf (ab 04:34),Berlin Gesundbrunnen
07:13 (+7),RE 52823,Berlin Südkreuz (ab 07:01),Berlin Gesundbrunnen
07:22,RE 3303,Stralsund Hbf (ab 04:16),Berlin Gesundbrunnen
07:27,FEX19810,Ludwigsfelde (ab 06:39),Berlin Gesundbrunnen
07:34 (+8),RE 3607,Perleberg (ab 05:03),Berlin Gesundbrunnen
07:35 (+8),RE 3342,Jüterbog (ab 06:33),Berlin Gesundbrunnen
07:39 (+6),RB 18244,Potsdam Hbf (ab 06:35),Berlin Gesundbrunnen
07:42 (+4),IC 2274,Dresden Hbf (ab 05:30),Berlin Gesundbrunnen Bhf
