Ankunft,Zugnr.,von (Abfahrt),Ankunftsbhf.
11:07 (+5),ICE 1107,Berlin Hbf (ab 11:02),Berlin Südkreuz
11:12 (+13),RE 3150,Rathenow (ab 10:02),Berlin Südkreuz
11:17,RE 3346,Jüterbog (ab 10:33),Berlin Südkreuz
11:22,ICE 1219,Berlin Hbf (ab 11:17),Berlin Südkreuz
11:22 (+19),ICE 602,München Hbf (ab 06:49),Berlin Südkreuz
11:33 (+14),ICE 1006,München Hbf (ab 07:46),Berlin Südkreuz
11:38 (+10),ICE 705,Hamburg-Altona (ab 09:19),Berlin Südkreuz
11:42,RE 3367,Berlin Hbf (ab 11:34),Berlin Südkreuz
11:42,RE 3368,Berlin Hbf (ab 11:32),Berlin Südkreuz
11:47 (+13),RE 3173,Jüterbog (ab 11:03),Berlin Südkreuz
11:54 Ausfall,RB 18513,Nauen (ab 11:08),Berlin Südkreuz
11:59,RE 62065,Elsterwerda (ab 10:13),Berlin Südkreuz
12:07 (+4),ICE 1005,Hamburg-Altona (ab 09:50),Berlin Südkreuz
12:13 (+3),RE 3170,Stendal Hbf (ab 10:44),Berlin Südkreuz
12:15 (+5),ICE 802,München Hbf (ab 07:13),Berlin Südkreuz
12:16 (+3),ICE 1073,Ostseebad Binz (ab 08:19),Berlin Südkreuz
12:16 (+1),RE 51073,Prenzlau (ab 10:54),Berlin Südkreuz
12:22 (+1),RE 3310,Lutherstadt Wittenberg Hbf (ab 11:03),Berlin Südkreuz
12:25 (+1),ICE 694,Stuttgart Hbf (ab 06:50),Berlin Südkreuz
12:31 (+3),ICE 509,Hamburg-Altona (ab 10:17),Berlin Südkreuz
12:31 (+3),ice 509,Hamburg Dammtor (ab 10:26),Berlin Südkreuz
12:39 (+1),RE 3347,Schwedt(Oder) (ab 11:06),Berlin Südkreuz
12:43,RE 3153,Falkenberg(Elster) (ab 11:14),Berlin Südkreuz
12:46 (+37),ICE 994,Frankfurt(M) Flughafen Fernbf (ab 08:09),Berlin Südkreuz
12:47,ICE 1112,München Hbf (ab 08:00),Berlin Südkreuz
12:50,ICE 932,Saarbrücken Hbf (ab 06:28),Berlin Südkreuz
12:54 Ausfall,RB 18515,Nauen (ab 12:08),Berlin Südkreuz
13:03,RE 62067,Baruth(Mark) (ab 12:07),Berlin Südkreuz
13:07,ICE 1109,S+U Gesundbrunnen Bhf (ab 12:52),Berlin Südkreuz
13:12 (+1),RE 3152,Rathenow (ab 12:02),Berlin Südkreuz
13:17,RE 3348,Luckenwalde (ab 12:39),Berlin Südkreuz
13:22 (+11),ICE 1600,München Hbf (ab 08:47),Berlin Südkreuz
13:22 (+11),ICE 1710,München Hbf (ab 08:47),Berlin Südkreuz
13:31 (+1),ICE 691,S+U Gesundbrunnen Bhf (ab 13:14),Berlin Südkreuz
13:38 (+8),ICE 707,Hamburg-Altona (ab 11:18),Berlin Südkreuz
13:41 (+5),RE 3175,Jüterbog (ab 13:03),Berlin Südkreuz
13:42 (+1),RE 3309,Stralsund Hbf (ab 10:16),Berlin Südkreuz
13:45 (+12),ICE 1694,München Hbf (ab 08:38),Berlin Südkreuz
13:45 (+13),ICE 94,Wien Hbf (ab 06:13),Berlin Südkreuz
13:55 Ausfall,RB 18517,Nauen (ab 13:08),Berlin Südkreuz
13:59 (+2),RE 62069,Elsterwerda (ab 12:13),Berlin Südkreuz
14:07 (+1),ICE 1695,Hamburg-Altona (ab 11:50),Berlin Südkreuz
14:07 (+1),ICE 95,Hamburg-Altona (ab 11:50),Berlin Südkreuz
14:12 (+4),RE 3172,Stendal Hbf (ab 12:44),Berlin Südkreuz
14:15 (+3),ICE 800,München Hbf (ab 09:46),Berlin Südkreuz
14:22 (+2),RE 3312,Lutherstadt Wittenberg Hbf (ab 13:00),Berlin Südkreuz
14:25 (+1),ICE 692,München Hbf (ab 06:41),Berlin Südkreuz
14:33 (+12),ICE 1601,Hamburg-Altona (ab 12:15),Berlin Südkreuz
14:33 (+12),ICE 1711,Ostseebad Binz (ab 10:21),Berlin Südkreuz
14:33 (+8),RE 51711,Prenzlau (ab 12:54),Berlin Südkreuz
14:39 (+1),RE 3349,Schwedt(Oder) (ab 13:06),Berlin Südkreuz
14:43,RE 3155,Falkenberg(Elster) (ab 13:14),Berlin Südkreuz
14:47,ICE 1110,München Hbf (ab 10:19),Berlin Südkreuz
14:47,ICE 992,Frankfurt(M) Flughafen Fernbf (ab 10:09),Berlin Südkreuz
14:49 (+40),ICE 930,Frankfurt(Main)Hbf (ab 11:02),Berlin Südkreuz
14:54 Ausfall,RB 18519,Nauen (ab 14:08),Berlin Südkreuz
15:02,ICE 933,Berlin Hbf (ab 14:57),Berlin Südkreuz
15:02,RE 62071,Baruth(Mark) (ab 14:07),Berlin Südkreuz
15:07,ICE 1111,Berlin Gesundbrunnen (ab 14:52),Berlin Südkreuz
15:12 (+1),RE 3154,Rathenow (ab 14:02),Berlin Südkreuz
15:17 (+1),RE 3350,Jüterbog (ab 14:35),Berlin Südkreuz
15:22 (+18),ICE 508,München Hbf (ab 10:49),Berlin Südkreuz
15:25 (+1),ICE 693,Berlin Hbf (ab 15:20),Berlin Südkreuz
15:31,FLX 1245,Berlin Gesundbrunnen (ab 15:14),Berlin Südkreuz
15:35 (+7),ICE 1004,München Hbf (ab 11:47),Berlin Südkreuz
15:38 (+11),ICE 709,Hamburg-Altona (ab 13:18),Berlin Südkreuz
15:42,RE 3311,Stralsund Hbf (ab 12:19),Berlin Südkreuz
15:47 (+10),RE 3177,Jüterbog (ab 15:03),Berlin Südkreuz
15:54,RB 18521,Nauen (ab 15:08),Berlin Südkreuz
15:59,RE 62073,Elsterwerda (ab 14:13),Berlin Südkreuz
16:09 (+2),RE 3174,Stendal Hbf (ab 14:44),Berlin Südkreuz
16:15 (+1),ICE 708,München Hbf (ab 11:13),Berlin Südkreuz
16:16 (+6),ICE 1007,Lübeck Hbf (ab 13:17),Berlin Südkreuz
16:22 (+1),RE 3314,Lutherstadt Wittenberg Hbf (ab 15:03),Berlin Südkreuz
16:25 (+1),ICE 690,München Hbf (ab 08:46),Berlin Südkreuz
16:31 (+1),ICE 603,Hamburg-Altona (ab 14:19),Berlin Südkreuz
16:39 (+2),RE 3351,Schwedt(Oder) (ab 15:06),Berlin Südkreuz
16:43,RE 3157,Falkenberg(Elster) (ab 15:14),Berlin Südkreuz
16:46 (+8),ICE 798,Frankfurt(M) Flughafen Fernbf (ab 12:09),Berlin Südkreuz
16:47,ICE 1108,Nürnberg Hbf (ab 14:01),Berlin Südkreuz
16:49 (+1),ICE 838,Frankfurt(Main)Hbf (ab 13:02),Berlin Südkreuz
16:55,RB 18523,Nauen (ab 16:08),Berlin Südkreuz
17:02 (+1),ICE 1113,S+U Gesundbrunnen Bhf (ab 16:42),Berlin Südkreuz
17:02 (+2),RE 62075,Finsterwalde(Niederlausitz) (ab 15:24),Berlin Südkreuz
17:05 (+4),ICE 935,Hamburg-Altona (ab 14:38),Berlin Südkreuz
17:12 (+6),RE 3156,Rathenow (ab 16:02),Berlin Südkreuz
17:18 (+4),RE 3352,Jüterbog (ab 16:33),Berlin Südkreuz
17:22 (+8),ICE 506,München Hbf (ab 12:49),Berlin Südkreuz
17:38 (+3),ICE 801,Kiel Hbf (ab 14:13),Berlin Südkreuz
17:41,RE 26117,Jüterbog (ab 17:03),Berlin Südkreuz
17:41 (+18),RE 3179,Jüterbog (ab 17:03),Berlin Südkreuz
17:42 (+5),RE 3313,Stralsund Hbf (ab 14:16),Berlin Südkreuz
17:45 (+4),ICE 92,Wien Hbf (ab 10:13),Berlin Südkreuz
17:54 Ausfall,RB 18525,Nauen (ab 17:08),Berlin Südkreuz
17:59 (+4),RE 62077,Elsterwerda (ab 16:13),Berlin Südkreuz
18:09 (+3),RE 3176,Stendal Hbf (ab 16:44),Berlin Südkreuz
18:15 (+2),ICE 706,München Hbf (ab 13:50),Berlin Südkreuz
18:17 (+2),ICE 1009,Hamburg-Altona (ab 15:37),Berlin Südkreuz
18:22 (+2),RE 3316,Lutherstadt Wittenberg Hbf (ab 17:00),Berlin Südkreuz
18:25 (+79),ICE 1218,Innsbruck Hbf (ab 08:42),Berlin Südkreuz
18:32 (+19),ICE 1605,Hamburg-Altona (ab 16:16),Berlin Südkreuz
18:32 (+19),ICE 1705,Hamburg-Altona (ab 16:16),Berlin Südkreuz
18:39 (+2),RE 3353,Schwedt(Oder) (ab 17:06),Berlin Südkreuz
18:43,RE 3159,Falkenberg(Elster) (ab 17:14),Berlin Südkreuz
18:46 (+1),ICE 1106,Nürnberg Hbf (ab 16:01),Berlin Südkreuz
18:46 (+9),ICE 796,Frankfurt(M) Flughafen Fernbf (ab 14:09),Berlin Südkreuz
18:50 (+42),ICE 2912,Frankfurt(Main)Hbf (ab 15:02),Berlin Südkreuz
18:50 Ausfall,ICE 836,Frankfurt(Main)Hbf (ab 15:02),Berlin Südkreuz
18:55 Ausfall,RB 18527,Nauen (ab 18:08),Berlin Südkreuz
18:59,NJ 457,Berlin Hbf (ab 19:18),Berlin Südkreuz
19:02,RE 62079,Finsterwalde(Niederlausitz) (ab 17:24),Berlin Südkreuz
19:12 (+11),RE 3158,Rathenow (ab 18:02),Berlin Südkreuz
19:18,RE 3354,Jüterbog (ab 18:33),Berlin Südkreuz
19:22 (+7),ICE 504,München Hbf (ab 14:49),Berlin Südkreuz
19:26,EN 40457,Berlin Hbf (ab 19:18),Berlin Südkreuz
19:33 (+5),ICE 1002,München Hbf (ab 15:47),Berlin Südkreuz
19:38 (+8),ICE 803,Hamburg-Altona (ab 17:20),Berlin Südkreuz
19:42,RE 3370,Berlin Hbf (ab 19:41),Berlin Südkreuz
19:42 (+1),RE 3371,Berlin Hbf (ab 19:36),Berlin Südkreuz
19:47 (+7),RE 3181,Jüterbog (ab 19:03),Berlin Südkreuz
19:54 Ausfall,RB 18529,Nauen (ab 19:08),Berlin Südkreuz
19:59,RE 62081,Elsterwerda (ab 18:13),Berlin Südkreuz
20:07 (+23),ICE 1019,Berlin Gesundbrunnen (ab 19:50),Berlin Südkreuz
