Ankunft ▼,Ist ▼,Zugnr. ▼,von (Abfahrt) ▼,Gleis ▼
19:35,19:35,RB 18629,Nauen (ab 19:10),
19:46 (+2),19:48,ICE 1130,Saarbrücken Hbf (ab 13:27),5
19:46 (+2),19:48,ICE 1910,Saarbrücken Hbf (ab 13:27),5
19:52 Ausfall,--:--,RE 3131,Cottbus Hbf (ab 18:03),3
19:52 (+1),19:53,RE 3178,Stendal Hbf (ab 18:47),6
19:58 (+5),20:03,ICE 842,Berlin Hbf (ab 19:47),4
19:58 (+5),20:03,ICE 852,Berlin Hbf (ab 19:47),
19:58 (+41),20:39,ICE 943,Düsseldorf Hbf (ab 14:49),5
19:58 (+41),20:39,ICE 953,Köln Hbf (ab 14:53),5
20:04,20:04,RE 3132,Nauen (ab 19:39),5
20:04 (+14),20:18,RE 3181,Jüterbog (ab 19:02),4
20:20 (+10),20:30,RE 62030,Wittenberge (ab 19:05),5
20:27,20:27,RB 18270,Wustermark (ab 20:09),
20:29 (+10),20:39,FLX 1244,Berlin Südkreuz (ab 19:55),3
20:35,20:35,RB 18631,Nauen (ab 20:11),
20:35 (+1),20:36,RE 62033,Berlin Südkreuz (ab 20:09),3
20:35,20:35,RE 8,Wunstorf (ab 02:31),
20:52 (+36),21:28,RE 3160,Rathenow (ab 20:04),6
21:04 (+48),21:52,ICE 149,Amsterdam Centraal (ab 14:01),6
21:04,21:04,RE 3134,Nauen (ab 20:39),
21:04 (+2),21:06,RE 3161,Falkenberg(Elster) (ab 19:18),4
21:10 (+28),21:38,FLX 1327,Köln Hbf (ab 16:07),6
21:15 (+5),21:20,ICE 2556,Zürich HB (ab 11:59),6
21:20 (+8),21:28,RE 62032,Wismar (ab 18:21),5
21:27 (+2),21:29,RB 18272,Wustermark (ab 21:09),
21:52,21:52,RE 3180,Stendal Hbf (ab 20:47),6
21:57 (+21),22:18,ICE 945,Düsseldorf Hbf (ab 16:49),5
21:57 (+21),22:18,ICE 955,Köln Hbf (ab 16:54),5
22:00 (+14),22:14,ICE 840,Berlin Hbf (ab 21:47),4
22:04 (+8),22:12,RE 3183,Jüterbog (ab 21:02),
22:22 (+47),23:09,ICE 2822,München Hbf (ab 11:12),6
22:22 (+47),23:09,ICE 792,Frankfurt(M) Flughafen Fernbf (ab 18:09),6
22:27,22:27,RB 18274,Wustermark (ab 22:09),
22:27,22:27,RB 21,Niedernhausen(Taunus) (ab 01:05),
22:48 Ausfall,--:--,ICE 241,Amsterdam Centraal (ab 16:01),
22:52,22:52,RE 3162,Rathenow (ab 22:09),6
22:57 (+18),23:15,ICE 645,Düsseldorf Hbf (ab 17:24),5
23:13,23:13,ICE 2513,Berlin Südkreuz (ab 22:53),3
23:15 (+3),23:18,ICE 2554,Zürich HB (ab 14:00),6
23:18 (+71),00:29,RE 3185,Jüterbog (ab 22:04),4
23:52,23:52,RE 3182,Stendal Hbf (ab 22:50),
23:52,23:52,RE 92082,Stendal Hbf (ab 22:50),
