Ankunft,Zugnr.,von (Abfahrt),Gleis
00:02,RE 90218,Hennigsdorf(b Berlin) (ab 23:00),
00:09,RE 73792,Potsdam Park Sanssouci (ab 23:30),
00:09,RE 73826,Erkner (ab 23:43),
00:36 (+112),ICE 947,Köln Hbf (ab 19:27),3
00:37,RE 91441,Cottbus Hbf (ab 23:03),
00:41,RE 1,Erkner (ab 00:20),
01:02,RE 2,Elze(Han) (ab 00:03),
01:14,RE 3742,Brück(Mark) (ab 00:09),
01:33,RE 94791,Potsdam Hbf (ab 00:53),
04:31,FEX,Berlin Potsdamer Platz (ab 09:56),
05:10,RE 94758,Erkner (ab 04:50),
05:23,RE 92303,Cottbus Hbf (ab 04:00),
05:26,RE 94753,Potsdam Hbf (ab 04:49),
05:36,RE 2,Hof (Saale)Hbf (ab 20:40),
05:36,RE 3102,Berlin-Charlottenburg (ab 05:15),1
05:47,RE 94718,Erkner (ab 05:28),7
05:55,RE 95111,Bad Belzig (ab 04:41),
06:09,RE 1,Altenburg b.Zwickau (ab 19:05),
06:09,RE 94713,Berlin-Wannsee (ab 05:39),
06:10,RE 94760,Erkner (ab 05:48),
06:23,RE 3105,Cottbus Hbf (ab 04:57),
06:27,ES 453,Bruxelles Midi (ab 19:22),2
06:36,RE 3104,Hennigsdorf(b Berlin) (ab 05:35),1
06:46,RE 94755,Potsdam Hbf (ab 06:10),
06:47,RE 92078,Erkner (ab 06:28),
06:47,RE 94720,Erkner (ab 06:28),
06:56,RE 3706,Dessau Hbf (ab 05:05),2
07:02,ICE 1272,Frankfurt(Main)Hbf (ab 23:35),3
07:02,RE 3711,Senftenberg (ab 05:11),7
07:09,RE 94715,Berlin-Wannsee (ab 06:39),
07:10,RE 75851,Erkner (ab 06:50),
07:23,RE 3107,Cottbus Hbf (ab 06:07),7
07:36,RE 3106,Hennigsdorf(b Berlin) (ab 06:35),1
07:47,RE 33682,Erkner (ab 07:28),
07:56 (+1),RE 3708,Bad Belzig (ab 06:41),2
07:56,RE 94008,Bad Belzig (ab 06:41),
08:09,RE 93718,Berlin-Wannsee (ab 07:39),
08:10,RE 75853,Erkner (ab 07:50),
08:23,RE 3109,Cottbus Hbf (ab 07:03),7
08:28,ICE 851,Hannover Hbf (ab 05:46),2
08:36,RE 3108,Hennigsdorf(b Berlin) (ab 07:35),1
08:46 (+1),RE 94759,Potsdam Hbf (ab 08:10),
08:47,RE 33684,Erkner (ab 08:28),
08:47 (+1),RE 94724,Erkner (ab 08:28),
08:56,RE 3710,Dessau Hbf (ab 07:05),2
09:02 Ausfall,RE 3715,Senftenberg (ab 07:14),7
09:03,ICE 841,Hannover Hbf (ab 06:32),2
09:09,RE 94719,Berlin-Wannsee (ab 08:39),
09:10 (+2),RE 94766,Erkner (ab 08:50),
09:23 (+1),RE 3111,Cottbus Hbf (ab 08:04),7
09:36,RE 3110,Hennigsdorf(b Berlin) (ab 08:35),1
09:41 (+18),ICE 541,Köln Hbf (ab 04:25),2
09:46,RE 94761,Potsdam Hbf (ab 09:10),
09:47,RE 33686,Erkner (ab 09:28),
09:47,RE 94726,Erkner (ab 09:28),
09:51 (+9),ICE 2812,Stuttgart Hbf (ab 16:54),3
09:51,ICE 2818,Kassel-Wilhelmshöhe (ab 06:45),3
09:51,ICE 676,Kassel-Wilhelmshöhe (ab 06:45),3
09:56,RE 3712,Bad Belzig (ab 08:41),2
10:02 (+2),RE 3717,Senftenberg (ab 08:14),7
10:09,RE 93722,Berlin-Wannsee (ab 09:39),
10:09,RE 94721,Berlin-Wannsee (ab 09:39),
10:10,RE 75857,Erkner (ab 09:50),
10:10,RE 94768,Erkner (ab 09:50),
10:23 (+4),RE 3113,Cottbus Hbf (ab 09:03),7
10:34 (+5),ICE 843,Köln Hbf (ab 05:26),2
10:36,RE 3112,Hennigsdorf(b Berlin) (ab 09:35),1
10:46 (+2),RE 94763,Potsdam Hbf (ab 10:10),
10:47,RE 33688,Erkner (ab 10:28),
10:47 (+2),RE 94728,Erkner (ab 10:28),
10:49 (+1),ICE 996,Kassel-Wilhelmshöhe (ab 07:49),3
10:56 (+3),RE 3714,Dessau Hbf (ab 09:05),2
11:02 Ausfall,RE 3719,Senftenberg (ab 09:14),7
11:09,RE 93724,Berlin-Wannsee (ab 10:39),
11:09 (+1),RE 94723,Berlin-Wannsee (ab 10:39),
11:10,RE 92646,Erkner (ab 10:50),
11:10,RE 94770,Erkner (ab 10:50),
11:23,RE 3115,Cottbus Hbf (ab 10:03),7
11:36,RE 3114,Hennigsdorf(b Berlin) (ab 10:35),1
11:40,ICE 543,Köln Hbf (ab 06:25),2
11:46 (+1),RE 94765,Potsdam Hbf (ab 11:10),
11:47,RE 33690,Erkner (ab 11:28),
11:47 (+1),RE 94730,Erkner (ab 11:28),
11:56 (+4),RE 3716,Dessau Hbf (ab 10:05),2
12:02,ICE 141,Amsterdam Centraal (ab 06:00),2
12:02 (+1),RE 3721,Senftenberg (ab 10:14),7
12:09,RE 93726,Berlin-Wannsee (ab 11:39),
12:09 (+1),RE 94725,Berlin-Wannsee (ab 11:39),
12:10,RB 94772,Erkner (ab 11:50),
12:10,RE 94772,Erkner (ab 11:50),
12:23 (+2),RE 3117,Cottbus Hbf (ab 11:03),7
12:36,RE 3116,Hennigsdorf(b Berlin) (ab 11:35),1
12:41,ICE 2829,Köln Hbf (ab 07:27),2
12:41,ICE 845,Köln Hbf (ab 07:27),2
12:46,RE 62112,Potsdam Hbf (ab 12:10),
12:46 (+1),RE 94767,Potsdam Hbf (ab 12:10),
12:47,RE 33692,Erkner (ab 12:28),
12:47,RE 94732,Erkner (ab 12:28),
12:50 (+7),ICE 994,Göttingen (ab 10:09),2
12:56 Ausfall,RE 3718,Dessau Hbf (ab 11:05),3
13:02 (+3),RE 3723,Senftenberg (ab 11:14),7
13:06 (+6),IC 2035,Norddeich (ab 05:39),2
13:09,RE 93728,Berlin-Wannsee (ab 12:39),
13:09 (+1),RE 94727,Berlin-Wannsee (ab 12:39),
13:10,RE 94774,Erkner (ab 12:50),
13:23 (+1),RE 3119,Cottbus Hbf (ab 12:03),7
13:36,RE 3118,Hennigsdorf(b Berlin) (ab 12:35),1
13:40 (+1),ICE 545,Köln Hbf (ab 08:25),2
13:46,RE 94769,Potsdam Hbf (ab 13:10),
13:47,RE 92654,Erkner (ab 13:28),
13:47,RE 94734,Erkner (ab 13:28),
13:56 (+3),RE 3720,Dessau Hbf (ab 12:05),2
14:02,ICE 143,Amsterdam Centraal (ab 08:00),
14:02 (+13),RE 3725,Senftenberg (ab 12:14),7
14:05,DRF 1321,Köln Hbf (ab 08:14),2
14:05,FLX 1321,Köln Hbf (ab 08:14),3
14:09,RE 93730,Berlin-Wannsee (ab 13:39),
14:09,RE 94729,Berlin-Wannsee (ab 13:39),
14:09 (+2),RE 94776,Erkner (ab 13:46),
14:23 (+1),RE 3121,Cottbus Hbf (ab 13:03),7
14:36,RE 3120,Hennigsdorf(b Berlin) (ab 13:35),1
14:39,ICE 847,Köln Hbf (ab 09:27),2
14:46 (+1),RE 94771,Potsdam Hbf (ab 14:10),
14:47,RE 33696,Erkner (ab 14:28),
14:47,RE 94736,Erkner (ab 14:28),
14:49 (+4),ICE 992,Göttingen (ab 12:09),3
14:56 Ausfall,RE 3722,Dessau Hbf (ab 13:05),2
15:02 (+2),RE 3727,Senftenberg (ab 13:14),7
15:09,RE 93732,Berlin-Wannsee (ab 14:39),
15:09,RE 94731,Berlin-Wannsee (ab 14:39),
15:10,RE 92642,Erkner (ab 14:50),
15:10 (+1),RE 94778,Erkner (ab 14:50),
15:23 (+1),RE 3123,Cottbus Hbf (ab 14:03),7
15:36,RE 3122,Hennigsdorf(b Berlin) (ab 14:35),1
15:40 (+32),ICE 547,Köln Hbf (ab 10:24),2
15:46,RE 94773,Potsdam Hbf (ab 15:10),
15:47 (+1),RB 94738,Erkner (ab 15:28),
15:47,RE 92478,Erkner (ab 15:28),
15:56 (+2),RE 3724,Dessau Hbf (ab 14:05),2
16:02,ICE 145,Amsterdam Centraal (ab 10:00),
16:02 (+2),RE 3729,Senftenberg (ab 14:14),7
16:09,RE 93734,Berlin-Wannsee (ab 15:39),
16:09,RE 94733,Berlin-Wannsee (ab 15:39),
16:10,RB 94780,Erkner (ab 15:50),
16:10,RE 75859,Erkner (ab 15:50),
16:23 (+1),RE 3125,Cottbus Hbf (ab 15:03),7
16:36,RE 3124,Hennigsdorf(b Berlin) (ab 15:35),1
16:39 Ausfall,ICE 849,Köln Hbf (ab 11:28),2
16:46,RE 94775,Potsdam Hbf (ab 16:10),
16:47,RB 94740,Erkner (ab 16:28),
16:47,RE 94740,Erkner (ab 16:28),
16:49 (+2),ICE 2598,Frankfurt(Main)Hbf (ab 11:36),
16:56 (+3),RE 3726,Dessau Hbf (ab 15:05),2
17:02 Ausfall,RE 3731,Senftenberg (ab 15:14),7
17:09,RE 93736,Berlin-Wannsee (ab 16:39),
17:09,RE 94735,Berlin-Wannsee (ab 16:39),
17:10,RB 94782,Erkner (ab 16:50),
17:10,RE 75861,Erkner (ab 16:50),
17:23 (+1),RE 3127,Cottbus Hbf (ab 16:03),7
17:36,RE 3126,Hennigsdorf(b Berlin) (ab 16:35),1
17:39 (+23),ICE 549,Köln Hbf (ab 12:26),2
17:46,RE 94777,Potsdam Hbf (ab 17:10),
17:47,RE 92496,Erkner (ab 17:28),
17:47,RE 94742,Erkner (ab 17:28),
17:56 (+1),RE 3728,Dessau Hbf (ab 16:05),2
18:02,ICE 147,Amsterdam Centraal (ab 12:00),
18:02 (+3),RE 3733,Senftenberg (ab 16:14),6
18:09,RE 93738,Berlin-Wannsee (ab 17:39),
18:09,RE 94737,Berlin-Wannsee (ab 17:39),
18:10,RE 75863,Erkner (ab 17:50),
18:10,RE 94784,Erkner (ab 17:50),
18:23 (+2),RE 3129,Cottbus Hbf (ab 17:03),7
18:36 (+1),RE 3128,Hennigsdorf(b Berlin) (ab 17:35),1
18:40 (+1),ICE 941,Köln Hbf (ab 13:27),2
18:46 (+1),RB 94779,Potsdam Hbf (ab 18:10),
18:46,RE 94779,Potsdam Hbf (ab 18:10),
18:47 (+1),RE 94744,Erkner (ab 18:28),
18:49 (+72),ICE 2596,Frankfurt(Main)Hbf (ab 13:48),
18:56 Ausfall,RE 3730,Dessau Hbf (ab 17:05),1
19:00,IC 2431,Emden Außenhafen (ab 12:01),2
19:02 (+4),RE 3735,Senftenberg (ab 17:14),7
19:09,RB 94739,Berlin-Wannsee (ab 18:39),
19:09,RE 94739,Berlin-Wannsee (ab 18:39),
19:10 (+1),RB 94786,Erkner (ab 18:50),
19:10,RE 75865,Erkner (ab 18:50),
19:11 (+11),RJ 174,Budapest-Nyugati (ab 07:30),7
19:13 Ausfall,ICE 1549,Köln Hbf (ab 13:34),2
19:23 (+6),RE 3131,Cottbus Hbf (ab 18:03),7
19:36 (+17),RE 3130,Hennigsdorf(b Berlin) (ab 18:35),1
19:46,RB 94781,Potsdam Hbf (ab 19:10),
19:46,RE 94781,Potsdam Hbf (ab 19:10),
19:47,RE 94746,Erkner (ab 19:28),
19:56 (+1),RE 3732,Dessau Hbf (ab 18:05),2
20:01,ICE 641,Köln Hbf (ab 14:26),2
20:02,ICE 149,Amsterdam Centraal (ab 14:00),
20:02 (+2),RE 3737,Senftenberg (ab 18:14),7
20:09,RE 93742,Berlin-Wannsee (ab 19:39),
20:09,RE 94741,Berlin-Wannsee (ab 19:39),
20:10,RE 94788,Erkner (ab 19:50),
20:23 (+1),RE 3133,Cottbus Hbf (ab 19:03),6
20:36 (+3),RE 3132,Hennigsdorf(b Berlin) (ab 19:35),1
20:41,ICE 943,Köln Hbf (ab 15:28),2
