Abfahrt ▼,Ist ▼,Zugnr. ▼,nach (Ankunft) ▼,Gleis ▼
00:16,00:16,ICE 901,Berlin Ostbahnhof (an 00:23),12
00:22,00:22,RE 3366,Eberswalde Hbf (an 01:04),6
00:25,00:25,RB 62086,Berlin-Spandau (an 00:35),7
00:29,00:29,ICE 947,Berlin Ostbahnhof (an 00:36),11
00:39 (+38),01:17,ICE 700,Berlin Gesundbrunnen (an 00:43),5
00:40,00:40,RE 3,Dresden-Neustadt (an 22:17),
00:40,00:40,RE 3363,Halle(Saale)Hbf (an 03:12),4
00:52,00:52,RE 3140,Cottbus Hbf (an 02:40),
00:53,00:53,RE 3165,Berlin-Spandau (an 01:03),
00:55,00:55,RE 73796,Brandenburg Hbf (an 01:54),14
01:05,01:05,RB 21968,Berlin-Charlottenburg (an 01:13),14
01:22,01:22,RE 73791,Frankfurt(Oder) (an 02:38),12
01:32 (+9),01:41,ICE 1707,Berlin Ostbahnhof (an 01:40),
01:32 (+7),01:39,ICE 2863,Berlin Ostbahnhof (an 01:40),
01:43 (+1),01:44,RB 21969,Flughafen BER (an 02:15),12
01:50 (+11),02:01,RE 73752,Brandenburg Hbf (an 02:51),14
01:57,01:57,RE 62088,Berlin-Spandau (an 02:08),
02:09,02:09,RE 3362,Eberswalde Hbf (an 02:48),
02:22 (+2),02:24,ICE 647,Berlin Ostbahnhof (an 02:30),12
02:30,02:30,RE 3701,Bad Belzig (an 03:33),13
02:30,02:30,RE 3703,Berlin-Wannsee (an 02:48),
02:37,02:37,RE 3143,Frankfurt(Oder) (an 03:55),
02:37,02:37,RE 73793,Frankfurt(Oder) (an 03:55),11
02:55,02:55,RB 21802,Berlin-Charlottenburg (an 03:04),14
02:58,02:58,RB 21803,Flughafen BER (an 03:33),12
03:07,03:07,RE 73754,Magdeburg Hbf (an 05:08),14
04:11,04:11,RE 1,Ingolstadt Hbf (an 23:53),
04:11,04:11,RE 73751,Frankfurt(Oder) (an 05:29),
04:18,04:18,RE 3340,Angermünde (an 05:21),
04:23,04:23,ICE 646,Köln Hbf (an 09:33),14
04:30,04:30,RE 73801,Frankfurt(Oder) (an 05:36),
04:39,04:39,ICE 1706,Hamburg Hbf (an 07:11),8
04:39,04:39,ICE 2824,Hamburg Hbf (an 07:11),8
04:39,04:39,ICE 2842,Hamburg Hbf (an 07:11),
04:39 (+1),04:40,RB 21813,Flughafen BER (an 05:14),12
04:39,04:39,RE 1,Hamburg Hbf (an 21:37),
04:39 (+2),04:41,RE 73756,Brandenburg Hbf (an 05:33),14
04:45,04:45,RB 21806,Berlin-Charlottenburg (an 04:53),
04:47 (+1),04:48,RE 3369,Berlin Südkreuz (an 04:53),4
04:47,04:47,RE 62040,Rangsdorf (an 05:11),1
04:47,04:47,RE 62052,Berlin Südkreuz (an 04:53),
05:03,05:03,RE 73716,Magdeburg Hbf (an 06:50),13
05:10,05:10,RB 21817,Berlin Ostkreuz (an 05:24),
05:10,05:10,RE 56301,Schwerin Hbf (an 07:48),6
05:15,05:15,RE 3707,Dessau Hbf (an 06:53),13
05:16,05:16,RE 73753,Frankfurt(Oder) (an 06:35),11
05:22,05:22,RE 3302,Pasewalk (an 07:15),5
05:24,05:24,RE 73758,Brandenburg Hbf (an 06:19),13
05:25,05:25,RE 8,Halle(Saale)Hbf (an 09:58),
05:26,05:26,RE 2,Mainz Hbf (an 21:49),
05:26,05:26,RE 3102,Cottbus Hbf (an 06:56),11
05:27 (+1),05:28,ICE 593,München Hbf (an 13:15),4
05:28 (+23),05:51,ICE 946,Köln Hbf (an 10:35),14
05:32,05:32,RE 3341,Luckenwalde (an 06:27),2
05:36 (+2),05:38,ICE 1501,München Hbf (an 09:41),4
05:37,05:37,RE 3103,Hennigsdorf(b Berlin) (an 06:23),14
05:39,05:39,ICE 1541,Berlin Ostbahnhof (an 05:46),11
05:42,05:42,ICE 2844,Hamburg Hbf (an 08:15),5
05:42,05:42,ICE 608,Hamburg Hbf (an 08:15),5
05:43,05:43,RE 62000,Baruth(Mark) (an 06:36),2
05:45 (+1),05:46,RE 3704,Senftenberg (an 07:41),12
05:46 (+1),05:47,RE 3504,Stralsund Hbf (an 08:51),6
05:47,05:47,RB 62050,Wustermark (an 06:19),7
05:51,05:51,EC 41,Warszawa Wschodnia (an 11:15),11
05:52,05:52,ICE 2817,München Hbf (an 13:08),3
05:52 (+3),05:55,ICE 701,Graz Hbf (an 13:15),3
05:54,05:54,RE 3167,Stendal Hbf (an 07:13),7
05:59 (+3),06:02,RE 73713,Frankfurt(Oder) (an 07:18),
06:01,06:01,RE 73718,Magdeburg Hbf (an 07:50),14
06:07,06:07,RB 18500,Lübben(Spreewald) (an 07:08),
06:07,06:07,RE 20,Cottbus Hbf (an 22:43),
06:07,06:07,RE 3164,Jüterbog (an 06:54),2
06:11 (+1),06:12,ICE 240,Amsterdam Centraal (an 11:58),14
06:12,06:12,RJ 251,Villach Hbf (an 18:27),3
06:12,06:12,RJX 251,Villach Hbf (an 18:27),3
06:14,06:14,RB 62051,Berlin Südkreuz (an 06:21),1
06:15,06:15,RE 3503,Sargans (an 22:24),4
06:18,06:18,ES 453,Praha hl.n. (an 10:51),11
06:23,06:23,RE 3342,Angermünde (an 07:23),
