Ankunft,Zugnr.,von (Abfahrt),Gleis
16:13 (+3),ICE 374,Interlaken Ost (ab 05:59),
16:16 (+4),IC 2271,Rostock Hbf (ab 14:20),6
16:22 (+2),RE 3311,Stralsund Hbf (ab 13:10),6
16:28 (+8),RE 3352,Lutherstadt Wittenberg Hbf (ab 14:52),9
16:31,ICE 1508,München Hbf (ab 12:21),8
16:34,RE 3625,Perleberg (ab 14:03),
16:39 (+17),RB 56808,Schwerin Hbf (ab 14:14),9
16:39 (+15),RE 56808,Schwerin Hbf (ab 14:14),9
16:40 (+2),RB 18262,Werder(Havel) (ab 15:41),5
16:51 (+1),RE 4362,Berlin Südkreuz (ab 16:34),10
16:54 (+64),ICE 2935,Ostseebad Binz (ab 13:24),6
16:54 (+65),ICE 935,Ostseebad Binz (ab 13:24),6
16:59 (+4),RE 18493,Neustrelitz Hbf (ab 15:48),7
16:59,RE 5,München Ost (ab 00:02),
17:02,ICE 838,Berlin Hbf (ab 16:58),
17:03 (+7),RE 4363,Rostock Hbf (ab 14:37),6
17:21 (+49),RE 3353,Schwedt(Oder) (ab 16:04),6
17:28,RE 3314,Luckenwalde (ab 16:35),9
17:31 (+3),ICE 1006,München Hbf (ab 13:17),8
17:34 Ausfall,RE 3627,Perleberg (ab 15:03),
17:40 (+3),RB 18264,Werder(Havel) (ab 16:41),5
17:43 (+2),IC 2174,Dresden Hbf (ab 15:35),9
17:51,RE 3516,Berlin Südkreuz (ab 17:36),9
18:03,RE 3515,Stralsund Hbf (ab 15:02),6
18:16 (+1),IC 2273,Rostock Hbf (ab 16:20),6
18:22 (+3),RE 3313,Stralsund Hbf (ab 15:14),6
18:28 (+1),RE 3354,Lutherstadt Wittenberg Hbf (ab 16:52),10
18:31 (+7),ICE 1506,München Hbf (ab 14:21),8
18:34,RB 3629,Perleberg (ab 16:03),
18:34,RE 3629,Perleberg (ab 16:03),
18:39 (+26),RB 56810,Schwerin Hbf (ab 16:14),6
18:39 (+22),RE 56810,Schwerin Hbf (ab 16:14),6
18:40 (+3),RB 18266,Werder(Havel) (ab 17:41),5
18:51,RE 4364,Berlin Südkreuz (ab 18:34),10
18:54,ICE 937,Ostseebad Binz (ab 15:24),6
18:58,RB 55781,Joachimsthal (ab 18:08),
18:58 (+3),RB 55797,Joachimsthal (ab 18:08),7
19:03 (+5),RE 4365,Rostock Hbf (ab 16:37),6
19:28 (+2),RE 3316,Luckenwalde (ab 18:35),9
19:31 (+36),ICE 1004,München Hbf (ab 15:17),8
19:34,RB 3631,Perleberg (ab 17:03),
19:34,RE 3631,Perleberg (ab 17:03),
19:40 (+3),RB 18268,Werder(Havel) (ab 18:41),5
19:43 (+1),IC 2172,Dresden Hbf (ab 17:35),9
19:51,RE 3518,Berlin Südkreuz (ab 19:34),9
20:03,RE 3517,Stralsund Hbf (ab 17:02),6
20:16,ICE 370,Zürich HB (ab 10:59),
20:22,RE 3315,Stralsund Hbf (ab 17:10),6
20:28 (+1),RE 3356,Lutherstadt Wittenberg Hbf (ab 18:52),9
20:31 (+2),ICE 1504,München Hbf (ab 16:21),8
20:34,RB 3633,Perleberg (ab 18:03),
20:34,RE 3633,Perleberg (ab 18:03),
20:39 (+1),RB 56812,Schwerin Hbf (ab 18:14),6
20:39 (+4),RE 56812,Schwerin Hbf (ab 18:14),6
20:40 (+3),RB 18270,Werder(Havel) (ab 19:41),5
20:51 (+20),RE 4366,Berlin Südkreuz (ab 20:34),9
20:54 (+1),ICE 939,Ostseebad Binz (ab 17:15),6
21:03 (+5),RE 4367,Rostock Hbf (ab 18:37),6
21:12,RE 3318,Trebbin (ab 20:14),9
21:21 (+1),RE 3357,Schwedt(Oder) (ab 20:04),6
21:31 Ausfall,ICE 1002,München Hbf (ab 17:19),8
21:34 Ausfall,RB 3635,Perleberg (ab 19:03),
21:34 Ausfall,RE 3635,Perleberg (ab 19:03),
21:40,RB 18272,Werder(Havel) (ab 20:41),10
21:51,RE 3520,Berlin Südkreuz (ab 21:34),9
22:03 (+4),RE 3519,Stralsund Hbf (ab 19:02),6
22:24,ICE 278,Basel SBB (ab 14:17),
22:28,RE 3317,Stralsund Hbf (ab 19:13),6
22:28,RE 3358,Lutherstadt Wittenberg Hbf (ab 20:52),9
22:34,RB 3637,Perleberg (ab 20:03),
22:34,RE 3637,Perleberg (ab 20:03),
22:39,RB 56814,Schwerin Hbf (ab 20:14),6
22:39 (+1),RE 56814,Schwerin Hbf (ab 20:14),6
22:41,RB 18274,Potsdam Park Sanssouci (ab 21:41),10
22:51,RE 4368,Berlin Südkreuz (ab 22:35),9
23:03 (+2),RE 4369,Rostock Hbf (ab 20:37),6
23:28 (+1),RE 3320,Berlin Hbf (ab 23:24),9
23:34 Ausfall,RB 3639,Perleberg (ab 21:03),
23:34 Ausfall,RE 3639,Perleberg (ab 21:03),
23:50 (+1),RE 3359,Schwedt(Oder) (ab 22:11),6
23:51,RE 3522,Oranienburg (ab 00:14),9
23:54 (+319),ICE 1000,München Hbf (ab 19:18),7
