Ankunft ▼,Ist ▼,Zugnr. ▼,von (Abfahrt) ▼,Gleis ▼
00:02,00:02,RE 3138,Hennigsdorf(b Berlin) (ab 23:00),
00:03,00:03,RB 21962,Flughafen BER (ab 23:42),
00:09,00:09,RE 73826,Frankfurt(Oder) (ab 23:07),
00:09,00:09,RE 93249,Berlin-Wannsee (ab 23:39),
00:15,00:15,RB 93045,Senftenberg (ab 22:26),
00:37,00:37,RE 3141,Cottbus Hbf (ab 23:03),
00:41,00:41,RE 93296,Frankfurt(Oder) (ab 23:32),
00:51,00:51,RB 21968,Flughafen BER (ab 00:30),
01:02,01:02,RE 3140,Berlin-Charlottenburg (ab 00:42),
01:14,01:14,RB 93042,Berlin-Wannsee (ab 00:43),
01:33,01:33,RE 93291,Berlin-Wannsee (ab 01:01),
01:36,01:36,RB 93252,Frankfurt(Oder) (ab 00:29),
01:42,01:42,FEX,Blankenfelde(Teltow-Fläming) (ab 23:09),
01:53,01:53,RB 21969,Berlin-Charlottenburg (ab 01:33),
02:02,02:02,RB 21800,Flughafen BER (ab 01:29),
02:42,02:42,RB 21802,Flughafen BER (ab 02:22),
02:52,02:52,ICE 1707,Hamburg-Altona (ab 22:34),
05:02,05:02,RE 3707,Lübbenau(Spreewald) (ab 03:53),7
05:10,05:10,RE 73758,Frankfurt(Oder) (ab 04:15),
05:23,05:23,RE 3103,Cottbus Hbf (ab 04:00),7
05:23,05:23,RE 92303,Cottbus Hbf (ab 04:00),
05:26,05:26,RE 73753,Brandenburg Hbf (ab 04:17),1
05:36,05:36,RE 2,Hannover Hbf (ab 00:38),
05:44,05:44,RE 1,Burg(Magdeburg) (ab 00:30),
05:44,05:44,RE 73718,Frankfurt(Oder) (ab 04:39),7
05:46 (+30),06:16,ICE 1541,Köln Hbf (ab 23:27),2
05:55,05:55,RE 95111,Bad Belzig (ab 04:41),
06:09,06:09,RE 73713,Magdeburg Hbf (ab 04:12),
06:10,06:10,RE 73760,Frankfurt(Oder) (ab 05:08),
06:23,06:23,RE 3105,Cottbus Hbf (ab 04:57),
06:27,06:27,ES 453,Bruxelles Midi (ab 19:22),2
06:36,06:36,RE 3104,Hennigsdorf(b Berlin) (ab 05:35),1
