Abfahrt,Zugnr.,nach (Ankunft),Abfahrtsbhf.
00:16,RE 62045,Berlin-Spandau (an 00:32),Berlin Hbf
00:22 (+4),ICE 101,Karlsruhe Hbf (an 08:58),Berlin Hbf
00:22 (+38),ICE 2947,Berlin Ostbahnhof (an 00:28),Berlin Hbf
00:22 Ausfall,ICE 947,Berlin Ostbahnhof (an 00:28),Berlin Hbf
00:22 Ausfall,ICE 957,Berlin Ostbahnhof (an 00:28),Berlin Hbf
00:28 (+5),ICE 805,Berlin Ostbahnhof (an 00:35),Berlin Hbf
00:42,RE 3361,Eberswalde Hbf (an 23:51),Berlin Hbf
00:42,RE 3363,Lutherstadt Wittenberg Hbf (an 01:58),Berlin Hbf
00:44,RE 73797,Magdeburg Hbf (an 02:37),Berlin Hbf
00:53,RE 3140,Cottbus Hbf (an 02:39),Berlin Hbf
00:54,RE 3165,Berlin-Spandau (an 01:05),Berlin Hbf
01:15,RE 62041,Berlin-Spandau (an 01:31),Berlin Hbf
01:19 (+55),ICE 657,Berlin Ostbahnhof (an 01:27),Berlin Hbf
01:23,RE 73794,Frankfurt(Oder) (an 02:37),Berlin Hbf
01:41,RE 73753,Götz (an 02:31),Berlin Hbf
01:46,ICE 907,Berlin Südkreuz (an 01:52),Berlin Hbf
02:14,RE 62047,Berlin-Spandau (an 02:30),Berlin Hbf
02:14,RE 94818,Berlin-Spandau (an 02:30),Berlin Hbf
02:20,RE 3703,Berlin-Wannsee (an 02:39),Berlin Hbf
02:37,RE 3143,Frankfurt(Oder) (an 03:55),Berlin Hbf
03:07,RE 73755,Götz (an 03:58),Berlin Hbf
03:13,RE 62043,Berlin-Spandau (an 03:28),Berlin Hbf
04:11,RE 3705,Berlin-Wannsee (an 04:33),Berlin Hbf
04:11,RE 73752,Frankfurt(Oder) (an 05:31),Berlin Hbf
04:16,RE 62001,Wismar (an 07:26),Berlin Hbf
04:23 (+1),ICE 646,Düsseldorf Hbf (an 09:09),Berlin Hbf
04:28 (+1),ICE 275,Interlaken Ost (an 13:59),Berlin Hbf
04:30,ICE 501,München Hbf (an 10:53),Berlin Hbf
04:33,RE 73800,Frankfurt(Oder) (an 05:39),Berlin Hbf
04:35,RE 3101,Berlin-Spandau (an 04:54),Berlin Hbf
04:37,ICE 593,München Hbf (an 13:30),Berlin Hbf
04:38,RE 62052,Berlin Südkreuz (an 04:45),Berlin Hbf
04:41,RE 62048,Berlin Ostbahnhof (an 04:51),Berlin Hbf
04:41,RE 73757,Brandenburg Hbf (an 05:38),Berlin Hbf
04:47 (+1),RE 3702,Senftenberg (an 06:41),Berlin Hbf
04:48,RE 4350,Rostock Hbf (an 07:23),Berlin Hbf
04:57,RE 3145,Berlin-Spandau (an 05:06),Berlin Hbf
05:01,RE 73717,Magdeburg Hbf (an 06:47),Berlin Hbf
05:05,RE 3144,Berlin Südkreuz (an 05:11),Berlin Hbf
05:07,RB 18141,Berlin Ostbahnhof (an 05:17),Berlin Hbf
05:12,RB 18500,Berlin-Spandau (an 05:22),Berlin Hbf
05:14,RE 73754,Frankfurt(Oder) (an 06:33),Berlin Hbf
05:19,RE 62003,Wismar (an 08:37),Berlin Hbf
05:23,RE 2,Lübbenau(Spreewald) (an 06:32),Berlin Hbf
05:23,RE 3102,Cottbus Hbf (an 06:57),Berlin Hbf
05:27,ICE 946,Düsseldorf Hbf (an 10:11),Berlin Hbf
05:27,ICE 956,Köln Hbf (an 10:12),Berlin Hbf
05:30 (+1),ICE 608,Hamburg-Altona (an 07:40),Berlin Hbf
05:32,RE 62000,Flughafen BER (an 06:11),Berlin Hbf
05:33,ICE 1158,Bonn Hbf (an 10:10),Berlin Hbf
05:34,ICE 1701,München Hbf (an 12:02),Berlin Hbf
05:37,RE 3103,Berlin-Spandau (an 05:54),Berlin Hbf
05:39,RE 50257,Elsterwerda (an 07:33),Berlin Hbf
05:39 Ausfall,RJ 257,Graz Hbf (an 17:33),Berlin Hbf
05:40 (+40),ICE 100,Berlin Ostbahnhof (an 05:47),Berlin Hbf
05:41,RE 73759,Potsdam Hbf (an 06:05),Berlin Hbf
05:42,RE 62054,Elsterwerda (an 07:47),Berlin Hbf
05:42,RE 8,Schwerin Hbf (an 07:57),Berlin Hbf
05:45 (+1),RE 3704,Senftenberg (an 07:41),Berlin Hbf
05:45,RE 95111,Lübbenau(Spreewald) (an 07:03),Berlin Hbf
05:48,RB 18501,Berlin Südkreuz (an 05:54),Berlin Hbf
05:50,RB 18140,Potsdam Hbf (an 06:16),Berlin Hbf
05:51 (+3),EC 41,Warszawa Wschodnia (an 11:16),Berlin Hbf
05:56,RE 73714,Frankfurt(Oder) (an 07:05),Berlin Hbf
05:57,RE 3167,Stendal Hbf (an 07:15),Berlin Hbf
05:59,ICE 833,Frankfurt(Main)Hbf (an 09:56),Berlin Hbf
06:01,RE 73719,Potsdam Hbf (an 06:29),Berlin Hbf
06:04,RE 3164,Jüterbog (an 06:56),Berlin Hbf
06:05,RE 18754,Lübbenau(Spreewald) (an 07:15),Berlin Hbf
06:06 (+1),IC 240,Amsterdam Centraal (an 11:59),Berlin Hbf
06:12,RB 18502,Berlin-Spandau (an 06:22),Berlin Hbf
06:14,RE 73756,Frankfurt(Oder) (an 07:31),Berlin Hbf
06:20,ES 453,Decin hl.n. (an 09:41),Berlin Hbf
