Abfahrt ▼,Ist ▼,Zugnr. ▼,nach (Ankunft) ▼,Gleis ▼
19:54,19:54,RE 3178,Berlin Südkreuz (an 20:13),6
20:01,20:01,RB 62079,Berlin Südkreuz (an 20:24),6
20:06,20:06,RE 3181,Stendal Hbf (an 21:13),4
20:07,20:07,RE 3132,Cottbus Hbf (an 22:09),6
20:08 (+9),20:17,ICE 2537,Leipzig Hbf (an 21:45),
20:22,20:22,RE 62030,Elsterwerda (an 22:31),5
20:28,20:28,RB 18270,Berlin Gesundbrunnen (an 20:40),5
20:31 (+2),20:33,ICE 540,Hannover Hbf (an 22:28),4
20:37,20:37,RE 62033,Elstal (an 20:49),3
20:45 (+4),20:49,ICE 679,Kassel-Wilhelmshöhe (an 23:13),4
20:49 (+2),20:51,ICE 1900,Hamburg-Altona (an 23:24),3
20:54,20:54,RE 3160,Berlin Südkreuz (an 21:15),6
21:01,21:01,RB 62081,Berlin Südkreuz (an 21:21),6
21:05 (+14),21:19,ICE 643,Berlin Ostbahnhof (an 21:29),5
21:07,21:07,RE 3134,Cottbus Hbf (an 23:13),6
21:17,21:17,ICE 1703,Berlin Südkreuz (an 21:39),6
21:22,21:22,RE 62032,Berlin Südkreuz (an 21:49),5
21:28,21:28,RB 18272,Berlin Gesundbrunnen (an 21:40),5
21:32,21:32,ICE 241,Berlin Ostbahnhof (an 22:15),
21:40,21:40,RE 62035,Elstal (an 21:53),3
21:45,21:45,DRF 1327,Leipzig Hbf (an 23:17),6
21:45,21:45,FLX 1327,Leipzig Hbf (an 23:17),6
21:48 (+20),22:08,ICE 2522,Hamburg-Altona (an 00:38),
21:53 (+4),21:57,ICE 840,Hannover Hbf (an 00:09),4
21:54,21:54,RE 3180,Berlin Hbf (an 22:05),6
21:56,21:56,RE 3135,Hennigsdorf(b Berlin) (an 22:25),3
21:58 (+125),00:03,ICE 609,Erfurt Hbf (an 00:55),5
22:01,22:01,RB 62083,Berlin Südkreuz (an 22:21),6
22:06,22:06,RE 3183,Stendal Hbf (an 23:13),3
22:22,22:22,RE 62034,Baruth(Mark) (an 23:41),5
22:29,22:29,RB 18274,Berlin Gesundbrunnen (an 22:40),5
22:35 (+3),22:38,RE 3136,Cottbus Hbf (an 01:15),6
22:49 (+6),22:55,ICE 900,Hamburg-Altona (an 01:13),3
22:54,22:54,RE 3162,Berlin Hbf (an 23:05),6
23:01,23:01,RB 62085,Berlin Südkreuz (an 23:21),6
23:03,23:03,RB 62084,Wustermark (an 23:18),3
23:06,23:06,ICE 705,Berlin Südkreuz (an 23:29),5
23:12 (+12),23:24,ICE 645,Berlin Ostbahnhof (an 23:49),5
23:15,23:15,RE 3137,Hennigsdorf(b Berlin) (an 23:46),3
23:20,23:20,RE 3185,Stendal Hbf (an 00:18),3
23:22,23:22,RE 62036,Baruth(Mark) (an 00:35),5
23:34 (+1),23:35,RE 3138,Cottbus Hbf (an 01:50),5
23:37,23:37,RE 62039,Wustermark (an 23:54),3
23:44 (+3),23:47,ICE 273,Zürich HB (an 10:00),4
23:54,23:54,RE 3182,Berlin Hbf (an 00:05),6
23:58 (+4),00:02,ICE 901,Berlin Ostbahnhof (an 00:23),5
