Abfahrt,Zugnr.,nach (Ankunft),Abfahrtsbhf.
09:49 (+3),ICE 1704,Hamburg-Altona (an 12:25),Berlin-Spandau
09:51 (+1),RE 3168,Jüterbog (an 10:56),Berlin-Spandau
09:56,RE 3111,Hennigsdorf(b Berlin) (an 10:23),Berlin-Spandau
09:57,RB 18609,Berlin Südkreuz (an 10:20),Berlin-Spandau
10:00 (+47),ICE 843,Berlin Ostbahnhof (an 10:28),Berlin-Spandau
10:00 (+47),ICE 853,Berlin Ostbahnhof (an 10:28),Berlin-Spandau
10:00 (+2),ICE 942,Düsseldorf Hbf (an 14:07),Berlin-Spandau
10:00 (+2),ICE 952,Wuppertal Hbf (an 13:54),Berlin-Spandau
10:03 (+1),RB 18608,Wustermark (an 10:19),Berlin-Spandau
10:04,RE 3112,Cottbus Hbf (an 11:55),Berlin-Spandau
10:06 (+61),ICE 1155,Berlin Südkreuz (an 10:23),Berlin-Spandau
10:09 (+13),RE 3171,Stendal Hbf (an 11:27),Berlin-Spandau
10:13 (+1),ICE 1132,Bremen Hbf (an 12:45),Berlin-Spandau
10:13 (+1),ICE 507,München Hbf (an 15:04),Berlin-Spandau
10:22,RE 62010,Flughafen BER (an 11:15),Berlin-Spandau
10:24 Ausfall,ICE 996,Berlin Südkreuz (an 10:41),Berlin-Spandau
10:26 (+17),IC 146,Amsterdam Centraal (an 15:58),Berlin-Spandau
10:28,RB 18250,Berlin Gesundbrunnen (an 10:44),Berlin-Spandau
10:30,RB 18253,Potsdam Hbf (an 11:23),Berlin-Spandau
10:38,RE 62013,Elstal (an 10:52),Berlin-Spandau
10:45 (+4),ICE 371,Interlaken Ost (an 19:59),Berlin-Spandau
10:49 (+47),ICE 543,Berlin Ostbahnhof (an 11:27),Berlin-Spandau
10:49 (+47),ICE 553,Berlin Ostbahnhof (an 11:12),Berlin-Spandau
10:49 (+2),ICE 804,Hamburg Hbf (an 13:06),Berlin-Spandau
10:49,ice 804,Hamburg Hbf (an 13:06),Berlin-Spandau
10:52 (+1),RE 3150,Falkenberg(Elster) (an 12:34),Berlin-Spandau
10:56 (+21),RE 3113,Hennigsdorf(b Berlin) (an 11:23),Berlin-Spandau
10:58,RB 18611,Berlin Südkreuz (an 11:18),Berlin-Spandau
11:00 (+1),ICE 640,Düsseldorf Hbf (an 15:07),Berlin-Spandau
11:04 (+2),RE 3114,Cottbus Hbf (an 12:55),Berlin-Spandau
11:08 (+1),RE 3151,Rathenow (an 11:55),Berlin-Spandau
11:12 (+1),ICE 650,Köln Hbf (an 15:40),Berlin-Spandau
11:12 (+14),ICE 705,München Hbf (an 16:42),Berlin-Spandau
11:17 (+3),ICE 270,Berlin Ostbahnhof (an 11:44),Berlin-Spandau
11:23,RE 62012,Flughafen BER (an 12:15),Berlin-Spandau
11:26,ICE 758,Aachen Hbf (an 17:08),Berlin-Spandau
11:28 (+3),RB 18252,Berlin Gesundbrunnen (an 11:40),Berlin-Spandau
11:30,RB 18255,Potsdam Hbf (an 12:23),Berlin-Spandau
11:32 (+1),IC 141,Berlin Ostbahnhof (an 12:00),Berlin-Spandau
11:35 (+1),ICE 795,Frankfurt(M) Flughafen Fernbf (an 15:51),Berlin-Spandau
11:38,RE 62015,Elstal (an 11:52),Berlin-Spandau
11:48 (+10),ICE 1136,Berlin Ostbahnhof (an 12:14),Berlin-Spandau
11:48 (+1),ICE 602,Hamburg Hbf (an 14:11),Berlin-Spandau
11:51 (+28),ICE 1156,Köln Hbf (an 16:00),Berlin-Spandau
11:51 (+1),RE 3170,Berlin Südkreuz (an 12:11),Berlin-Spandau
11:56,RE 3115,Hennigsdorf(b Berlin) (an 12:23),Berlin-Spandau
11:57 (+10),RB 18613,Berlin Südkreuz (an 12:16),Berlin-Spandau
12:00 (+42),ICE 845,Berlin Ostbahnhof (an 12:27),Berlin-Spandau
12:00 (+42),ICE 855,Berlin Ostbahnhof (an 12:27),Berlin-Spandau
12:00 (+2),ICE 940,Düsseldorf Hbf (an 16:07),Berlin-Spandau
12:00 (+2),ICE 950,Köln Hbf (an 16:28),Berlin-Spandau
12:04 (+16),RE 3116,Cottbus Hbf (an 13:55),Berlin-Spandau
12:09,ICE 509,München Hbf (an 17:01),Berlin-Spandau
12:09 (+1),RE 3173,Stendal Hbf (an 13:27),Berlin-Spandau
12:12 (+2),ICE 9590,Paris Est (an 19:59),Berlin-Spandau
12:22,RE 62014,Flughafen BER (an 13:15),Berlin-Spandau
12:24,ICE 994,Berlin Südkreuz (an 12:43),Berlin-Spandau
12:26 Ausfall,IC 144,Amsterdam Centraal (an 17:59),Berlin-Spandau
12:28 (+3),RB 18254,Berlin Gesundbrunnen (an 12:50),Berlin-Spandau
12:30,RB 18257,Potsdam Hbf (an 13:23),Berlin-Spandau
12:32 (+27),ICE 1545,Berlin Ostbahnhof (an 13:02),Berlin-Spandau
12:38,RE 62017,Elstal (an 12:52),Berlin-Spandau
12:45 (+2),ICE 373,Interlaken Ost (an 21:59),Berlin-Spandau
12:49 (+4),ICE 545,Berlin Ostbahnhof (an 13:27),Berlin-Spandau
12:49 (+4),ICE 555,Berlin Ostbahnhof (an 13:13),Berlin-Spandau
12:49 (+1),ICE 802,Hamburg-Altona (an 15:21),Berlin-Spandau
12:52 (+1),RE 3152,Berlin Südkreuz (an 13:11),Berlin-Spandau
12:56 (+1),RE 3117,Hennigsdorf(b Berlin) (an 13:23),Berlin-Spandau
12:57,RB 18615,Berlin Südkreuz (an 13:18),Berlin-Spandau
12:57 (+1),RB 18639,Berlin Südkreuz (an 13:18),Berlin-Spandau
13:00 (+1),ICE 548,Düsseldorf Hbf (an 17:08),Berlin-Spandau
13:00 (+1),ICE 558,Wuppertal Hbf (an 17:07),Berlin-Spandau
13:04 (+8),RE 3118,Cottbus Hbf (an 14:55),Berlin-Spandau
13:13 (+9),ICE 707,München Hbf (an 18:03),Berlin-Spandau
13:17,ICE 374,Berlin Ostbahnhof (an 13:41),Berlin-Spandau
13:23,RE 62016,Flughafen BER (an 14:15),Berlin-Spandau
13:26 (+3),ICE 1546,Düsseldorf Hbf (an 17:51),Berlin-Spandau
13:27 (+1),RB 18256,Berlin Gesundbrunnen (an 13:39),Berlin-Spandau
13:32 (+1),IC 143,Krakow Glowny (an 23:52),Berlin-Spandau
13:34 (+11),ICE 2917,Frankfurt(M) Flughafen Fernbahnhof (an 17:51),Berlin-Spandau
13:34 Ausfall,ICE 797,Frankfurt(M) Flughafen Fernbf (an 17:51),Berlin-Spandau
13:51 (+17),ICE 1600,Hamburg-Altona (an 16:25),Berlin-Spandau
13:51 (+20),RE 3172,Berlin Südkreuz (an 14:11),Berlin-Spandau
13:57,RB 18617,Berlin Südkreuz (an 14:16),Berlin-Spandau
14:00 (+11),ICE 847,Berlin Ostbahnhof (an 14:28),Berlin-Spandau
14:00 (+2),ICE 848,Köln Hbf (an 18:32),Berlin-Spandau
14:00 (+11),ICE 857,Berlin Ostbahnhof (an 14:28),Berlin-Spandau
14:00 (+2),ICE 858,Köln Hbf (an 18:37),Berlin-Spandau
14:04 (+1),RE 3120,Cottbus Hbf (an 15:55),Berlin-Spandau
14:09 (+9),ICE 1601,München Hbf (an 19:03),Berlin-Spandau
14:09,RE 3175,Stendal Hbf (an 15:27),Berlin-Spandau
14:22,RE 62018,Flughafen BER (an 15:15),Berlin-Spandau
14:24 (+2),ICE 992,Berlin Südkreuz (an 14:46),Berlin-Spandau
14:26 (+34),IC 142,Amsterdam Centraal (an 19:59),Berlin-Spandau
14:28,RB 18258,Berlin Gesundbrunnen (an 14:40),Berlin-Spandau
14:30,RB 18261,Potsdam Hbf (an 15:23),Berlin-Spandau
14:32 (+1),ICE 757,Berlin Ostbahnhof (an 15:03),Berlin-Spandau
14:46 (+1),ICE 375,Basel SBB (an 21:49),Berlin-Spandau
14:49 (+18),ICE 547,Berlin Ostbahnhof (an 15:28),Berlin-Spandau
14:49 (+18),ICE 557,Berlin Ostbahnhof (an 15:17),Berlin-Spandau
14:49,ICE 800,Hamburg-Altona (an 17:36),Berlin-Spandau
14:52 (+1),RE 3154,Berlin Südkreuz (an 15:11),Berlin-Spandau
14:56 (+1),RE 3121,Hennigsdorf(b Berlin) (an 15:23),Berlin-Spandau
14:58 (+1),RB 18619,Berlin Südkreuz (an 15:18),Berlin-Spandau
15:04 (+2),RE 3122,Cottbus Hbf (an 16:55),Berlin-Spandau
15:12 (+1),ICE 546,Köln Hbf (an 19:36),Berlin-Spandau
15:12,ice 556,Koblenz Hbf (an 20:33),Berlin-Spandau
15:12 (+1),ICE 556,Koblenz Hbf (an 20:33),Berlin-Spandau
15:13 (+2),ICE 709,München Hbf (an 20:42),Berlin-Spandau
15:17 (+41),ICE 372,Berlin Ostbahnhof (an 15:41),Berlin-Spandau
15:23,RE 62020,Flughafen BER (an 16:15),Berlin-Spandau
15:26 (+1),ICE 750,Aachen Hbf (an 20:52),Berlin-Spandau
15:27 (+1),RB 18260,Berlin Gesundbrunnen (an 15:39),Berlin-Spandau
15:30,RB 18263,Potsdam Hbf (an 16:23),Berlin-Spandau
15:32 (+11),IC 145,Berlin Ostbahnhof (an 16:02),Berlin-Spandau
15:35 (+5),ICE 799,Frankfurt(M) Flughafen Fernbf (an 19:51),Berlin-Spandau
15:48 (+3),ICE 1139,Berlin Ostbahnhof (an 16:17),Berlin-Spandau
15:48 (+8),ICE 508,Hamburg-Altona (an 18:38),Berlin-Spandau
15:51 (+1),RE 3174,Jüterbog (an 16:56),Berlin-Spandau
15:56,RE 3123,Hennigsdorf(b Berlin) (an 16:23),Berlin-Spandau
15:57,RB 18621,Berlin Südkreuz (an 16:15),Berlin-Spandau
15:59 (+2),ICE 849,Berlin Ostbahnhof (an 16:28),Berlin-Spandau
15:59 (+2),ICE 859,Berlin Ostbahnhof (an 16:28),Berlin-Spandau
16:00 (+18),ICE 846,Mönchengladbach Hbf (an 20:42),Berlin-Spandau
16:00 (+18),ICE 856,Köln Hbf (an 20:28),Berlin-Spandau
16:03 (+15),RB 18620,Wustermark (an 16:19),Berlin-Spandau
16:04 (+1),RE 3124,Cottbus Hbf (an 17:55),Berlin-Spandau
16:07 (+1),ICE 1157,Berlin Südkreuz (an 16:25),Berlin-Spandau
16:09 (+12),RE 3177,Stendal Hbf (an 17:27),Berlin-Spandau
16:12 (+1),ICE 603,München Hbf (an 21:03),Berlin-Spandau
16:23,RE 62022,Flughafen BER (an 17:15),Berlin-Spandau
16:24 (+10),ICE 798,Berlin Südkreuz (an 16:42),Berlin-Spandau
16:26 (+2),IC 140,Amsterdam Centraal (an 21:59),Berlin-Spandau
16:28 (+1),RB 18262,Berlin Jungfernheide (an 16:33),Berlin-Spandau
16:30 (+3),RB 18265,Potsdam Hbf (an 17:23),Berlin-Spandau
16:32,ICE 759,Berlin Ostbahnhof (an 17:02),Berlin-Spandau
16:38,RE 62025,Elstal (an 16:52),Berlin-Spandau
16:45 (+17),ICE 377,Basel SBB (an 23:59),Berlin-Spandau
16:49 (+66),ICE 549,Berlin Ostbahnhof (an 17:27),Berlin-Spandau
16:49 (+66),ICE 559,Berlin Ostbahnhof (an 17:16),Berlin-Spandau
