Ankunft ▼,Ist ▼,Zugnr. ▼,von (Abfahrt) ▼,Gleis ▼
05:54,05:54,RE 3601,Neuruppin Rheinsberger Tor (ab 04:29),2
07:54,07:54,RE 3607,Neuruppin Rheinsberger Tor (ab 06:31),2
08:34 (+1),08:35,RB 18246,Potsdam Hbf (ab 07:36),2
08:38,08:38,RE 3710,Dessau Hbf (ab 07:05),3
08:48 (+9),08:57,RE 73719,Magdeburg Hbf (ab 07:10),4
08:50,08:50,RB 18607,Nauen (ab 08:11),3
08:55 (+8),09:03,RE 3609,Neuruppin Rheinsberger Tor (ab 07:29),2
09:04,09:04,RE 73809,Brandenburg Hbf (ab 08:22),1
09:25,09:25,RE 73761,Brandenburg Hbf (ab 08:44),1
09:35,09:35,RB 18248,Potsdam Hbf (ab 08:36),3
09:54,09:54,RE 3611,Neuruppin Rheinsberger Tor (ab 08:31),2
10:04,10:04,RE 73811,Brandenburg Hbf (ab 09:22),1
10:26,10:26,RE 73763,Brandenburg Hbf (ab 09:44),3
10:40 Ausfall,--:--,ICE 996,Kassel-Wilhelmshöhe (ab 07:49),4
10:48,10:48,RE 73723,Magdeburg Hbf (ab 09:10),4
10:55 (+5),11:00,RE 3613,Neuruppin Rheinsberger Tor (ab 09:29),
11:54 (+5),11:59,RE 3615,Neuruppin Rheinsberger Tor (ab 10:31),
12:20 (+3),12:23,IC 2035,Hannover Hbf (ab 09:31),1
12:46,12:46,ICE 994,Stuttgart Hbf (ab 06:28),4
13:54 (+4),13:58,RE 3619,Neuruppin Rheinsberger Tor (ab 12:31),
14:40 (+1),14:41,ICE 992,Frankfurt(M) Flughafen Fernbf (ab 10:09),4
14:55 (+6),15:01,RE 3621,Neuruppin Rheinsberger Tor (ab 13:29),
15:48,15:48,RE 73733,Magdeburg Hbf (ab 14:10),1
15:54 (+5),15:59,RE 3623,Neuruppin Rheinsberger Tor (ab 14:31),
16:04,16:04,RE 73815,Brandenburg Hbf (ab 15:22),4
16:25,16:25,RE 73775,Brandenburg Hbf (ab 15:44),1
16:38,16:38,RE 3726,Dessau Hbf (ab 15:05),4
16:40 Ausfall,--:--,ICE 798,Karlsruhe Hbf (ab 10:40),4
16:49,16:49,RE 73735,Magdeburg Hbf (ab 15:10),4
16:51,16:51,RB 18623,Nauen (ab 16:11),1
16:55,16:55,RE 3625,Neuruppin Rheinsberger Tor (ab 15:29),3
17:34,17:34,RB 18264,Potsdam Hbf (ab 16:36),3
17:50,17:50,RB 18625,Nauen (ab 17:10),3
17:54 (+6),18:00,RE 3627,Neuruppin Rheinsberger Tor (ab 16:31),
18:20 (+24),18:44,IC 2431,Hannover Hbf (ab 15:31),1
18:53 (+25),19:18,RE 3629,Neuruppin Rheinsberger Tor (ab 17:29),
18:55,18:55,ICE 796,Frankfurt(M) Flughafen Fernbf (ab 14:09),4
19:56,19:56,RB 3631,Neuruppin Rheinsberger Tor (ab 18:31),2
19:56 (+9),20:05,RE 3631,Neuruppin Rheinsberger Tor (ab 18:31),
20:34,20:34,RB 18270,Potsdam Hbf (ab 19:36),2
20:50,20:50,RB 18631,Nauen (ab 20:11),3
22:48,22:48,RE 73747,Magdeburg Hbf (ab 21:07),4
