Abfahrt,Zugnr.,nach (Ankunft),Abfahrtsbhf.
00:00,RE 73829,Berlin Zoologischer Garten (an 00:16),Berlin Ostbahnhof
00:03,RE 3138,Cottbus Hbf (an 01:38),Berlin Ostbahnhof
00:06 Ausfall,RE 62045,Nauen (an 00:58),Berlin Ostbahnhof
00:06,RE8,Schwerin Hbf (an 17:50),Berlin Ostbahnhof
00:09,RE 73750,Eisenhüttenstadt (an 01:38),Berlin Ostbahnhof
00:11 (+1),ICE 101,Karlsruhe Hbf (an 08:58),Berlin Ostbahnhof
00:18,RE 3701,Bad Belzig (an 01:32),Berlin Ostbahnhof
00:24,FEX19878,Berlin Zoologischer Garten (an 00:40),Berlin Ostbahnhof
00:30 (+18),RE 73797,Magdeburg Hbf (an 02:34),Berlin Ostbahnhof
00:37,RE 3141,Berlin-Charlottenburg (an 00:58),Berlin Ostbahnhof
00:53,RE 62038,Flughafen BER (an 01:15),Berlin Ostbahnhof
01:03,RE 62041,Berlin-Spandau (an 01:31),Berlin Ostbahnhof
01:05 (+4),RE 3100,Cottbus Hbf (an 02:42),Berlin Ostbahnhof
01:10,RE 3742,Berlin Ostkreuz (an 01:14),Berlin Ostbahnhof
01:30,RE 3150,Falkenberg(Elster) (an 12:34),Berlin Ostbahnhof
01:30,RE 73753,Brandenburg Hbf (an 02:39),Berlin Ostbahnhof
01:34,RE 73794,Frankfurt(Oder) (an 02:37),Berlin Ostbahnhof
01:59,RE 62042,Flughafen BER (an 02:21),Berlin Ostbahnhof
02:03,RE 62047,Nauen (an 02:56),Berlin Ostbahnhof
02:08,RE 3703,Bad Belzig (an 03:23),Berlin Ostbahnhof
02:49,RE 3143,Frankfurt(Oder) (an 03:54),Berlin Ostbahnhof
02:49,RE 73798,Frankfurt(Oder) (an 03:54),Berlin Ostbahnhof
02:56,RE 62046,Flughafen BER (an 03:16),Berlin Ostbahnhof
02:57,RE 73755,Magdeburg Hbf (an 05:08),Berlin Ostbahnhof
03:03,RE 62043,Nauen (an 03:56),Berlin Ostbahnhof
03:26,FEX19801,Flughafen BER (an 03:46),Berlin Ostbahnhof
03:40 (+1),FEX19803,Flughafen BER (an 04:00),Berlin Ostbahnhof
03:40,RB 18651,Ludwigsfelde (an 04:24),Berlin Ostbahnhof
03:56,RE 62044,Flughafen BER (an 04:17),Berlin Ostbahnhof
04:07,RE 62001,Lüblow(Meckl) (an 06:35),Berlin Ostbahnhof
04:12 (+1),ICE 646,Düsseldorf Hbf (an 09:07),Berlin Ostbahnhof
04:22,RE 73752,Frankfurt(Oder) (an 05:31),Berlin Ostbahnhof
04:44,RE 73800,Pillgram (an 05:41),Berlin Ostbahnhof
04:49,RE 73717,Magdeburg Hbf (an 06:47),Berlin Ostbahnhof
04:53,RE 62048,Flughafen BER (an 05:15),Berlin Ostbahnhof
05:02 (+5),RE 3707,Dessau Hbf (an 06:53),Berlin Ostbahnhof
05:07 (+6),RE 62003,Holthusen (an 07:47),Berlin Ostbahnhof
05:17 (+3),ICE 946,Düsseldorf Hbf (an 10:02),Berlin Ostbahnhof
05:17 (+3),ICE 956,Köln Hbf (an 10:09),Berlin Ostbahnhof
05:18,RB 18141,Flughafen BER (an 05:46),Berlin Ostbahnhof
05:20 (+3),ICE 1158,Köln Hbf (an 09:40),Berlin Ostbahnhof
05:25,RE 18540,Frankfurt(Oder) (an 06:31),Berlin Ostbahnhof
05:25,RE 3103,Nauen (an 06:23),Berlin Ostbahnhof
05:25,RE 73754,Frankfurt(Oder) (an 06:31),Berlin Ostbahnhof
05:30,RE 73759,Brandenburg Hbf (an 06:38),Berlin Ostbahnhof
05:35,RE 2,Cottbus Hbf (an 06:57),Berlin Ostbahnhof
05:35 (+1),RE 3102,Cottbus Hbf (an 06:57),Berlin Ostbahnhof
05:38 (+1),RB 18140,Berlin-Charlottenburg (an 05:58),Berlin Ostbahnhof
05:44,RE 62000,Flughafen BER (an 06:10),Berlin Ostbahnhof
05:49,RE 73719,Magdeburg Hbf (an 07:47),Berlin Ostbahnhof
05:49,RE 90393,Magdeburg Hbf (an 07:47),Berlin Ostbahnhof
05:54 (+1),IC 240,Amsterdam Centraal (an 12:00),Berlin Ostbahnhof
05:56 (+19),RE 3704,Senftenberg (an 07:42),Berlin Ostbahnhof
05:56,RE 95111,Lübbenau(Spreewald) (an 07:03),Berlin Ostbahnhof
06:00 (+14),EC 41,Warszawa Wschodnia (an 11:32),Berlin Ostbahnhof
06:07,RE 62005,Konstanz (an 16:45),Berlin Ostbahnhof
06:21,RB 18143,Flughafen BER (an 06:46),Berlin Ostbahnhof
06:25,RE 3105,Nauen (an 07:23),Berlin Ostbahnhof
06:25,RE 73756,Frankfurt(Oder) (an 07:31),Berlin Ostbahnhof
06:30,RE 73761,Brandenburg Hbf (an 07:38),Berlin Ostbahnhof
06:30,RE1,Göttingen (an 22:50),Berlin Ostbahnhof
06:35 (+2),RE 3104,Cottbus Hbf (an 07:55),Berlin Ostbahnhof
06:35,RE2,Dresden Hbf (an 22:54),Berlin Ostbahnhof
06:38 (+1),RB 18142,Berlin-Charlottenburg (an 06:58),Berlin Ostbahnhof
06:44 (+3),ICE 644,Salzburg Hbf (an 15:49),Berlin Ostbahnhof
06:44 (+3),ICE 654,Köln Hbf (an 11:15),Berlin Ostbahnhof
06:49,RE 73721,Magdeburg Hbf (an 08:47),Berlin Ostbahnhof
06:49,RE 90417,Magdeburg Hbf (an 08:47),Berlin Ostbahnhof
06:53,RE 62002,Flughafen BER (an 07:15),Berlin Ostbahnhof
06:56 (+4),ICE 1052,Aachen Hbf (an 13:12),Berlin Ostbahnhof
07:02 (+1),RE 3711,Dessau Hbf (an 08:53),Berlin Ostbahnhof
07:07 (+1),RE 62007,Holthusen (an 09:47),Berlin Ostbahnhof
07:10,RE 73716,Pillgram (an 08:02),Berlin Ostbahnhof
07:11,DPN,Passau Hbf (an 20:53),Berlin Ostbahnhof
07:20 (+1),IC 2432,Norddeich Mole (an 14:19),Berlin Ostbahnhof
07:20,RB 18145,Flughafen BER (an 07:46),Berlin Ostbahnhof
07:20,RB23,Regensburg Hbf (an 22:11),Berlin Ostbahnhof
07:20 (+1),RE 62432,Potsdam Hbf (an 07:57),Berlin Ostbahnhof
07:20,RE56,Potsdam Hbf (an 07:57),Berlin Ostbahnhof
07:25,RE 18541,Frankfurt(Oder) (an 08:31),Berlin Ostbahnhof
07:25,RE 3107,Nauen (an 08:23),Berlin Ostbahnhof
07:25,RE 73758,Frankfurt(Oder) (an 08:31),Berlin Ostbahnhof
07:30,RE 73763,Brandenburg Hbf (an 08:38),Berlin Ostbahnhof
07:33 (+1),ICE 944,Düsseldorf Hbf (an 12:07),Berlin Ostbahnhof
07:33 (+1),ICE 954,Köln Hbf (an 12:09),Berlin Ostbahnhof
07:35,RE 3106,Cottbus Hbf (an 08:54),Berlin Ostbahnhof
07:38 (+8),RB 18144,Berlin-Charlottenburg (an 07:58),Berlin Ostbahnhof
07:49,RE 73723,Magdeburg Hbf (an 09:47),Berlin Ostbahnhof
07:53 (+18),IC 148,Amsterdam Centraal (an 14:00),Berlin Ostbahnhof
07:53,RE 62004,Flughafen BER (an 08:15),Berlin Ostbahnhof
07:58 (+1),RE 3708,Senftenberg (an 09:42),Berlin Ostbahnhof
08:02,RE 3713,Bad Belzig (an 09:17),Berlin Ostbahnhof
08:02,RE7,Rheine (an 10:51),Berlin Ostbahnhof
08:07,RE 62009,Wittenberge (an 09:57),Berlin Ostbahnhof
08:10,RE 73718,Pillgram (an 09:02),Berlin Ostbahnhof
08:21,RB 18147,Flughafen BER (an 08:46),Berlin Ostbahnhof
08:23 (+9),FLX 1230,Aachen Hbf (an 14:24),Berlin Ostbahnhof
08:25,RE 3109,Nauen (an 09:23),Berlin Ostbahnhof
08:25,RE 73760,Frankfurt(Oder) (an 09:31),Berlin Ostbahnhof
08:30,RE 73765,Brandenburg Hbf (an 09:38),Berlin Ostbahnhof
08:32 (+3),ICE 642,Düsseldorf Hbf (an 13:07),Berlin Ostbahnhof
08:35,RE 3108,Cottbus Hbf (an 09:54),Berlin Ostbahnhof
08:37,RB 18146,Berlin-Charlottenburg (an 08:57),Berlin Ostbahnhof
08:43 (+3),ICE 652,Köln Hbf (an 13:15),Berlin Ostbahnhof
08:49,RE 73725,Magdeburg Hbf (an 10:47),Berlin Ostbahnhof
08:49,RE 94125,Magdeburg Hbf (an 10:47),Berlin Ostbahnhof
08:53,RE 62006,Flughafen BER (an 09:15),Berlin Ostbahnhof
08:54 (+2),ICE 1050,Köln Hbf (an 14:21),Berlin Ostbahnhof
08:58 (+1),RE 3710,Senftenberg (an 10:42),Berlin Ostbahnhof
09:02 (+1),RE 3715,Dessau Hbf (an 10:53),Berlin Ostbahnhof
09:07 (+1),RE 62011,Holthusen (an 11:47),Berlin Ostbahnhof
09:11,RE 73720,Pillgram (an 10:02),Berlin Ostbahnhof
09:20 (+2),RB 18149,Flughafen BER (an 09:46),Berlin Ostbahnhof
09:25,RE 3111,Nauen (an 10:23),Berlin Ostbahnhof
09:25,RE 73762,Frankfurt(Oder) (an 10:31),Berlin Ostbahnhof
09:30,RE 73767,Brandenburg Hbf (an 10:38),Berlin Ostbahnhof
09:33 (+1),ICE 942,Düsseldorf Hbf (an 14:07),Berlin Ostbahnhof
09:33 (+1),ICE 952,Köln Hbf (an 14:09),Berlin Ostbahnhof
09:35 (+2),RE 3110,Cottbus Hbf (an 10:54),Berlin Ostbahnhof
09:38 (+1),RB 18148,Berlin-Charlottenburg (an 09:58),Berlin Ostbahnhof
09:49,RE 73727,Magdeburg Hbf (an 11:47),Berlin Ostbahnhof
09:49,RE 91727,Magdeburg Hbf (an 11:47),Berlin Ostbahnhof
09:53 (+4),IC 146,Amsterdam Centraal (an 16:00),Berlin Ostbahnhof
09:53,RE 62008,Flughafen BER (an 10:15),Berlin Ostbahnhof
09:58 (+1),RE 3712,Senftenberg (an 11:42),Berlin Ostbahnhof
09:58,RE 95139,Lübbenau(Spreewald) (an 11:03),Berlin Ostbahnhof
09:59,EC 248,Berlin Hbf (an 10:06),Berlin Ostbahnhof
10:02 (+12),RE 3717,Bad Belzig (an 11:17),Berlin Ostbahnhof
10:03,EC 45,Warszawa Centralna (an 15:21),Berlin Ostbahnhof
10:07,RE 62013,Wittenberge (an 11:57),Berlin Ostbahnhof
10:09,RE 73722,Pillgram (an 11:02),Berlin Ostbahnhof
10:16,RE 18768,Cottbus Hbf (an 11:47),Berlin Ostbahnhof
10:19,RE 3747,Bad Belzig (an 11:35),Berlin Ostbahnhof
10:21,RB 18151,Flughafen BER (an 10:46),Berlin Ostbahnhof
10:25,RE 3113,Nauen (an 11:23),Berlin Ostbahnhof
10:25,RE 73764,Frankfurt(Oder) (an 11:31),Berlin Ostbahnhof
10:30,RE 3170,Jüterbog (an 12:56),Berlin Ostbahnhof
10:30,RE 73769,Brandenburg Hbf (an 11:38),Berlin Ostbahnhof
10:33 (+3),ICE 640,Düsseldorf Hbf (an 15:07),Berlin Ostbahnhof
10:35,RE 3112,Cottbus Hbf (an 11:54),Berlin Ostbahnhof
10:38,RB 18150,Berlin-Charlottenburg (an 10:58),Berlin Ostbahnhof
10:45 (+3),ICE 650,Stuttgart Hbf (an 18:46),Berlin Ostbahnhof
10:49,RE 73729,Magdeburg Hbf (an 12:47),Berlin Ostbahnhof
10:53,RE 62010,Flughafen BER (an 11:15),Berlin Ostbahnhof
10:54 (+2),ICE 758,Aachen Hbf (an 17:12),Berlin Ostbahnhof
10:58 (+2),RE 3714,Senftenberg (an 12:42),Berlin Ostbahnhof
10:59,EC 54,Berlin Hbf (an 11:06),Berlin Ostbahnhof
11:02 (+2),RE 3719,Dessau Hbf (an 12:53),Berlin Ostbahnhof
11:03 (+2),EC 57,Przeworsk (an 20:11),Berlin Ostbahnhof
11:07 (+1),RE 62015,Holthusen (an 13:47),Berlin Ostbahnhof
11:10,RE 73724,Pillgram (an 12:02),Berlin Ostbahnhof
11:21 (+1),RB 18153,Flughafen BER (an 11:46),Berlin Ostbahnhof
11:25 (+7),RE 3115,Nauen (an 12:23),Berlin Ostbahnhof
11:25,RE 73766,Frankfurt(Oder) (an 12:31),Berlin Ostbahnhof
11:30,RE 3172,Jüterbog (an 14:56),Berlin Ostbahnhof
11:30,RE 73771,Brandenburg Hbf (an 12:38),Berlin Ostbahnhof
11:32 (+2),ICE 940,Düsseldorf Hbf (an 16:07),Berlin Ostbahnhof
11:32 (+2),ICE 950,Köln Hbf (an 16:10),Berlin Ostbahnhof
11:34,RE 3114,Cottbus Hbf (an 12:54),Berlin Ostbahnhof
11:38,RB 18152,Berlin-Charlottenburg (an 11:58),Berlin Ostbahnhof
11:46 (+1),FLX 1362,Hamburg Hbf (an 14:11),Berlin Ostbahnhof
11:49,RE 73731,Magdeburg Hbf (an 13:47),Berlin Ostbahnhof
11:53 (+21),IC 144,Amsterdam Centraal (an 18:00),Berlin Ostbahnhof
11:58 (+1),RE 3716,Senftenberg (an 13:42),Berlin Ostbahnhof
11:58,RE 95150,Lübbenau(Spreewald) (an 13:03),Berlin Ostbahnhof
11:59,EC 246,Berlin Hbf (an 12:06),Berlin Ostbahnhof
12:02 (+8),RE 3721,Bad Belzig (an 13:17),Berlin Ostbahnhof
12:03 (+1),EC 47,Warszawa Wschodnia (an 17:30),Berlin Ostbahnhof
12:07,RE 62017,Wittenberge (an 13:57),Berlin Ostbahnhof
12:10,RE 73726,Pillgram (an 13:02),Berlin Ostbahnhof
12:20,RB 18155,Flughafen BER (an 12:46),Berlin Ostbahnhof
12:25 (+9),RE 3117,Nauen (an 13:23),Berlin Ostbahnhof
12:25,RE 73768,Frankfurt(Oder) (an 13:31),Berlin Ostbahnhof
12:30,RE 73773,Brandenburg Hbf (an 13:38),Berlin Ostbahnhof
12:33 (+1),ICE 548,Düsseldorf Hbf (an 17:07),Berlin Ostbahnhof
12:35 (+1),RE 3116,Cottbus Hbf (an 13:54),Berlin Ostbahnhof
12:38,RB 18154,Berlin-Charlottenburg (an 12:58),Berlin Ostbahnhof
12:44 (+1),ICE 558,Köln Hbf (an 17:15),Berlin Ostbahnhof
12:49,RE 73733,Magdeburg Hbf (an 14:47),Berlin Ostbahnhof
12:53,RE 62014,Flughafen BER (an 13:15),Berlin Ostbahnhof
12:55 (+2),ICE 2926,Aachen Hbf (an 19:13),Berlin Ostbahnhof
12:55 Ausfall,ICE 756,Aachen Hbf (an 19:13),Berlin Ostbahnhof
12:58 (+1),RE 3718,Senftenberg (an 14:42),Berlin Ostbahnhof
13:02 (+1),RE 3723,Dessau Hbf (an 14:53),Berlin Ostbahnhof
13:03 (+1),EC 59,Gdynia Glowna (an 19:08),Berlin Ostbahnhof
13:07,RE 62019,Holthusen (an 15:47),Berlin Ostbahnhof
13:10,RE 73728,Pillgram (an 14:02),Berlin Ostbahnhof
13:20 (+2),RB 18157,Flughafen BER (an 13:46),Berlin Ostbahnhof
13:25 (+1),RE 3119,Nauen (an 14:23),Berlin Ostbahnhof
13:25,RE 73770,Frankfurt(Oder) (an 14:31),Berlin Ostbahnhof
13:30,RE 73775,Brandenburg Hbf (an 14:38),Berlin Ostbahnhof
13:33 (+1),ICE 848,Düsseldorf Hbf (an 18:07),Berlin Ostbahnhof
13:33 (+1),ICE 858,Köln Hbf (an 18:10),Berlin Ostbahnhof
13:35 (+1),RE 3118,Cottbus Hbf (an 14:54),Berlin Ostbahnhof
13:38,RB 18156,Berlin-Charlottenburg (an 13:58),Berlin Ostbahnhof
13:49,RE 73735,Magdeburg Hbf (an 15:47),Berlin Ostbahnhof
13:53 (+5),IC 142,Amsterdam Centraal (an 20:00),Berlin Ostbahnhof
13:58 (+4),RE 3720,Senftenberg (an 15:42),Berlin Ostbahnhof
13:59 (+59),EC 48,Berlin Hbf (an 14:06),Berlin Ostbahnhof
14:02 (+6),RE 3725,Bad Belzig (an 15:17),Berlin Ostbahnhof
14:03 (+3),EC 49,Warszawa Centralna (an 19:21),Berlin Ostbahnhof
14:07,RE 62021,Wittenberge (an 15:57),Berlin Ostbahnhof
14:10,RE 73730,Pillgram (an 15:02),Berlin Ostbahnhof
14:20 (+1),RB 18159,Flughafen BER (an 14:46),Berlin Ostbahnhof
14:25,RE 3121,Nauen (an 15:23),Berlin Ostbahnhof
14:25,RE 73772,Frankfurt(Oder) (an 15:31),Berlin Ostbahnhof
14:30,RE 73777,Brandenburg Hbf (an 15:38),Berlin Ostbahnhof
14:33 (+1),ICE 546,Köln Hbf (an 19:36),Berlin Ostbahnhof
14:35,RE 26107,Cottbus Hbf (an 15:54),Berlin Ostbahnhof
14:35 (+6),RE 3120,Cottbus Hbf (an 15:54),Berlin Ostbahnhof
14:38,RB 18158,Berlin-Charlottenburg (an 14:58),Berlin Ostbahnhof
14:44 (+1),ICE 556,Koblenz Hbf (an 20:16),Berlin Ostbahnhof
14:49,RE 73737,Magdeburg Hbf (an 16:47),Berlin Ostbahnhof
14:53,RE 62018,Flughafen BER (an 15:15),Berlin Ostbahnhof
14:58 (+28),RE 3722,Senftenberg (an 16:42),Berlin Ostbahnhof
14:59 (+1),EC 58,Berlin Hbf (an 15:06),Berlin Ostbahnhof
15:02 (+3),RE 3727,Dessau Hbf (an 16:53),Berlin Ostbahnhof
15:07,RE 62023,Holthusen (an 17:47),Berlin Ostbahnhof
15:10,RE 73732,Pillgram (an 16:02),Berlin Ostbahnhof
15:19 (+2),IC 2034,Norddeich (an 22:14),Berlin Ostbahnhof
15:21,RB 18161,Flughafen BER (an 15:46),Berlin Ostbahnhof
15:25,RE 3123,Nauen (an 16:23),Berlin Ostbahnhof
15:25,RE 73774,Frankfurt(Oder) (an 16:31),Berlin Ostbahnhof
15:30,RE 73779,Brandenburg Hbf (an 16:38),Berlin Ostbahnhof
15:33 (+1),ICE 846,Mönchengladbach Hbf (an 20:42),Berlin Ostbahnhof
15:33 (+1),ICE 856,Köln Hbf (an 20:10),Berlin Ostbahnhof
15:35,RE 3122,Cottbus Hbf (an 16:54),Berlin Ostbahnhof
15:38,RB 18160,Berlin-Charlottenburg (an 15:57),Berlin Ostbahnhof
15:49,RE 73739,Magdeburg Hbf (an 17:47),Berlin Ostbahnhof
15:49,RE 91001,Magdeburg Hbf (an 17:47),Berlin Ostbahnhof
15:53 (+3),IC 140,Amsterdam Centraal (an 22:00),Berlin Ostbahnhof
15:53,RE 62020,Flughafen BER (an 16:15),Berlin Ostbahnhof
15:58 (+3),RE 3724,Senftenberg (an 17:42),Berlin Ostbahnhof
15:58,RE 95166,Lübbenau(Spreewald) (an 17:03),Berlin Ostbahnhof
15:59,EC 46,Berlin Hbf (an 16:06),Berlin Ostbahnhof
16:02 (+4),RE 3729,Bad Belzig (an 17:17),Berlin Ostbahnhof
16:03 (+2),EC 247,Warszawa Wschodnia (an 21:31),Berlin Ostbahnhof
16:07,RE 62025,Wittenberge (an 17:57),Berlin Ostbahnhof
16:09,RE 73734,Pillgram (an 17:02),Berlin Ostbahnhof
16:21,RB 18163,Flughafen BER (an 16:46),Berlin Ostbahnhof
16:25 (+1),RE 3125,Nauen (an 17:23),Berlin Ostbahnhof
16:25,RE 73776,Frankfurt(Oder) (an 17:31),Berlin Ostbahnhof
16:30,RE 3182,Brandenburg Hbf (an 17:38),Berlin Ostbahnhof
16:30,RE 73781,Brandenburg Hbf (an 17:38),Berlin Ostbahnhof
