Ankunft,Zugnr.,von (Abfahrt),Ankunftsbhf.
08:43,ICE 279,Berlin Ostbahnhof (ab 08:16),Berlin-Spandau
08:45 (+4),ICE 806,Eisenach Hbf (ab 05:53),Berlin-Spandau
08:49,FLX 1230,Berlin Ostbahnhof (ab 08:22),Berlin-Spandau
08:51 (+1),RE 3148,Rathenow (ab 08:06),Berlin-Spandau
08:54,RE 3109,Cottbus Hbf (ab 07:03),Berlin-Spandau
08:58,ICE 642,Berlin Ostbahnhof (ab 08:36),Berlin-Spandau
09:00,BSV 3111,Hamm(Westf)Hbf (ab 06:20),Berlin-Spandau
09:02,RE 3110,Nauen (ab 08:37),Berlin-Spandau
09:06,RE 3149,Falkenberg(Elster) (ab 07:14),Berlin-Spandau
09:10,ICE 652,Berlin Ostbahnhof (ab 08:36),Berlin-Spandau
09:10 (+3),ICE 703,Hamburg Hbf (ab 07:31),Berlin-Spandau
09:15,ICE 876,Kassel-Wilhelmshöhe (ab 06:43),Berlin-Spandau
09:21,RE 62008,Wittenberge (ab 08:06),Berlin-Spandau
09:22,RB 18508,Berlin Südkreuz (ab 09:02),Berlin-Spandau
09:26,RB 18248,Potsdam Hbf (ab 08:36),Berlin-Spandau
09:30 (+2),ICE 741,Münster(Westf)Hbf (ab 06:17),Berlin-Spandau
09:30,RB 18251,Berlin Gesundbrunnen (ab 09:17),Berlin-Spandau
09:32 (+1),RB 18509,Nauen (ab 09:08),Berlin-Spandau
09:34 (+3),ICE 793,Berlin Südkreuz (ab 09:12),Berlin-Spandau
09:36 (+5),RE 62011,Flughafen BER (ab 08:44),Berlin-Spandau
09:43,ICE 93,Hamburg Hbf (ab 08:05),Berlin-Spandau
09:46 (+3),ICE 1604,Nürnberg Hbf (ab 05:39),Berlin-Spandau
09:46 (+3),ICE 1704,Jena-Göschwitz (ab 06:41),Berlin-Spandau
09:49 (+1),RE 3168,Stendal Hbf (ab 08:45),Berlin-Spandau
09:54,RE 3111,Cottbus Hbf (ab 08:04),Berlin-Spandau
09:58,ICE 843,Köln Hbf (ab 05:22),Berlin-Spandau
09:58,ICE 853,Köln Hbf (ab 05:44),Berlin-Spandau
09:58 (+2),ICE 942,Berlin Ostbahnhof (ab 09:32),Berlin-Spandau
09:58 (+2),ICE 952,Berlin Ostbahnhof (ab 09:32),Berlin-Spandau
10:02,RE 3112,Nauen (ab 09:37),Berlin-Spandau
10:07,RE 3171,Jüterbog (ab 09:03),Berlin-Spandau
10:10 (+1),ICE 1132,Berlin Ostbahnhof (ab 09:43),Berlin-Spandau
10:11 (+1),ICE 507,Hamburg Hbf (ab 08:31),Berlin-Spandau
10:17,IC 146,Berlin Gesundbrunnen Bhf (ab 10:08),Berlin-Spandau
10:21,RE 61994,Wismar (ab 07:33),Berlin-Spandau
10:21,RE 62010,Wismar (ab 07:33),Berlin-Spandau
10:22,RB 18510,Berlin Südkreuz (ab 10:02),Berlin-Spandau
10:27,RB 18250,Potsdam Hbf (ab 09:35),Berlin-Spandau
10:28,RB 18253,Berlin Gesundbrunnen (ab 10:13),Berlin-Spandau
10:33,RB 18511,Nauen (ab 10:08),Berlin-Spandau
10:35,RE 62013,Flughafen BER (ab 09:44),Berlin-Spandau
10:43,ICE 371,Berlin Ostbahnhof (ab 10:14),Berlin-Spandau
10:45,ICE 804,München Hbf (ab 05:06),Berlin-Spandau
10:47 (+2),ICE 543,Köln Hbf (ab 06:18),Berlin-Spandau
10:47 (+2),ICE 553,Koblenz Hbf (ab 05:40),Berlin-Spandau
10:50,RE 3150,Rathenow (ab 10:02),Berlin-Spandau
10:54,RE 3113,Cottbus Hbf (ab 09:04),Berlin-Spandau
10:58,ICE 640,Berlin Ostbahnhof (ab 10:33),Berlin-Spandau
11:02,RE 3114,Nauen (ab 10:37),Berlin-Spandau
11:06 (+2),RE 3151,Falkenberg(Elster) (ab 09:14),Berlin-Spandau
11:09,ICE 650,Berlin Ostbahnhof (ab 10:38),Berlin-Spandau
