Abfahrt,Zugnr.,nach (Ankunft),Gleis
19:20,RB 94786,Potsdam Hbf (an 19:51),
19:20,RE 75865,Potsdam Hbf (an 19:51),
19:29,RE 3130,Cottbus Hbf (an 20:55),1
19:33 (+2),RE 3131,Hennigsdorf(b Berlin) (an 20:23),3
19:40,RB 94781,Berlin Ostbahnhof (an 19:46),
19:40,RE 94781,Berlin Ostbahnhof (an 19:46),
19:49 (+1),RE 3732,Senftenberg (an 21:41),1
19:57,RE 94746,Berlin-Wannsee (an 20:20),
20:02,RE 93742,Berlin Ostbahnhof (an 20:09),
20:02,RE 94741,Berlin Ostbahnhof (an 20:09),
20:12,RE 3737,Dessau Hbf (an 21:53),3
20:20,RE 94788,Potsdam Hbf (an 20:51),
20:29 (+1),RE 3132,Cottbus Hbf (an 21:55),1
20:33,RE 3133,Berlin-Spandau (an 20:54),
20:40,RE 94783,Berlin Ostbahnhof (an 20:46),
20:49 (+3),RE 3734,Lübbenau(Spreewald) (an 22:04),1
20:57,RE 94748,Berlin-Wannsee (an 21:20),
21:02,RE 93744,Berlin Ostbahnhof (an 21:09),
21:02,RE 94743,Berlin Ostbahnhof (an 21:09),
21:12,RE 3739,Dessau Hbf (an 22:53),3
21:29,RE 3134,Cottbus Hbf (an 22:55),1
21:33,RE 3135,Hennigsdorf(b Berlin) (an 22:25),3
21:40,RE 94785,Berlin Ostbahnhof (an 21:46),
21:49,RE 3736,Lübbenau(Spreewald) (an 23:04),1
21:51,RE 91491,Potsdam Hbf (an 22:22),
21:51,RE 94790,Berlin-Wannsee (an 22:14),
22:14,RE 3741,Bad Belzig (an 23:19),3
22:33,RE 3137,Hennigsdorf(b Berlin) (an 23:26),3
22:51,RB 94792,Berlin-Wannsee (an 23:14),
22:51,RE 91393,Potsdam Hbf (an 23:22),
22:56,RE 3136,Cottbus Hbf (an 00:40),1
23:02,RE 94747,Berlin Ostkreuz (an 23:14),
23:12,RE 3743,Dessau Hbf (an 00:53),3
23:33,RE 3139,Berlin-Charlottenburg (an 23:46),3
23:42,RB 21958,Berlin-Charlottenburg (an 23:54),4
23:49,RE 3740,Berlin Ostbahnhof (an 23:56),1
23:51,RB 94794,Berlin-Wannsee (an 00:14),
23:51,RE 73795,Potsdam Hbf (an 00:23),
23:55,RE 3138,Cottbus Hbf (an 01:40),1
