Ankunft,Zugnr.,von (Abfahrt),Ankunftsbhf.
00:13,RE 62045,Berlin Ostkreuz (ab 00:02),Berlin Friedrichstraße
00:25,RE 3701,Berlin Ostbahnhof (ab 00:18),Berlin Friedrichstraße
00:30,FEX19878,Flughafen BER (ab 00:02),Berlin Friedrichstraße
00:36,RE 73797,Fangschleuse (ab 00:04),Berlin Friedrichstraße
00:43,RE 62038,Nauen (ab 00:04),Berlin Friedrichstraße
00:44,RE 3141,Zeesen (ab 00:06),Berlin Friedrichstraße
00:56,RE 3100,Nauen (ab 00:08),Berlin Friedrichstraße
01:00,RE 3742,Brück(Mark) (ab 00:04),Berlin Friedrichstraße
01:10,RE 62041,Flughafen BER (ab 00:40),Berlin Friedrichstraße
01:25,RE 73794,Wusterwitz (ab 00:10),Berlin Friedrichstraße
01:36,RE 73753,Frankfurt(Oder) (ab 00:24),Berlin Friedrichstraße
01:43,FEX19880,Flughafen BER (ab 01:15),Berlin Friedrichstraße
01:50,RE 62042,Nauen (ab 01:03),Berlin Friedrichstraße
02:10,RE 62047,Flughafen BER (ab 01:39),Berlin Friedrichstraße
02:40,RE 73798,Groß Kreutz (ab 01:52),Berlin Friedrichstraße
02:47,RE 62046,Nauen (ab 02:02),Berlin Friedrichstraße
03:10,RE 62043,Flughafen BER (ab 02:41),Berlin Friedrichstraße
03:17,FEX19801,Berlin-Charlottenburg (ab 03:05),Berlin Friedrichstraße
03:31,FEX19803,Berlin-Charlottenburg (ab 03:20),Berlin Friedrichstraße
03:47,RE 62044,Nauen (ab 03:02),Berlin Friedrichstraße
04:13,RE 73752,Groß Kreutz (ab 03:26),Berlin Friedrichstraße
04:14,RE 62001,Flughafen BER (ab 03:47),Berlin Friedrichstr
04:14,RE 62001,Flughafen BER (ab 03:47),Berlin Friedrichstraße
04:14,RE 62001,Falkensee (ab 04:42),Berlin Friedrichstr
04:35,RE 73800,Berlin-Charlottenburg (ab 04:23),Berlin Friedrichstraße
04:43,RE 62048,Nauen (ab 04:01),Berlin Friedrichstraße
04:48,RE 3702,Bad Belzig (ab 03:41),Berlin Friedrichstraße
04:56,RE 73717,Frankfurt(Oder) (ab 03:44),Berlin Friedrichstraße
05:09,RB 18141,Berlin-Charlottenburg (ab 04:57),Berlin Friedrichstraße
05:09,RE 3707,Lübbenau(Spreewald) (ab 03:54),Berlin Friedrichstraße
05:09,RE 3707,Lübbenau(Spreewald) (ab 03:54),Berlin Friedrichstr
05:14,RE 62003,Flughafen BER (ab 04:44),Berlin Friedrichstr
05:14,RE 62003,Flughafen BER (ab 04:44),Berlin Friedrichstraße
05:16,RE 73754,Groß Kreutz (ab 04:28),Berlin Friedrichstraße
05:16,RE 73754,Groß Kreutz (ab 04:28),Berlin Friedrichstr
05:16,RE 73754,Werder(Havel) (ab 04:36),Berlin Friedrichstraße
05:16,RE 73754,Werder(Havel) (ab 04:36),Berlin Friedrichstr
05:25,RE 3102,Nauen (ab 04:36),Berlin Friedrichstraße
05:25,RE 3102,Nauen (ab 04:36),Berlin Friedrichstr
05:25,RE 3102,Brieselang (ab 04:44),Berlin Friedrichstraße
05:25,RE 3102,Brieselang (ab 04:44),Berlin Friedrichstr
05:25,RE 3102,Finkenkrug (ab 04:48),Berlin Friedrichstraße
05:25,RE 3102,Finkenkrug (ab 04:48),Berlin Friedrichstr
05:25,RE 3102,Falkensee (ab 04:52),Berlin Friedrichstraße
05:25,RE 3102,Falkensee (ab 04:52),Berlin Friedrichstr
05:25,RE 3102,Seegefeld (ab 04:55),Berlin Friedrichstraße
05:25,RE 3102,Seegefeld (ab 04:55),Berlin Friedrichstr
05:25,RE 3102,Albrechtshof (ab 04:58),Berlin Friedrichstraße
05:25,RE 3102,Albrechtshof (ab 04:58),Berlin Friedrichstr
05:32,RE 3103,Cottbus Hbf (ab 03:47),Berlin Friedrichstraße
05:32,RE 3103,Cottbus Hbf (ab 03:47),Berlin Friedrichstr
05:32,RE 3103,Kolkwitz (ab 03:53),Berlin Friedrichstraße
