Abfahrt,Zugnr.,nach (Ankunft),Gleis
22:07,RB 21951,Flughafen BER (an 22:29),1
22:07,RB 91672,Jüterbog (an 22:54),
22:10,ICE 2938,Berlin Gesundbrunnen (an 22:14),5
22:10,ICE 702,Berlin Gesundbrunnen (an 22:14),5
22:14,RE 3519,Berlin Südkreuz (an 22:23),4
22:18,RE 93041,Berlin-Wannsee (an 22:35),
22:18,RE 94241,Berlin-Wannsee (an 22:35),13
22:23 (+6),ICE 945,Berlin Ostbahnhof (an 22:31),12
22:23,RE 3358,Schwedt(Oder) (an 23:56),5
22:28 (+28),ICE 609,Erfurt Hbf (an 01:45),2
22:37,ICE 594,Berlin Gesundbrunnen (an 22:43),5
22:37,RE 73787,Berlin Ostbahnhof (an 22:46),12
22:38 (+25),ICE 900,Hamburg-Altona (an 01:13),
22:40,RE 3317,Lutherstadt Wittenberg Hbf (an 00:08),3
22:42 (+20),ICE 792,Berlin Ostbahnhof (an 22:49),11
22:44 (+2),RE 62034,Baruth(Mark) (an 23:41),4
22:46,RE 3738,Berlin Ostbahnhof (an 22:56),12
22:46,RE 4368,Rostock Hbf (an 01:21),6
22:47,RB 56814,Berlin Südkreuz (an 22:53),4
22:55 (+1),RE 73792,Magdeburg Hbf (an 00:48),14
22:59 (+25),RE 73747,Frankfurt(Oder) (an 00:18),11
23:09,RB 73824,Berlin-Charlottenburg (an 23:18),14
23:14,RE 4369,Berlin Südkreuz (an 23:24),4
23:15 (+1),RE 3743,Dessau Hbf (an 00:53),13
23:21 (+1),ICE 645,Berlin Ostbahnhof (an 23:29),12
23:24,RE 3320,Eberswalde Hbf (an 00:05),6
23:26 (+2),ICE 2505,Berlin Ostbahnhof (an 23:33),
23:26 (+3),ICE 705,Berlin Ostbahnhof (an 23:33),
23:28 (+1),ICE 273,Zürich HB (an 10:00),14
23:28 (+1),ICE 905,München Hbf (an 07:15),4
23:35,RE 3359,Jüterbog (an 00:35),4
23:38 (+30),ICE 276,Berlin Ostbahnhof (an 23:47),12
23:41 (+1),ICE 1540,Köln Hbf (an 06:12),13
23:43,RE 62036,Baruth(Mark) (an 00:35),7
23:46,RE 3522,Neubrandenburg (an 01:38),5
23:46,RE 3740,Berlin Ostbahnhof (an 23:56),12
23:50 (+3),ICE 1000,Berlin Gesundbrunnen (an 23:54),6
23:59 (+11),RE 73749,Eisenhüttenstadt (an 01:41),11
