Abfahrt ▼,Ist ▼,Zugnr. ▼,nach (Ankunft) ▼,Gleis ▼
07:13 (+101),08:54,RJ 387,Praha hl.n. (an 11:25),
10:34 (+5),10:39,RJ 384,København H (an 18:16),
11:28,11:28,RJ 175,Budapest-Nyugati (an 22:28),
13:28,13:28,RJ 383,Praha hl.n. (an 17:25),
14:34 (+15),14:49,RJ 382,København H (an 22:16),
17:28 (+9),17:37,RJ 385,Praha HL. N st (an 21:25),
18:34 (+83),19:57,RJ 174,Kiel Hbf (an 21:40),
20:13,20:13,EN 40457,Budapest-Nyugati (an 08:29),
20:34 (+26),21:00,RJ 386,København H (an 06:18),1
21:11,21:11,Snälltåget 21170,Malmö Central (an 06:30),
