Ankunft ▼,Ist ▼,Zugnr. ▼,von (Abfahrt) ▼,Gleis ▼
00:08 (+20),00:28,ICE 947,Köln Hbf (ab 19:27),6
00:21,00:21,RE 62038,Wustermark (ab 00:02),5
01:03,01:03,RE 3165,Berlin Hbf (ab 00:53),
01:12 (+1),01:13,ICE 1707,Hamburg-Altona (ab 22:34),
01:58 (+20),02:18,ICE 647,Köln Hbf (ab 21:26),5
02:08,02:08,RB 93188,Berlin Hbf (ab 01:57),3
02:34,02:34,RB 62089,Wustermark (ab 02:16),5
03:31,03:31,RB 62091,Wustermark (ab 03:15),
04:08,04:08,RB 10,Nauen (ab 03:08),
04:33,04:33,RE 62040,Nauen (ab 04:03),
04:35,04:35,RE 62047,Berlin Hbf (ab 04:25),
04:38 (+1),04:39,ICE 646,Berlin Ostbahnhof (ab 04:09),4
04:47,04:47,ICE 1706,Berlin Südkreuz (ab 04:29),4
04:47,04:47,ICE 2802,München Hbf (ab 18:11),4
04:53,04:53,RE 2,Liberec (ab 18:29),
05:04,05:04,RE 4,Berlin-Staaken (ab 22:10),
05:20,05:20,RE 62000,Wittenberge (ab 04:02),
05:28,05:28,RB 18243,Berlin Gesundbrunnen (ab 05:14),
05:35,05:35,RB 14,Nauen (ab 05:11),
05:35,05:35,RE 8,Brieselang (ab 04:10),
05:42,05:42,RE 3601,Neuruppin West (ab 04:26),
05:45 (+2),05:47,ICE 946,Berlin Ostbahnhof (ab 05:15),3
05:52,05:52,RE 3164,Stendal Hbf (ab 04:48),6
05:54 (+1),05:55,RE 3103,Cottbus Hbf (ab 04:00),3
05:56,05:56,ICE 608,Berlin Südkreuz (ab 05:31),4
05:59,05:59,RB 62050,Berlin Südkreuz (ab 05:38),3
05:59,05:59,RB 62051,Wustermark (ab 05:39),6
06:04 (+1),06:05,RE 3167,Jüterbog (ab 05:02),4
06:04,06:04,RE 4,Teltow (ab 05:34),
06:05 (+2),06:07,RE 3104,Hennigsdorf(b Berlin) (ab 05:35),6
06:20,06:20,RE 62002,Wittenberge (ab 05:05),5
06:22,06:22,ICE 1272,Frankfurt(Main)Hbf (ab 23:35),6
06:25,06:25,ICE 240,Berlin Ostbahnhof (ab 06:00),3
06:35,06:35,RE 62005,Baruth(Mark) (ab 05:20),3
06:43,06:43,RE 3603,Wittstock(Dosse) (ab 04:50),
06:44,06:44,ICE 279,Berlin Ostbahnhof (ab 06:15),4
06:47,06:47,ICE 1604,München Hbf (ab 06:19),
06:47,06:47,ICE 1704,Berlin Südkreuz (ab 06:26),3
06:52,06:52,RE 3146,Rathenow (ab 06:09),6
06:52,06:52,RE 62154,Rathenow (ab 06:09),
06:54,06:54,RE 3105,Cottbus Hbf (ab 04:57),3
06:59,06:59,RB 62052,Berlin Südkreuz (ab 06:38),3
06:59 (+1),07:00,RB 62053,Wustermark (ab 06:39),6
07:04,07:04,RE 3147,Falkenberg(Elster) (ab 05:14),4
07:05 (+6),07:11,RE 3106,Hennigsdorf(b Berlin) (ab 06:35),6
07:09,07:09,ICE 9590,Berlin Hbf (ab 05:47),
07:12,07:12,RJ 387,Hamburg-Altona (ab 05:18),
07:20,07:20,RE 62004,Schwerin Hbf (ab 04:56),5
07:27,07:27,RB 18244,Potsdam Hbf (ab 06:36),5
07:27,07:27,RB 18247,Berlin Gesundbrunnen (ab 07:14),4
07:31,07:31,RE 62007,Elsterwerda (ab 05:29),3
07:34,07:34,ICE 595,Berlin Ostbahnhof (ab 07:08),
07:42,07:42,RE 3607,Wittstock(Dosse) (ab 05:56),
07:48 (+1),07:49,ICE 606,Leipzig Hbf (ab 06:12),4
07:52 (+3),07:55,RE 3166,Stendal Hbf (ab 06:47),6
07:54 (+11),08:05,RE 3107,Cottbus Hbf (ab 06:03),3
07:57 (+5),08:02,ICE 851,Hannover Hbf (ab 06:09),5
07:58,07:58,ICE 944,Berlin Ostbahnhof (ab 07:32),4
07:59,07:59,RB 62054,Berlin Südkreuz (ab 07:39),3
07:59,07:59,RB 62055,Wustermark (ab 07:39),6
08:04 (+1),08:05,RE 3169,Jüterbog (ab 07:02),4
08:05 (+2),08:07,ICE 505,Hamburg-Altona (ab 06:17),5
08:05 (+2),08:07,RE 3108,Hennigsdorf(b Berlin) (ab 07:35),6
08:13,08:13,DRF 1332,Berlin Ostbahnhof (ab 07:46),3
