Ankunft ▼,Ist ▼,Zugnr. ▼,von (Abfahrt) ▼,Gleis ▼
16:03,16:03,RB 21905,Stralsund Hbf (ab 13:02),6
16:22,16:22,RE 3311,Stralsund Hbf (ab 13:10),6
16:28,16:28,RE 3352,Lutherstadt Wittenberg Hbf (ab 14:52),9
16:31,16:31,ICE 1508,München Hbf (ab 12:21),8
16:36,16:36,ICE 935,Ostseebad Binz (ab 12:44),6
17:02,17:02,ICE 2538,Leipzig Hbf (ab 15:38),
17:19,17:19,RE 3126,Nauen (ab 16:39),8
17:21,17:21,RE 3353,Schwedt(Oder) (ab 16:04),6
17:28,17:28,RE 3314,Lutherstadt Wittenberg Hbf (ab 15:51),9
17:31,17:31,ICE 1006,München Hbf (ab 13:17),8
17:38 (+47),18:25,RE 3127,Cottbus Hbf (ab 16:03),
18:19,18:19,RE 3128,Nauen (ab 17:39),10
18:22,18:22,RE 3313,Stralsund Hbf (ab 15:10),6
18:28,18:28,RE 3354,Lutherstadt Wittenberg Hbf (ab 16:52),10
18:31,18:31,ICE 1506,München Hbf (ab 14:21),8
18:36,18:36,RE 3129,Cottbus Hbf (ab 17:03),
18:51,18:51,RE 4364,Flughafen BER (ab 18:16),10
18:54 (+4),18:58,ICE 2537,Ostseebad Binz (ab 15:24),
19:03 (+2),19:05,RE 4365,Rostock Hbf (ab 16:34),
19:16,19:16,RE 3339,Angermünde (ab 18:16),
19:19,19:19,RE 3130,Nauen (ab 18:39),8
19:21,19:21,RE 3355,Schwedt(Oder) (ab 18:04),5
19:28,19:28,RE 3316,Lutherstadt Wittenberg Hbf (ab 17:51),9
19:31,19:31,ICE 1004,München Hbf (ab 15:17),8
19:51,19:51,RE 3518,Flughafen BER (ab 19:16),
20:03 (+1),20:04,RE 3517,Stralsund Hbf (ab 17:02),
20:19,20:19,RE 3132,Nauen (ab 19:39),10
20:22,20:22,RE 3315,Stralsund Hbf (ab 17:10),6
20:28,20:28,RE 3356,Lutherstadt Wittenberg Hbf (ab 18:52),9
20:31,20:31,ICE 1504,München Hbf (ab 16:21),
20:36,20:36,RE 3133,Cottbus Hbf (ab 19:03),
20:51,20:51,RE 4366,Flughafen BER (ab 20:16),
21:03,21:03,RE 4367,Rostock Hbf (ab 18:34),6
21:19,21:19,RE 3134,Nauen (ab 20:39),10
21:21 (+6),21:27,RE 3357,Schwedt(Oder) (ab 20:04),
21:28,21:28,RE 3318,Luckenwalde (ab 20:35),9
21:31,21:31,IC 2911,München Hbf (ab 17:19),8
21:31,21:31,ICE 1002,München Hbf (ab 17:19),8
21:34 (+1),21:35,RE 3135,Cottbus Hbf (ab 20:03),
21:45,21:45,ICE 2900,München Hbf (ab 16:47),
21:45,21:45,ICE 502,München Hbf (ab 16:47),
21:51,21:51,RE 3520,Flughafen BER (ab 21:16),
22:03 (+4),22:07,RE 3519,Stralsund Hbf (ab 19:02),
22:22,22:22,RE 3317,Stralsund Hbf (ab 19:10),6
22:28,22:28,RE 3358,Lutherstadt Wittenberg Hbf (ab 20:52),9
22:31 (+56),23:27,ICE 1502,München Hbf (ab 18:21),7
22:34 (+13),22:47,ICE 1970,Dresden Hbf (ab 20:53),
22:34 (+1),22:35,RE 3137,Cottbus Hbf (ab 21:03),
22:48,22:48,RE 3136,Nauen (ab 22:08),10
22:51,22:51,RE 4368,Berlin Südkreuz (ab 22:35),9
23:03 (+2),23:05,RE 4369,Rostock Hbf (ab 20:34),6
23:26,23:26,RE 3359,Schwedt(Oder) (ab 22:04),6
23:32,23:32,ICE 1000,München Hbf (ab 19:18),8
23:48,23:48,RE 3138,Nauen (ab 23:08),10
