Ankunft ▼,Ist ▼,Zugnr. ▼,von (Abfahrt) ▼,Gleis ▼
21:42 (+7),21:49,ICE 278,Basel SBB (ab 14:16),3
21:46,21:46,RE 28960,Brandenburg Hbf (ab 20:44),
21:46,21:46,RE 73785,Brandenburg Hbf (ab 20:44),1
21:56,21:56,RE 3736,Dessau Hbf (ab 20:05),1
22:03 (+120),00:03,ICE 241,Amsterdam Centraal (ab 16:00),2
22:04,22:04,RE 3741,Senftenberg (ab 20:14),7
22:09,22:09,EC 40,Warszawa Wschodnia (ab 16:49),6
22:09,22:09,RE 73745,Magdeburg Hbf (ab 20:12),1
22:23,22:23,RE 3137,Cottbus Hbf (ab 21:03),7
22:31 (+240),02:31,ICE 945,Köln Hbf (ab 17:24),1
22:41,22:41,RE 73792,Güsen(b Genthin) (ab 00:23),7
22:46,22:46,RE 73787,Brandenburg Hbf (ab 21:44),1
22:49 (+36),23:25,ICE 792,Frankfurt(M) Flughafen Fernbf (ab 18:09),3
22:55,22:55,RE 73824,Fürstenwalde(Spree) (ab 22:15),6
22:56,22:56,RE 3738,Dessau Hbf (ab 21:05),7
22:58,22:58,RB 18274,Potsdam Hbf (ab 21:35),
23:03 Ausfall,--:--,RE 3136,Schönwalde(Spreewald) (ab 00:01),2
23:09,23:09,RE 73747,Magdeburg Hbf (ab 21:07),1
23:22,23:22,RE 3139,Cottbus Hbf (ab 22:00),6
23:27,23:27,TES,Fangschleuse Tesla Süd (ab 22:50),
23:29 (+8),23:37,ICE 645,Köln Hbf (ab 18:25),2
23:47 (+2),23:49,ICE 276,Brig (ab 13:45),2
23:56,23:56,RE 93040,Berlin-Wannsee (ab 23:26),
