Ankunft,Zugnr.,von (Abfahrt),Ankunftsbhf.
04:23 (+3),RB 61040,Basdorf (ab 04:10),Berlin-Karow
05:23 (+2),RB 61042,Klosterfelde (ab 04:57),Berlin-Karow
06:23 (+3),RB 61044,Wensickendorf (ab 06:02),Berlin-Karow
07:23 (+6),RB 61046,Wensickendorf (ab 07:02),Berlin-Karow
08:23 (+2),RB 61048,Wensickendorf (ab 08:02),Berlin-Karow
09:23 (+1),RB 61050,Wensickendorf (ab 09:02),Berlin-Karow
10:23,RB 61052,Wensickendorf (ab 10:02),Berlin-Karow
10:53 (+1),RB 61012,Klosterfelde (ab 10:27),Berlin-Karow
12:23 (+1),RB 61056,Wensickendorf (ab 12:02),Berlin-Karow
12:53 (+3),RB 61016,Klosterfelde (ab 12:27),Berlin-Karow
13:23 Ausfall,RB 61058,Wensickendorf (ab 13:02),Berlin-Karow
13:53 (+6),RB 61018,Groß Schönebeck (ab 13:12),Berlin-Karow
14:23 (+5),RB 61060,Wensickendorf (ab 14:02),Berlin-Karow
14:53 (+4),RB 61020,Klosterfelde (ab 14:27),Berlin-Karow
15:23 (+9),RB 61062,Wensickendorf (ab 15:02),Berlin-Karow
15:53 (+10),RB 61022,Groß Schönebeck (ab 15:12),Berlin-Karow
16:23 (+8),RB 61064,Wensickendorf (ab 16:02),Berlin-Karow
16:53 (+8),RB 61024,Groß Schönebeck (ab 16:12),Berlin-Karow
17:23 (+1),RB 61066,Wensickendorf (ab 17:02),Berlin-Karow
17:53 (+11),RB 61026,Groß Schönebeck (ab 17:12),Berlin-Karow
18:23 Ausfall,RB 61068,Wensickendorf (ab 18:02),Berlin-Karow
18:53,RB 61028,Groß Schönebeck (ab 18:12),Berlin-Karow
19:23,RB 61070,Wensickendorf (ab 19:02),Berlin-Karow
19:53 (+4),RB 61030,Groß Schönebeck (ab 19:12),Berlin-Karow
20:23,RB 61072,Wensickendorf (ab 20:02),Berlin-Karow
20:53,RB 61032,Klosterfelde (ab 20:27),Berlin-Karow
