Ankunft,Zugnr.,von (Abfahrt),Ankunftsbhf.
00:02 (+3),ICE 805,Hamburg-Altona (ab 21:34),Berlin Südkreuz
00:11 (+22),ICE 1018,München Hbf (ab 19:55),Berlin Südkreuz
00:26,RE 3360,Birkengrund (ab 00:07),Berlin Südkreuz
00:26 (+4),RE 3366,Birkengrund (ab 00:07),Berlin Südkreuz
00:50 (+3),EC 258,Praha hl.n. (ab 20:28),Berlin Südkreuz
00:55,RE 62090,Berlin Hbf (ab 00:48),Berlin Südkreuz
01:02,RE 62089,Baruth(Mark) (ab 00:07),Berlin Südkreuz
01:51,RE 3362,Lutherstadt Wittenberg Hbf (ab 00:34),Berlin Südkreuz
02:48 (+1),RB 18339,Berlin Gesundbrunnen (ab 02:36),Berlin Südkreuz
04:30 (+3),RB 18338,Wünsdorf-Waldstadt (ab 03:44),Berlin Südkreuz
04:35 (+2),ICE 501,S+U Gesundbrunnen Bhf (ab 04:22),Berlin Südkreuz
04:52,RE 3369,Eberswalde Hbf (ab 04:03),Berlin Südkreuz
05:11 (+1),RE 3144,Berlin Hbf (ab 05:05),Berlin Südkreuz
05:17,RE 3340,Falkenberg(Elster) (ab 03:50),Berlin Südkreuz
05:31,ICE 593,Berlin Hbf (ab 05:26),Berlin Südkreuz
05:41,RE 3301,Eberswalde Hbf (ab 04:48),Berlin Südkreuz
05:47 (+1),RE 3167,Jüterbog (ab 05:03),Berlin Südkreuz
05:50,RE 62054,Berlin Hbf (ab 05:42),Berlin Südkreuz
05:54,RB 18501,Nauen (ab 05:08),Berlin Südkreuz
05:59,RE 62053,Elsterwerda (ab 04:13),Berlin Südkreuz
06:05,ICE 1001,S+U Gesundbrunnen Bhf (ab 05:50),Berlin Südkreuz
06:05,ICE 938,Frankfurt(Main)Hbf (ab 13:02),Berlin Südkreuz
06:10 (+1),RE 3164,Stendal Hbf (ab 04:44),Berlin Südkreuz
06:19,RJ 257,Berlin Hbf (ab 06:15),Berlin Südkreuz
06:21,RE 3304,Lutherstadt Wittenberg Hbf (ab 05:05),Berlin Südkreuz
06:24,IC 494,Wien Hbf (ab 19:13),Berlin Südkreuz
06:33,ICE 503,Berlin Gesundbrunnen (ab 06:19),Berlin Südkreuz
06:39 (+1),RE 3341,Schwedt(Oder) (ab 05:06),Berlin Südkreuz
06:43,RE 3147,Herzberg(Elster) (ab 05:23),Berlin Südkreuz
06:52,RE 62056,Berlin Hbf (ab 06:45),Berlin Südkreuz
06:54,RB 18503,Nauen (ab 06:08),Berlin Südkreuz
07:02,RE 62055,Baruth(Mark) (ab 06:07),Berlin Südkreuz
07:09,ICE 1103,Berlin Gesundbrunnen (ab 06:52),Berlin Südkreuz
07:11 (+15),IC 60409,Zürich HB (ab 19:59),Berlin Südkreuz
07:11 (+15),NJ 409,Zürich HB (ab 19:59),Berlin Südkreuz
07:11,RE 3146,Rathenow (ab 06:06),Berlin Südkreuz
07:19,RE 3342,Jüterbog (ab 06:33),Berlin Südkreuz
07:22 (+3),ICE 1606,Leipzig Hbf (ab 06:17),Berlin Südkreuz
07:26,IC 2274,Dresden Hbf (ab 05:43),Berlin Südkreuz
07:26,RE 52274,Elsterwerda (ab 06:24),Berlin Südkreuz
07:31 (+1),ICE 595,Berlin Hbf (ab 07:26),Berlin Südkreuz
07:39 (+1),ICE 701,Berlin Hbf (ab 07:34),Berlin Südkreuz
07:42,RE 3303,Stralsund Hbf (ab 04:16),Berlin Südkreuz
07:44,RE 3169,Jüterbog (ab 07:03),Berlin Südkreuz
07:47 (+2),ICE 698,München Hbf (ab 21:51),Berlin Südkreuz
07:50,RE 62058,Berlin Hbf (ab 07:42),Berlin Südkreuz
07:53 (+66),FLX 1360,Leipzig Hbf (ab 06:41),Berlin Südkreuz
07:54,RB 18505,Nauen (ab 07:08),Berlin Südkreuz
08:00,RE 62057,Elsterwerda (ab 06:12),Berlin Südkreuz
08:05 (+15),EN 40476,Usti nad Labem-Strekov (ab 04:04),Berlin Südkreuz
08:05 (+15),NJ 456,Usti nad Labem-Strekov (ab 04:04),Berlin Südkreuz
08:09 (+1),RE 3166,Stendal Hbf (ab 06:40),Berlin Südkreuz
08:17 (+4),ICE 1003,Berlin Hbf (ab 08:11),Berlin Südkreuz
08:19,NJ 425,Frankfurt(Main)Süd (ab 03:19),Berlin Südkreuz
08:23 (+1),RE 3306,Halle(Saale)Hbf (ab 05:51),Berlin Südkreuz
08:26 (+1),ICE 806,Leipzig Hbf (ab 07:16),Berlin Südkreuz
08:31 (+7),IC 2173,Rostock Hbf (ab 06:00),Berlin Südkreuz
08:31,RE 52173,Berlin Hbf (ab 08:26),Berlin Südkreuz
08:33 (+3),ICE 505,Hamburg-Altona (ab 06:17),Berlin Südkreuz
08:37,ICE 870,Dresden Hbf (ab 07:00),Berlin Südkreuz
08:39 (+5),RE 3343,Schwedt(Oder) (ab 07:06),Berlin Südkreuz
08:43,RE 3149,Herzberg(Elster) (ab 07:23),Berlin Südkreuz
08:50,ICE 1636,Eisenach Hbf (ab 06:38),Berlin Südkreuz
08:52,RE 62060,Berlin Hbf (ab 08:45),Berlin Südkreuz
08:55,RB 18507,Nauen (ab 08:08),Berlin Südkreuz
09:02 (+2),RE 62059,Baruth(Mark) (ab 08:07),Berlin Südkreuz
09:05,ICE 2937,Berlin Hbf (ab 09:00),Berlin Südkreuz
09:09 (+1),ICE 1105,Berlin Hbf (ab 09:04),Berlin Südkreuz
09:11 (+1),RE 3148,Rathenow (ab 08:06),Berlin Südkreuz
09:18,RE 3344,Jüterbog (ab 08:33),Berlin Südkreuz
09:21,EC 173,Hamburg-Altona (ab 06:35),Berlin Südkreuz
09:22 (+1),ICE 1604,Nürnberg Hbf (ab 05:42),Berlin Südkreuz
09:22 (+1),ICE 1714,Jena-Göschwitz (ab 06:52),Berlin Südkreuz
09:26 (+7),IC 2272,Chemnitz Hbf (ab 06:26),Berlin Südkreuz
09:26 (+7),RE 52272,Elsterwerda (ab 08:24),Berlin Südkreuz
09:31,ICE 597,S+U Gesundbrunnen Bhf (ab 09:16),Berlin Südkreuz
09:39,ICE 703,Hamburg-Altona (ab 07:18),Berlin Südkreuz
09:41 (+2),RE 3171,Jüterbog (ab 09:03),Berlin Südkreuz
09:42 (+1),RE 3305,Stralsund Hbf (ab 06:16),Berlin Südkreuz
09:46 (+85),ICE 1008,München Hbf (ab 05:53),Berlin Südkreuz
09:50,RE 62062,Berlin Hbf (ab 09:42),Berlin Südkreuz
09:54,RB 18509,Nauen (ab 09:08),Berlin Südkreuz
09:59,RE 62061,Elsterwerda (ab 08:12),Berlin Südkreuz
10:02,IC 2472,Dresden Hbf (ab 08:21),Berlin Südkreuz
10:02,RE 52472,Elsterwerda (ab 08:54),Berlin Südkreuz
10:09 (+1),ICE 93,Hamburg-Altona (ab 07:51),Berlin Südkreuz
10:11,RE 3168,Stendal Hbf (ab 08:45),Berlin Südkreuz
10:15 (+96),ICE 804,Nürnberg Hbf (ab 07:06),Berlin Südkreuz
10:22 (+1),RE 3308,Lutherstadt Wittenberg Hbf (ab 09:00),Berlin Südkreuz
10:25 (+4),ICE 696,Frankfurt(Main)Hbf (ab 06:14),Berlin Südkreuz
10:31 (+10),IC 2175,Rostock Hbf (ab 07:59),Berlin Südkreuz
10:31,RE 52175,Berlin Hbf (ab 10:26),Berlin Südkreuz
10:33 (+1),ICE 507,Hamburg-Altona (ab 08:18),Berlin Südkreuz
10:35,EC 178,Praha hl.n. (ab 06:28),Berlin Südkreuz
10:39 (+1),RE 3345,Schwedt(Oder) (ab 09:06),Berlin Südkreuz
10:41,ICE 996,Kassel-Wilhelmshöhe (ab 07:48),Berlin Südkreuz
10:43 (+3),RE 3151,Falkenberg(Elster) (ab 09:14),Berlin Südkreuz
10:46 (+108),ICE 1114,München Hbf (ab 06:51),Berlin Südkreuz
10:50,ICE 934,Darmstadt Hbf (ab 06:37),Berlin Südkreuz
10:52,RE 62064,Berlin Hbf (ab 10:45),Berlin Südkreuz
10:54 (+1),RB 18511,Nauen (ab 10:08),Berlin Südkreuz
11:02,RE 62063,Baruth(Mark) (ab 10:07),Berlin Südkreuz
11:05 (+3),ICE 839,Berlin Gesundbrunnen (ab 10:51),Berlin Südkreuz
11:09 (+6),ICE 1107,S+U Gesundbrunnen Bhf (ab 10:46),Berlin Südkreuz
11:11,RE 3150,Rathenow (ab 10:02),Berlin Südkreuz
11:17,RE 3346,Jüterbog (ab 10:33),Berlin Südkreuz
11:21,EC 379,Kiel Hbf (ab 07:42),Berlin Südkreuz
11:22 (+82),ICE 2912,München Hbf (ab 06:57),Berlin Südkreuz
11:22 Ausfall,ICE 602,München Hbf (ab 06:57),Berlin Südkreuz
11:26 (+9),IC 2270,Chemnitz Hbf (ab 08:26),Berlin Südkreuz
11:26 (+9),RE 52270,Elsterwerda (ab 10:24),Berlin Südkreuz
11:31,ICE 1219,Berlin Hbf (ab 11:26),Berlin Südkreuz
11:33 (+96),ICE 1006,München Hbf (ab 07:56),Berlin Südkreuz
11:39 (+1),ICE 705,Hamburg-Altona (ab 09:19),Berlin Südkreuz
11:42 (+11),RE 3307,Stralsund Hbf (ab 08:16),Berlin Südkreuz
11:47,RE 3173,Jüterbog (ab 11:03),Berlin Südkreuz
11:50,RE 62066,Berlin Hbf (ab 11:42),Berlin Südkreuz
11:55 (+11),RB 18513,Nauen (ab 11:08),Berlin Südkreuz
11:59 (+3),RE 62065,Elsterwerda (ab 10:12),Berlin Südkreuz
12:09 (+14),ICE 1005,Hamburg-Altona (ab 09:50),Berlin Südkreuz
12:11 (+4),RE 3170,Stendal Hbf (ab 10:44),Berlin Südkreuz
12:15 (+109),ICE 802,München Hbf (ab 07:13),Berlin Südkreuz
12:18 Ausfall,ICE 1073,Ostseebad Binz (ab 08:19),Berlin Südkreuz
12:18,RE 51073,Prenzlau (ab 10:54),Berlin Südkreuz
12:22,RE 3310,Lutherstadt Wittenberg Hbf (ab 11:03),Berlin Südkreuz
12:25,ICE 694,Stuttgart Hbf (ab 06:50),Berlin Südkreuz
12:31 (+15),IC 2177,Rostock Hbf (ab 10:01),Berlin Südkreuz
12:31 (+10),RE 52177,Berlin Hbf (ab 12:26),Berlin Südkreuz
12:33 (+2),ICE 509,Hamburg-Altona (ab 10:17),Berlin Südkreuz
12:36 (+1),EC 176,Praha hl.n. (ab 08:28),Berlin Südkreuz
12:39,RE 3347,Schwedt(Oder) (ab 11:06),Berlin Südkreuz
12:43 (+4),ICE 994,Frankfurt(M) Flughafen Fernbf (ab 08:09),Berlin Südkreuz
12:43,RE 3153,Falkenberg(Elster) (ab 11:14),Berlin Südkreuz
12:46 (+29),ICE 1112,München Hbf (ab 08:51),Berlin Südkreuz
12:50 (+6),ICE 932,Mannheim Hbf (ab 08:02),Berlin Südkreuz
12:52,RE 62068,Berlin Hbf (ab 12:45),Berlin Südkreuz
12:54 (+1),RB 18515,Nauen (ab 12:08),Berlin Südkreuz
13:02,RE 62067,Baruth(Mark) (ab 12:07),Berlin Südkreuz
13:09 (+25),ICE 1109,Berlin Gesundbrunnen (ab 12:52),Berlin Südkreuz
13:11 (+2),RE 3152,Rathenow (ab 12:02),Berlin Südkreuz
13:17 (+1),RE 3348,Luckenwalde (ab 12:39),Berlin Südkreuz
13:21,EC 175,Flensburg (ab 08:46),Berlin Südkreuz
13:22 (+15),ICE 1600,München Hbf (ab 08:54),Berlin Südkreuz
13:22 (+15),ICE 1710,München Hbf (ab 08:54),Berlin Südkreuz
13:26 (+3),IC 2178,Dresden Hbf (ab 11:43),Berlin Südkreuz
13:26 (+5),RE 52178,Elsterwerda (ab 12:24),Berlin Südkreuz
13:31 (+45),ICE 2911,Rostock Hbf (ab 11:01),Berlin Südkreuz
13:31 Ausfall,ICE 691,Rostock Hbf (ab 11:01),Berlin Südkreuz
13:39,ICE 707,Hamburg-Altona (ab 11:18),Berlin Südkreuz
13:41 (+18),RE 3175,Jüterbog (ab 13:03),Berlin Südkreuz
13:42 (+7),RE 3309,Stralsund Hbf (ab 10:16),Berlin Südkreuz
13:45 Ausfall,ICE 1694,München Hbf (ab 08:38),Berlin Südkreuz
13:45 (+21),ICE 94,Wien Hbf (ab 06:13),Berlin Südkreuz
13:50,RE 62070,Berlin Hbf (ab 13:42),Berlin Südkreuz
13:55 (+9),RB 18517,Nauen (ab 13:08),Berlin Südkreuz
13:59 (+10),RE 62069,Elsterwerda (ab 12:12),Berlin Südkreuz
14:09 (+27),ICE 1695,Berlin Hbf (ab 14:04),Berlin Südkreuz
14:09 (+27),ICE 95,Hamburg-Altona (ab 11:50),Berlin Südkreuz
14:11 (+9),RE 3172,Stendal Hbf (ab 12:44),Berlin Südkreuz
14:15,ICE 800,München Hbf (ab 09:54),Berlin Südkreuz
14:22 (+3),RE 3312,Lutherstadt Wittenberg Hbf (ab 13:00),Berlin Südkreuz
14:25 (+3),ICE 692,München Hbf (ab 06:41),Berlin Südkreuz
14:31 (+2),IC 2179,Berlin Hbf (ab 14:26),Berlin Südkreuz
14:31,RE 52179,Berlin Hbf (ab 14:26),Berlin Südkreuz
14:34 (+9),ICE 1601,Hamburg-Altona (ab 12:15),Berlin Südkreuz
