Ankunft,Zugnr.,von (Abfahrt),Gleis
00:19 (+118),ICE 947,Köln Hbf (ab 19:27),2
04:40,RE 2,Hof (Saale)Hbf (ab 20:40),
05:18,RE 3102,Berlin-Charlottenburg (ab 05:15),1
05:29,RE 1,Altenburg b.Zwickau (ab 19:05),
05:32 (+2),ICE 946,Berlin Ostbahnhof (ab 05:08),3
05:51,RE 94713,Berlin-Wannsee (ab 05:39),2
06:07,RE 94718,Erkner (ab 05:28),4
06:18,RE 3104,Hennigsdorf(b Berlin) (ab 05:35),1
06:29,RE 94760,Erkner (ab 05:48),4
06:38,RE 3706,Dessau Hbf (ab 05:05),2
06:42,ICE 1272,Frankfurt(Main)Hbf (ab 23:35),1
06:51,RE 94715,Berlin-Wannsee (ab 06:39),2
07:07,RE 94720,Erkner (ab 06:28),4
07:18,RE 3106,Hennigsdorf(b Berlin) (ab 06:35),1
07:20,RE 3711,Senftenberg (ab 05:11),4
07:20,RE 7,Königs Wusterhausen (ab 20:38),
07:38 (+1),RE 3708,Bad Belzig (ab 06:41),2
07:42,RE 3107,Cottbus Hbf (ab 06:07),4
08:11,ICE 851,Hannover Hbf (ab 05:46),1
08:18,RE 3108,Hennigsdorf(b Berlin) (ab 07:35),1
08:20,RE 3713,Berlin Ostbahnhof (ab 08:04),3
08:38 (+1),RE 3710,Dessau Hbf (ab 07:05),2
08:42,RE 3109,Cottbus Hbf (ab 07:03),4
09:18,RE 3110,Hennigsdorf(b Berlin) (ab 08:35),1
09:20 Ausfall,RE 3715,Senftenberg (ab 07:14),3
09:38,RE 3712,Bad Belzig (ab 08:41),1
10:18,RE 3112,Hennigsdorf(b Berlin) (ab 09:35),1
10:20 (+1),RE 3717,Senftenberg (ab 08:14),3
10:29,RE 94768,Erkner (ab 09:50),4
10:38 (+2),RE 3714,Dessau Hbf (ab 09:05),2
10:42 (+3),RE 3113,Cottbus Hbf (ab 09:03),4
10:51,RE 93724,Berlin-Wannsee (ab 10:39),
10:51,RE 94723,Berlin-Wannsee (ab 10:39),
11:07,RE 33688,Erkner (ab 10:28),
11:07,RE 94728,Erkner (ab 10:28),4
11:18,RE 3114,Hennigsdorf(b Berlin) (ab 10:35),1
11:20 Ausfall,RE 3719,Senftenberg (ab 09:14),3
11:29,RE 92646,Erkner (ab 10:50),
11:29,RE 94765,Potsdam Hbf (ab 11:10),
11:29,RE 94770,Erkner (ab 10:50),
11:38 (+4),RE 3716,Dessau Hbf (ab 10:05),2
11:42,RE 3115,Cottbus Hbf (ab 10:03),4
11:51,RE 93726,Berlin-Wannsee (ab 11:39),
11:51 (+2),RE 94725,Berlin-Wannsee (ab 11:39),2
12:07,RE 33690,Erkner (ab 11:28),
12:07,RE 94730,Erkner (ab 11:28),
12:18,RE 3116,Hennigsdorf(b Berlin) (ab 11:35),1
12:20 (+3),RE 3721,Senftenberg (ab 10:14),3
12:29,RB 94772,Erkner (ab 11:50),
12:29,RE 62112,Potsdam Hbf (ab 12:10),
12:29 (+3),RE 94767,Potsdam Hbf (ab 12:10),2
12:29,RE 94772,Erkner (ab 11:50),
12:38 Ausfall,RE 3718,Dessau Hbf (ab 11:05),2
12:42,RE 3117,Cottbus Hbf (ab 11:03),4
12:46 (+9),IC 2035,Norddeich (ab 05:39),2
12:51,RE 93728,Berlin-Wannsee (ab 12:39),
12:51,RE 94727,Berlin-Wannsee (ab 12:39),
13:07,RE 33692,Erkner (ab 12:28),
13:07,RE 94732,Erkner (ab 12:28),4
13:18,RE 3118,Hennigsdorf(b Berlin) (ab 12:35),1
13:20 (+3),RE 3723,Senftenberg (ab 11:14),3
13:29,RE 94769,Potsdam Hbf (ab 13:10),
13:29,RE 94774,Erkner (ab 12:50),
13:38 (+4),RE 3720,Dessau Hbf (ab 12:05),2
13:42,RE 3119,Cottbus Hbf (ab 12:03),4
13:51,RE 93730,Berlin-Wannsee (ab 13:39),
13:51,RE 94729,Berlin-Wannsee (ab 13:39),
14:07,RE 92654,Erkner (ab 13:28),
14:07,RE 94734,Erkner (ab 13:28),
14:18,RE 3120,Hennigsdorf(b Berlin) (ab 13:35),1
14:20 (+12),RE 3725,Senftenberg (ab 12:14),3
14:29 (+2),RE 94771,Potsdam Hbf (ab 14:10),2
