Abfahrt,Zugnr.,nach (Ankunft),Abfahrtsbhf.
00:01 (+56),ICE 947,Berlin Ostbahnhof (an 00:24),Berlin-Spandau
00:23,RE 62038,Flughafen BER - Terminal 1-2 (an 01:15),Berlin-Spandau
00:29 (+49),ICE 790,Berlin Ostbahnhof (an 00:56),Berlin-Spandau
00:35 (+3),RE 3100,Berlin Ostbahnhof (an 01:04),Berlin-Spandau
00:35 (+2),RE 62045,Nauen (an 00:57),Berlin-Spandau
01:28,RE 62042,Flughafen BER (an 02:21),Berlin-Spandau
01:32,RE 62041,Nauen (an 01:56),Berlin-Spandau
02:28,RE 62046,Flughafen BER - Terminal 1-2 (an 03:16),Berlin-Spandau
02:33,RE 62047,Nauen (an 02:56),Berlin-Spandau
03:26,RE 62044,Flughafen BER - Terminal 1-2 (an 04:17),Berlin-Spandau
03:33,RE 62043,Nauen (an 03:56),Berlin-Spandau
04:25,RE 62048,Flughafen BER - Terminal 1-2 (an 05:14),Berlin-Spandau
04:34,RE 62001,Wismar (an 07:26),Berlin-Spandau
04:40 (+9),ICE 646,Düsseldorf Hbf (an 10:20),Berlin-Spandau
05:18 (+20),RE 62000,Flughafen BER - Terminal 1-2 (an 06:10),Berlin-Spandau
05:25 (+1),RB 18500,Nauen (an 05:49),Berlin-Spandau
05:29 (+1),RB 18243,Potsdam Hbf (an 06:19),Berlin-Spandau
05:35 (+4),RB 18501,Berlin Südkreuz (an 05:56),Berlin-Spandau
05:36,RE 62003,Wismar (an 08:37),Berlin-Spandau
05:40,ICE 993,Frankfurt(Main)Hbf (an 10:02),Berlin-Spandau
05:43,RE 3601,Berlin-Charlottenburg (an 05:56),Berlin-Spandau
05:47,ICE 946,Düsseldorf Hbf (an 11:12),Berlin-Spandau
05:47,ICE 956,Köln Hbf (an 11:09),Berlin-Spandau
05:49,RE 3164,Berlin Zoologischer Garten (an 07:46),Berlin-Spandau
05:49,RE 62152,Berlin Südkreuz (an 06:08),Berlin-Spandau
05:56 (+1),RE 3103,Nauen (an 06:22),Berlin-Spandau
06:05,RE 3104,Berlin Ostbahnhof (an 06:33),Berlin-Spandau
06:09,RE 3167,Frankfurt(Oder) (an 07:31),Berlin-Spandau
06:23,RE 62002,Flughafen BER - Terminal 1-2 (an 07:15),Berlin-Spandau
06:26 (+10),RB 18502,Nauen (an 06:50),Berlin-Spandau
06:35,RB 18503,Berlin Südkreuz (an 06:56),Berlin-Spandau
06:37,RE 62005,Konstanz (an 17:00),Berlin-Spandau
06:40 (+25),Bus63638,Hennigsdorf(b Berlin) (an 07:39),Berlin-Spandau
06:48 (+12),ICE 808,Hamburg-Altona (an 08:40),Berlin-Spandau
06:49,RE 18092,Berlin Südkreuz (an 07:11),Berlin-Spandau
06:49 (+3),RE 3146,Falkenberg(Elster) (an 08:35),Berlin-Spandau
06:49,RE 62154,Berlin Südkreuz (an 07:11),Berlin-Spandau
06:50,IC 240,Bad Bentheim (an 10:34),Berlin-Spandau
