Abfahrt,Zugnr.,nach (Ankunft),Abfahrtsbhf.
04:59,RE 93717,Berlin Zoologischer Garten (an 05:08),Berlin Friedrichstraße
05:10,RB 18141,Flughafen BER - Terminal 1-2 (an 05:45),Berlin Friedrichstraße
05:10,RB23,Regensburg Hbf (an 19:04),Berlin Friedrichstraße
05:10 (+16),RE 93007,Berlin Zoologischer Garten (an 05:19),Berlin Friedrichstraße
05:10 (+21),RE 93007,Berlin Zoologischer Garten (an 05:19),Berlin Friedrichstr
05:14,RE 3140,Frankfurt(Oder) (an 06:28),Berlin Friedrichstraße
05:14,RE 73754,Frankfurt(Oder) (an 06:28),Berlin Friedrichstraße
05:14,RE 73754,Frankfurt(Oder) (an 06:28),Berlin Friedrichstr
05:14,RE 73754,Magdeburg Hbf (an 05:08),Berlin Friedrichstraße
05:14,RE 73754,Magdeburg Hbf (an 05:08),Berlin Friedrichstr
05:15,RE 62003,Ludwigslust (an 07:25),Berlin Friedrichstr
05:15,RE 62003,Ludwigslust (an 07:25),Berlin Friedrichstraße
05:26,RE 3102,Lübben(Spreewald) (an 06:25),Berlin Friedrichstr
05:26,RE 3102,Lübben(Spreewald) (an 06:25),Berlin Friedrichstraße
05:33,RE 3103,Nauen (an 06:23),Berlin Friedrichstraße
05:36 (+4),RE 62000,Flughafen BER - Terminal 1-2 (an 06:10),Berlin Friedrichstr
05:36,RE 62000,Flughafen BER - Terminal 1-2 (an 06:10),Berlin Friedrichstraße
05:37,RE 3160,Jüterbog (an 21:54),Berlin Friedrichstraße
05:37 (+3),RE 93759,Berlin Zoologischer Garten (an 05:46),Berlin Friedrichstr
05:37,RE 93759,Berlin Zoologischer Garten (an 05:46),Berlin Friedrichstraße
05:46,RB 18140,Potsdam Hbf (an 06:16),Berlin Friedrichstraße
05:46,RB 18800,Potsdam Hbf (an 06:16),Berlin Friedrichstraße
05:49,RE 93004,Lübben(Spreewald) (an 06:56),Berlin Friedrichstraße
05:49 (+7),RE 93004,Lübben(Spreewald) (an 06:56),Berlin Friedrichstr
05:59,RE 3101,Frankfurt(Oder) (an 07:03),Berlin Friedrichstraße
05:59,RE 3106,Lübben(Spreewald) (an 08:25),Berlin Friedrichstraße
05:59,RE 73719,Magdeburg Hbf (an 07:47),Berlin Friedrichstraße
05:59,RE 73719,Magdeburg Hbf (an 07:47),Berlin Friedrichstr
05:59,RE 90393,Magdeburg Hbf (an 07:47),Berlin Friedrichstraße
06:13,RB 18143,Flughafen BER - Terminal 1-2 (an 06:46),Berlin Friedrichstraße
06:15,RE 62005,Wittenberge (an 07:57),Berlin Friedrichstr
06:15,RE 62005,Wittenberge (an 07:57),Berlin Friedrichstraße
06:17,RE 3167,Frankfurt(Oder) (an 07:31),Berlin Friedrichstraße
06:17,RE 93167,Frankfurt(Oder) (an 07:31),Berlin Friedrichstraße
06:17,RE 93756,Frankfurt(Oder) (an 07:31),Berlin Friedrichstr
06:26,RE 3104,Lübben(Spreewald) (an 07:25),Berlin Friedrichstr
06:33 (+12),RE 3105,Frankfurt(Oder) (an 09:03),Berlin Friedrichstr
06:44,RE 62002,Flughafen BER - Terminal 1-2 (an 07:15),Berlin Friedrichstr
06:44,RE 62002,Flughafen BER - Terminal 1-2 (an 07:15),Berlin Friedrichstraße
06:49,RE 93006,Lübben(Spreewald) (an 07:56),Berlin Friedrichstraße
06:49,RE 93006,Lübben(Spreewald) (an 07:56),Berlin Friedrichstr
06:50,RE 18753,Berlin-Wannsee (an 07:13),Berlin Friedrichstraße
06:59 (+4),RE 3108,Lübben(Spreewald) (an 09:25),Berlin Friedrichstraße
06:59,RE 3169,Rathenow (an 08:53),Berlin Friedrichstraße
06:59,RE 73716,Frankfurt(Oder) (an 08:03),Berlin Friedrichstraße
06:59,RE 73716,Frankfurt(Oder) (an 08:03),Berlin Friedrichstr
06:59,RE 73721,Magdeburg Hbf (an 08:47),Berlin Friedrichstraße
06:59 (+1),RE 73721,Magdeburg Hbf (an 08:47),Berlin Friedrichstr
06:59,RE 90417,Magdeburg Hbf (an 08:47),Berlin Friedrichstraße
07:05 (+2),HBX74516,Thale Hbf (an 10:42),Berlin Friedrichstr
07:08,RE 2,Cottbus Hbf (an 08:54),Berlin Friedrichstraße
07:10,RE 93011,Weimar (an 07:50),Berlin Friedrichstraße
07:10 (+1),RE 93011,Weimar (an 07:50),Berlin Friedrichstr
07:10,RE 93011,Berlin Zoologischer Garten (an 07:19),Berlin Friedrichstraße
07:10 (+1),RE 93011,Berlin Zoologischer Garten (an 07:19),Berlin Friedrichstr
07:15 (+5),RE 62007,Wismar (an 10:37),Berlin Friedrichstr
07:15,RE 62007,Wismar (an 10:37),Berlin Friedrichstraße
07:17,RE 18541,Frankfurt(Oder) (an 08:31),Berlin Friedrichstraße
07:19 (+1),RE 93758,Frankfurt(Oder) (an 08:31),Berlin Friedrichstr
07:19,RE 93758,Frankfurt(Oder) (an 08:31),Berlin Friedrichstraße
07:26,RE 3106,Lübben(Spreewald) (an 08:25),Berlin Friedrichstr
07:33 (+10),RE 3107,Frankfurt(Oder) (an 10:03),Berlin Friedrichstr
07:44,RE 62004,Singen(Hohentwiel) (an 09:27),Berlin Friedrichstraße
07:44,RE 62004,Singen(Hohentwiel) (an 09:27),Berlin Friedrichstr
07:44,RE 62004,Flughafen BER - Terminal 1-2 (an 08:15),Berlin Friedrichstraße
07:44,RE 62004,Flughafen BER - Terminal 1-2 (an 08:15),Berlin Friedrichstr
07:49,RE 93008,Lübben(Spreewald) (an 08:56),Berlin Friedrichstraße
07:49,RE 93008,Lübben(Spreewald) (an 08:56),Berlin Friedrichstr
07:59,RE 3105,Frankfurt(Oder) (an 09:03),Berlin Friedrichstraße
07:59,RE 73718,Frankfurt(Oder) (an 09:03),Berlin Friedrichstraße
07:59 (+13),RE 73718,Frankfurt(Oder) (an 09:03),Berlin Friedrichstr
07:59 (+1),RE 73723,Magdeburg Hbf (an 09:47),Berlin Friedrichstr
07:59,RE 73723,Magdeburg Hbf (an 09:47),Berlin Friedrichstraße
07:59,RE 73760,Frankfurt(Oder) (an 09:03),Berlin Friedrichstraße
08:10,RE 93013,Berlin Zoologischer Garten (an 08:19),Berlin Friedrichstraße
08:10,RE 93013,Berlin Zoologischer Garten (an 08:19),Berlin Friedrichstr
08:10,RE 93013,Berlin Hbf (an 08:12),Berlin Friedrichstraße
08:10,RE 93013,Berlin Hbf (an 08:12),Berlin Friedrichstr
08:15,RE 62009,Wittenberge (an 09:57),Berlin Friedrichstraße
08:15,RE 62009,Wittenberge (an 09:57),Berlin Friedrichstr
08:19,RE 93760,Frankfurt(Oder) (an 09:31),Berlin Friedrichstr
08:19,RE 93760,Frankfurt(Oder) (an 09:31),Berlin Friedrichstraße
08:26 (+4),RE 3108,Lübben(Spreewald) (an 09:25),Berlin Friedrichstr
08:33,RE 3109,Frankfurt(Oder) (an 11:03),Berlin Friedrichstr
08:44,RE 62006,Flughafen BER - Terminal 1-2 (an 09:15),Berlin Friedrichstr
08:44,RE 62006,Flughafen BER - Terminal 1-2 (an 09:15),Berlin Friedrichstraße
08:49,RE 93010,Lübben(Spreewald) (an 09:56),Berlin Friedrichstraße
08:49,RE 93010,Lübben(Spreewald) (an 09:56),Berlin Friedrichstr
08:59,RE 3107,Frankfurt(Oder) (an 10:03),Berlin Friedrichstraße
08:59,RE 3112,Lübben(Spreewald) (an 11:25),Berlin Friedrichstraße
08:59,RE 73720,Frankfurt(Oder) (an 10:03),Berlin Friedrichstraße
08:59 (+1),RE 73720,Frankfurt(Oder) (an 10:03),Berlin Friedrichstr
08:59 (+6),RE 73725,Magdeburg Hbf (an 10:47),Berlin Friedrichstr
08:59,RE 73725,Magdeburg Hbf (an 10:47),Berlin Friedrichstraße
08:59,RE 90491,Magdeburg Hbf (an 10:47),Berlin Friedrichstraße
09:10 (+1),RE 93015,Berlin Zoologischer Garten (an 09:19),Berlin Friedrichstr
09:10,RE 93015,Berlin Zoologischer Garten (an 09:19),Berlin Friedrichstraße
09:15,RE 92010,Schwerin Hbf (an 11:57),Berlin Friedrichstraße
09:17,RE 3173,Rathenow (an 12:53),Berlin Friedrichstraße
09:17,RE 93762,Frankfurt(Oder) (an 10:31),Berlin Friedrichstr
09:17,RE 93762,Frankfurt(Oder) (an 10:31),Berlin Friedrichstraße
09:26,RE 3110,Lübben(Spreewald) (an 10:25),Berlin Friedrichstraße
09:26,RE 3110,Lübben(Spreewald) (an 10:25),Berlin Friedrichstr
09:33 (+1),RE 3111,Frankfurt(Oder) (an 12:03),Berlin Friedrichstr
09:44,RE 62008,Flughafen BER - Terminal 1-2 (an 10:15),Berlin Friedrichstr
09:44,RE 62008,Flughafen BER - Terminal 1-2 (an 10:15),Berlin Friedrichstraße
09:49,RE 93012,Lübben(Spreewald) (an 10:56),Berlin Friedrichstraße
09:49 (+1),RE 93012,Lübben(Spreewald) (an 10:56),Berlin Friedrichstr
09:59,RE 3114,Lübben(Spreewald) (an 12:25),Berlin Friedrichstraße
09:59,RE 73727,Magdeburg Hbf (an 11:47),Berlin Friedrichstraße
09:59 (+1),RE 73727,Magdeburg Hbf (an 11:47),Berlin Friedrichstr
09:59,RE 91727,Magdeburg Hbf (an 11:47),Berlin Friedrichstraße
10:00,RE 3109,Frankfurt(Oder) (an 11:03),Berlin Friedrichstraße
10:00,RE 73722,Frankfurt(Oder) (an 11:03),Berlin Friedrichstraße
10:00,RE 73722,Frankfurt(Oder) (an 11:03),Berlin Friedrichstr
10:08 Ausfall,RE 18768,Lübben(Spreewald) (an 11:05),Berlin Friedrichstr
10:08 Ausfall,RE 18768,Lübben(Spreewald) (an 11:05),Berlin Friedrichstraße
10:10,RE 93017,Berlin Zoologischer Garten (an 10:19),Berlin Friedrichstraße
10:10 (+2),RE 93017,Berlin Zoologischer Garten (an 10:19),Berlin Friedrichstr
10:10,RE 93017,Berlin Hbf (an 10:12),Berlin Friedrichstraße
10:10 (+2),RE 93017,Berlin Hbf (an 10:12),Berlin Friedrichstr
10:15,RE 62013,Wittenberge (an 11:57),Berlin Friedrichstraße
10:15,RE 62013,Wittenberge (an 11:57),Berlin Friedrichstr
10:17,RE 3175,Rathenow (an 14:53),Berlin Friedrichstraße
10:17,RE 93764,Frankfurt(Oder) (an 11:31),Berlin Friedrichstraße
10:17,RE 93764,Frankfurt(Oder) (an 11:31),Berlin Friedrichstr
10:26,RE 3112,Lübben(Spreewald) (an 11:25),Berlin Friedrichstr
10:33,RE 3113,Frankfurt(Oder) (an 13:03),Berlin Friedrichstraße
10:33,RE 3113,Frankfurt(Oder) (an 13:03),Berlin Friedrichstr
10:33,RE 3113,Nauen (an 11:23),Berlin Friedrichstraße
10:33,RE 3113,Nauen (an 11:23),Berlin Friedrichstr
10:44,RE 62010,Flughafen BER - Terminal 1-2 (an 11:15),Berlin Friedrichstraße
10:44,RE 62010,Flughafen BER - Terminal 1-2 (an 11:15),Berlin Friedrichstr
10:49 (+1),RE 93014,Lübben(Spreewald) (an 11:56),Berlin Friedrichstr
10:49,RE 93014,Lübben(Spreewald) (an 11:56),Berlin Friedrichstraße
10:51,RE 18777,Berlin-Wannsee (an 11:13),Berlin Friedrichstraße
10:51,RE 3747,Bad Belzig (an 11:57),Berlin Friedrichstraße
10:51 (+1),RE 3747,Bad Belzig (an 11:57),Berlin Friedrichstr
10:59,RE 3111,Frankfurt(Oder) (an 12:03),Berlin Friedrichstraße
10:59,RE 3116,Lübben(Spreewald) (an 13:25),Berlin Friedrichstraße
10:59 (+1),RE 73724,Frankfurt(Oder) (an 12:03),Berlin Friedrichstr
10:59,RE 73724,Frankfurt(Oder) (an 12:03),Berlin Friedrichstraße
10:59,RE 73729,Magdeburg Hbf (an 12:47),Berlin Friedrichstr
10:59,RE 73729,Magdeburg Hbf (an 12:47),Berlin Friedrichstraße
11:10,RE 93019,Berlin Zoologischer Garten (an 11:19),Berlin Friedrichstraße
11:10 (+1),RE 93019,Berlin Zoologischer Garten (an 11:19),Berlin Friedrichstr
11:10,RE 93019,Berlin Hbf (an 11:12),Berlin Friedrichstraße
11:15,RE 62015,Wismar (an 14:37),Berlin Friedrichstr
11:15,RE 62015,Wismar (an 14:37),Berlin Friedrichstraße
11:17,RE 73766,Frankfurt(Oder) (an 12:31),Berlin Friedrichstraße
11:17,RE 93766,Frankfurt(Oder) (an 12:31),Berlin Friedrichstraße
11:17,RE 93766,Frankfurt(Oder) (an 12:31),Berlin Friedrichstr
11:26 (+1),RE 3114,Lübben(Spreewald) (an 12:25),Berlin Friedrichstr
11:33,RE 3115,Frankfurt(Oder) (an 14:03),Berlin Friedrichstr
11:44,RE 62012,Flughafen BER - Terminal 1-2 (an 12:15),Berlin Friedrichstraße
11:44,RE 62012,Flughafen BER - Terminal 1-2 (an 12:15),Berlin Friedrichstr
11:49,RE 93016,Lübben(Spreewald) (an 12:56),Berlin Friedrichstraße
11:59,RE 73726,Frankfurt(Oder) (an 13:03),Berlin Friedrichstraße
11:59,RE 73731,Magdeburg Hbf (an 13:47),Berlin Friedrichstraße
12:10,RE 93021,Berlin Zoologischer Garten (an 12:19),Berlin Friedrichstraße
12:15,RE 62017,Wittenberge (an 13:57),Berlin Friedrichstraße
12:17,RE 3179,Rathenow (an 18:54),Berlin Friedrichstraße
12:17,RE 93768,Frankfurt(Oder) (an 13:31),Berlin Friedrichstraße
12:33,RE 3117,Nauen (an 13:23),Berlin Friedrichstraße
12:44,RE 62014,Flughafen BER - Terminal 1-2 (an 13:15),Berlin Friedrichstraße
