Ankunft,Zugnr.,von (Abfahrt),Gleis
21:07 (+2),RE 3739,Senftenberg (ab 19:14),2
21:20,RE 73825,Berlin-Charlottenburg (ab 21:04),1
21:28 (+2),RE 3135,Cottbus Hbf (ab 20:03),2
21:33 (+8),RE 3134,Hennigsdorf(b Berlin) (ab 20:36),1
21:51 (+5),RE 3736,Dessau Hbf (ab 20:05),1
22:09 (+1),RE 3741,Senftenberg (ab 20:14),2
22:28 (+16),RE 3137,Cottbus Hbf (ab 21:03),2
22:51 (+2),RE 3738,Dessau Hbf (ab 21:05),1
22:59,RE 3136,Hennigsdorf(b Berlin) (ab 22:02),1
23:07,RE 3743,Berlin Ostbahnhof (ab 23:04),2
23:27 (+5),RE 3139,Cottbus Hbf (ab 22:00),2
23:36,RB 21958,Flughafen BER (ab 23:10),2
23:51,RE 3740,Dessau Hbf (ab 22:05),1
23:58,RE 3138,Hennigsdorf(b Berlin) (ab 23:00),1
