Abfahrt ▼,Ist ▼,Zugnr. ▼,nach (Ankunft) ▼,Gleis ▼
00:02,00:02,RB 3639,Luxembourg (an 15:38),5
00:06 (+64),01:10,ICE 947,Berlin Südkreuz (an 00:25),5
00:29,00:29,RB 62086,Falkensee (an 00:38),3
01:01,01:01,RB 3642,Luxembourg (an 18:38),4
01:05,01:05,RE 3165,Rathenow (an 01:54),3
01:38 (+3),01:41,RB 62087,Berlin Hbf (an 01:49),
02:00 (+147),04:27,ICE 647,Berlin Südkreuz (an 02:18),
02:36,02:36,RB 62089,Berlin Hbf (an 02:47),
03:33,03:33,RB 10,Frankfurt(Main)Hbf (an 20:04),
03:33 (+3),03:36,RB 62091,Berlin Hbf (an 03:44),
04:10,04:10,RE 62092,Nauen (an 04:35),
04:32,04:32,RE 62040,Doberlug-Kirchhain (an 06:14),
04:33,04:33,RE 62001,Schwerin Hbf (an 06:59),
04:33,04:33,RE 8,Hannover Hbf (an 23:38),
04:40 (+20),05:00,ICE 646,Düsseldorf Hbf (an 09:11),4
05:22,05:22,RE 62000,Berlin Hbf (an 05:36),
05:23,05:23,RB 18600,Nauen (an 05:48),4
05:37,05:37,RE 62003,Nauen (an 05:57),
05:46 (+3),05:49,ICE 946,Düsseldorf Hbf (an 10:08),4
05:46 (+3),05:49,ICE 956,Köln Hbf (an 10:12),3
06:06,06:06,RE 3167,Stendal Hbf (an 07:13),
06:22,06:22,RE 62002,Elsterwerda (an 08:31),
06:23,06:23,RB 18602,Nauen (an 06:49),4
06:26 (+1),06:27,ICE 240,Amsterdam Centraal (an 11:59),3
06:37,06:37,RE 62005,Wismar (an 09:37),3
06:39,06:39,ICE 1272,Berlin Gesundbrunnen (an 06:58),6
06:45 (+2),06:47,ICE 279,Interlaken Ost (an 15:59),4
06:54,06:54,RE 3146,Berlin Südkreuz (an 07:15),
06:54,06:54,RE 62154,Berlin Hbf (an 07:06),
07:14,07:14,ICE 2824,Köln Hbf (an 12:17),4
07:14,07:14,ICE 644,Düsseldorf Hbf (an 11:11),
07:14,07:14,ICE 654,Köln Hbf (an 12:17),4
07:23,07:23,RB 18604,Nauen (an 07:49),4
07:26,07:26,ICE 1548,Hannover Hbf (an 08:53),3
07:37,07:37,ICE 795,Darmstadt Hbf (an 12:00),4
07:37,07:37,RE 62007,Wittenberge (an 08:56),
07:54,07:54,RE 3166,Berlin Südkreuz (an 08:13),
07:59,07:59,ICE 2829,Berlin Südkreuz (an 08:21),
07:59,07:59,ICE 851,Berlin Südkreuz (an 08:21),
07:59 (+1),08:00,ICE 944,Düsseldorf Hbf (an 12:08),4
07:59 (+1),08:00,ICE 954,Köln Hbf (an 12:12),4
08:06,08:06,RE 3169,Stendal Hbf (an 09:13),
08:12,08:12,ICE 1131,Saarbrücken Hbf (an 14:17),4
08:22,08:22,RE 62006,Elsterwerda (an 10:31),5
08:26 (+13),08:39,ICE 148,Amsterdam Centraal (an 14:01),3
08:31 Ausfall,--:--,FLX 1332,Hamburg Hbf (an 10:21),3
08:37,08:37,RE 62009,Wismar (an 11:37),3
08:45 (+2),08:47,ICE 371,Basel SBB (an 15:48),4
08:46,08:46,ICE 841,Berlin Südkreuz (an 09:04),
08:50,08:50,DRF 1320,Köln Hbf (an 13:41),3
08:50 (+8),08:58,FLX 1320,Köln Hbf (an 13:41),4
08:54,08:54,RE 3148,Berlin Südkreuz (an 09:15),
09:06 (+2),09:08,RE 3110,Cottbus Hbf (an 10:56),5
09:14 (+2),09:16,ICE 652,Köln Hbf (an 14:07),4
09:22,09:22,RE 62008,Berlin Hbf (an 09:38),
09:27 (+56),10:23,FLX 1237,Basel Bad Bf (an 17:12),6
09:37 (+20),09:57,ICE 797,Frankfurt(M) Flughafen Fernbf (an 13:52),4
09:37,09:37,RE 62011,Wittenberge (an 10:56),3
09:54,09:54,RE 3168,Berlin Südkreuz (an 10:13),
09:59 (+4),10:03,ICE 942,Düsseldorf Hbf (an 14:08),4
09:59 (+4),10:03,ICE 952,Köln Hbf (an 14:12),4
10:06,10:06,RE 3112,Cottbus Hbf (an 11:55),5
10:06,10:06,RE 3171,Stendal Hbf (an 11:13),4
10:22,10:22,RE 62010,Elsterwerda (an 12:31),5
10:25 (+56),11:21,ICE 2897,Berlin Hbf (an 10:42),
10:25 (+56),11:21,ICE 843,Berlin Hbf (an 10:42),5
10:25 (+56),11:21,ICE 853,Berlin Hbf (an 10:42),5
10:26 (+18),10:44,ICE 146,Amsterdam Centraal (an 16:01),3
10:37,10:37,RE 62013,Wismar (an 13:37),3
10:47 (+20),11:07,ICE 373,Chur (an 20:22),4
10:54 (+2),10:56,RE 3150,Berlin Südkreuz (an 11:15),
10:56,10:56,RE 3113,Nauen (an 11:21),3
11:06,11:06,RE 3114,Cottbus Hbf (an 12:56),5
11:06 (+5),11:11,RE 3151,Rathenow (an 11:54),4
11:14,11:14,ICE 2840,Ulm Hbf (an 16:17),
11:14 (+7),11:21,ICE 650,Köln Hbf (an 16:08),4
11:17 (+19),11:36,ICE 543,Berlin Südkreuz (an 11:50),5
11:17 (+19),11:36,ICE 553,Schönefeld(bei Berlin) (an 12:00),
11:22 (+2),11:24,RE 62012,Baruth(Mark) (an 12:35),5
11:26 (+14),11:40,FLX 1239,Stuttgart Hbf (an 17:46),5
11:33,11:33,ICE 378,Berlin Hbf (an 11:44),6
11:37,11:37,ICE 799,Darmstadt Hbf (an 16:00),4
11:37,11:37,RE 62015,Wittenberge (an 12:56),3
11:44 (+1),11:45,RE 3615,Falkensee (an 11:31),
11:48,11:48,ICE 141,Berlin Südkreuz (an 12:08),6
11:54 (+2),11:56,RE 3170,Berlin Südkreuz (an 12:13),
11:56,11:56,RE 3115,Nauen (an 12:21),3
11:59 (+20),12:19,ICE 2812,Düsseldorf Hbf (an 16:07),
11:59,11:59,ICE 2842,Köln Hbf (an 16:11),
11:59 (+22),12:21,ICE 940,Düsseldorf Hbf (an 16:07),4
