Ankunft,Zugnr.,von (Abfahrt),Ankunftsbhf.
00:02,ICE 2915,Frankfurt(Main)Hbf (ab 07:16),Berlin Südkreuz
00:02 Ausfall,ICE 805,Hamburg-Altona (ab 21:35),Berlin Südkreuz
00:07,Bus63197,Falkenberg(Elster) (ab 20:20),Berlin Südkreuz
00:07 (+3),Bus63320,Lutherstadt Wittenberg Hbf (ab 21:00),Berlin Südkreuz
00:15,RE 3366,Lutherstadt Wittenberg Hbf (ab 22:43),Berlin Südkreuz
00:21 Ausfall,ICE 1100,München Hbf (ab 19:46),Berlin Südkreuz
00:54,ICE 376,Interlaken Ost (ab 15:00),Berlin Südkreuz
00:55,RE 62090,Berlin Hbf (tief) (ab 00:49),Berlin Südkreuz
01:03,ICE 2927,Essen Hbf (ab 16:53),Berlin Südkreuz
01:03 (+55),ICE 907,Hamburg-Altona (ab 22:36),Berlin Südkreuz
01:03,RE 62089,Baruth(Mark) (ab 00:08),Berlin Südkreuz
01:07 (+6),Bus63163,Falkenberg(Elster) (ab 21:20),Berlin Südkreuz
01:40 (+110),ICE 600,München Hbf (ab 20:46),Berlin Südkreuz
01:47,RE 3362,Ludwigsfelde (ab 01:26),Berlin Südkreuz
03:46 (+58),ICE 4,Zürich HB (ab 18:59),Berlin Südkreuz
04:52,RE 3369,Eberswalde Hbf (ab 04:04),Berlin Südkreuz
04:56 (+16),ICE 71,Berlin Hbf (ab 04:51),Berlin Südkreuz
05:11,RE 18090,Berlin Hbf (tief) (ab 05:01),Berlin Südkreuz
05:11 Ausfall,RE 3144,Rathenow (ab 04:03),Berlin Südkreuz
05:11,RE 62150,Rathenow (ab 04:03),Berlin Südkreuz
05:20,RE 4351,Neustrelitz Hbf (ab 03:49),Berlin Südkreuz
05:25 Ausfall,ICE 1001,Berlin Gesundbrunnen (ab 05:09),Berlin Südkreuz
05:41,RE 3301,Angermünde (ab 04:27),Berlin Südkreuz
05:44 (+1),RE 3167,Magdeburg Hbf (ab 04:19),Berlin Südkreuz
05:44,RE 4,Ludwigsfelde (ab 05:24),Berlin Südkreuz
05:44,RE 92101,Jüterbog (ab 05:03),Berlin Südkreuz
05:50,RE 62054,Berlin Hbf (tief) (ab 05:42),Berlin Südkreuz
