Abfahrt,Zugnr.,nach (Ankunft),Abfahrtsbhf.
07:56,RE 3166,Berlin Hbf (an 08:03),Berlin Jungfernheide
08:02,RE 3169,Stendal Hbf (an 09:27),Berlin Jungfernheide
08:04,RB 18605,Berlin Hbf (an 08:10),Berlin Jungfernheide
10:02,RE 3171,Stendal Hbf (an 11:27),Berlin Jungfernheide
11:55,RB 18612,Wustermark (an 12:19),Berlin Jungfernheide
11:56,RE 3170,Berlin Hbf (an 12:03),Berlin Jungfernheide
12:02,RE 3173,Stendal Hbf (an 13:27),Berlin Jungfernheide
12:03,RB 18613,Berlin Hbf (an 12:09),Berlin Jungfernheide
12:24,RB 18257,Golm (an 13:08),Berlin Jungfernheide
12:34,RB 18254,Berlin Gesundbrunnen (an 12:50),Berlin Jungfernheide
12:55,RB 18614,Wustermark (an 13:19),Berlin Jungfernheide
12:58,RE 3152,Berlin Hbf (an 13:02),Berlin Jungfernheide
13:04,RB 18615,Berlin Hbf (an 13:09),Berlin Jungfernheide
13:24,RB 18259,Potsdam Hbf (an 14:23),Berlin Jungfernheide
13:56,RE 3172,Berlin Hbf (an 14:03),Berlin Jungfernheide
14:02,RE 3175,Stendal Hbf (an 15:27),Berlin Jungfernheide
14:03,RB 18617,Berlin Hbf (an 14:09),Berlin Jungfernheide
14:23,RB 18261,Potsdam Hbf (an 15:23),Berlin Jungfernheide
14:34,RB 18258,Berlin Gesundbrunnen (an 14:40),Berlin Jungfernheide
14:55,RB 18618,Wustermark (an 15:19),Berlin Jungfernheide
14:58,RE 3154,Berlin Hbf (an 15:02),Berlin Jungfernheide
15:02,RE 3155,Rathenow (an 15:55),Berlin Jungfernheide
15:04,RB 18619,Berlin Hbf (an 15:10),Berlin Jungfernheide
15:23,RB 18263,Potsdam Hbf (an 16:23),Berlin Jungfernheide
15:32,RB 18260,Berlin Gesundbrunnen (an 15:39),Berlin Jungfernheide
16:02,RE 3177,Stendal Hbf (an 17:27),Berlin Jungfernheide
16:24,RB 18265,Potsdam Hbf (an 17:23),Berlin Jungfernheide
18:02,RE 3179,Stendal Hbf (an 19:27),Berlin Jungfernheide
20:02,RE 3181,Stendal Hbf (an 21:28),Berlin Jungfernheide
22:02,RE 3183,Stendal Hbf (an 23:13),Berlin Jungfernheide
