Ankunft,Zugnr.,von (Abfahrt),Ankunftsbhf.
09:29 (+18),ICE 1604,Nürnberg Hbf (ab 05:42),Berlin Hbf (tief)
09:29 (+18),ICE 1704,Jena Paradies (ab 06:59),Berlin Hbf (tief)
09:29 (+17),ICE 1714,Jena Paradies (ab 06:59),Berlin Hbf (tief)
09:29,RE 51714,Berlin Südkreuz (ab 09:24),Berlin Hbf (tief)
09:32 (+8),IC 2272,Chemnitz Hbf (ab 06:26),Berlin Hbf (tief)
09:32 (+7),RE 52272,Elsterwerda (ab 08:04),Berlin Hbf (tief)
09:33,FEX19818,Ludwigsfelde (ab 08:32),Berlin Hbf (tief)
09:45,RB 18509,Nauen (ab 09:08),Berlin Hbf (tief)
09:46,RB 18608,Berlin Südkreuz (ab 09:40),Berlin Hbf (tief)
09:50,FLX93674,Hamburg Hbf (ab 07:46),Berlin Hbf (tief)
09:51 (+11),RE 3171,Jüterbog (ab 09:03),Berlin Hbf (tief)
09:53 (+5),ICE 1008,München Hbf (ab 05:53),Berlin Hbf (tief)
09:53 (+1),ICE 1093,Hamburg-Altona (ab 07:49),Berlin Hbf (tief)
09:53 (+1),ICE 93,Hamburg-Altona (ab 07:49),Berlin Hbf (tief)
09:59,RE 3168,Frankfurt(Oder) (ab 08:26),Berlin Hbf (tief)
10:02,FEX19820,Wünsdorf-Waldstadt (ab 08:49),Berlin Hbf (tief)
10:05 (+1),RB 18609,Nauen (ab 09:18),Berlin Hbf (tief)
10:09,RE 62061,Elsterwerda (ab 08:12),Berlin Hbf (tief)
10:10,RB 18510,Berlin Südkreuz (ab 10:03),Berlin Hbf (tief)
10:12 (+2),IC 2175,Rostock Hbf (ab 07:33),Berlin Hbf (tief)
10:20 (+5),ICE 507,Hamburg-Altona (ab 08:18),Berlin Hbf (tief)
10:22 (+2),ICE 804,Nürnberg Hbf (ab 07:05),Berlin Hbf (tief)
10:28 (+4),RE 3345,Schwedt(Oder) (ab 09:06),Berlin Hbf (tief)
10:30 (+1),RE 3308,Lutherstadt Wittenberg Hbf (ab 08:59),Berlin Hbf (tief)
10:32 Ausfall,ICE 672,Wiesbaden Hbf (ab 05:00),Berlin Hbf (tief)
10:33,FEX19822,Ludwigsfelde (ab 09:38),Berlin Hbf (tief)
10:46 (+2),RB 18511,Nauen (ab 10:08),Berlin Hbf (tief)
10:48,RB 18610,Berlin Südkreuz (ab 10:41),Berlin Hbf (tief)
10:52 (+1),RE 3151,Falkenberg(Elster) (ab 09:14),Berlin Hbf (tief)
10:55 (+27),EC 379,Kiel Hbf (ab 07:26),Berlin Hbf (tief)
10:55 (+67),ICE 774,Stuttgart Hbf (ab 05:01),Berlin Hbf (tief)
10:59 (+1),EC 178,Praha hl.n. (ab 06:25),Berlin Hbf (tief)
10:59 (+2),RE 3150,Frankfurt(Oder) (ab 00:24),Berlin Hbf (tief)
10:59,RE 62162,Rathenow (ab 10:03),Berlin Hbf (tief)
11:02,FEX19824,Wünsdorf-Waldstadt (ab 09:49),Berlin Hbf (tief)
11:06 (+1),RB 18611,Nauen (ab 10:18),Berlin Hbf (tief)
11:10 (+1),RB 18512,Berlin Südkreuz (ab 11:03),Berlin Hbf (tief)
11:12,RE 62063,Baruth(Mark) (ab 10:08),Berlin Hbf (tief)
11:22 (+2),ICE 705,Hamburg-Altona (ab 09:19),Berlin Hbf (tief)
11:26 (+7),RE 3307,Stralsund Hbf (ab 08:15),Berlin Hbf (tief)
11:26 (+1),RE 3346,Luckenwalde (ab 10:39),Berlin Hbf (tief)
11:26,RE 90207,Stralsund Hbf (ab 08:15),Berlin Hbf (tief)
11:26,RE 99676,Luckenwalde (ab 10:39),Berlin Hbf (tief)
11:31 (+1),ICE 602,München Hbf (ab 06:56),Berlin Hbf (tief)
11:32 (+2),IC 2270,Chemnitz Hbf (ab 08:26),Berlin Hbf (tief)
11:32 (+1),RE 52270,Elsterwerda (ab 10:04),Berlin Hbf (tief)
11:33,FEX19826,Ludwigsfelde (ab 10:32),Berlin Hbf (tief)
11:45 (+2),RB 18513,Nauen (ab 11:07),Berlin Hbf (tief)
11:46 (+1),RB 18612,Berlin Südkreuz (ab 11:40),Berlin Hbf (tief)
11:51 (+1),RE 3173,Brandenburg Hbf (ab 08:20),Berlin Hbf (tief)
11:53 (+41),ICE 1006,München Hbf (ab 07:55),Berlin Hbf (tief)
11:55 (+16),ICE 1005,Hamburg-Altona (ab 09:48),Berlin Hbf (tief)
11:59 (+1),RE 3170,Frankfurt(Oder) (ab 09:26),Berlin Hbf (tief)
12:03,FEX19828,Wünsdorf-Waldstadt (ab 10:49),Berlin Hbf (tief)
12:03 (+5),ICE 1630,Rostock Hbf (ab 09:52),Berlin Hbf (tief)
12:06,RB 18613,Nauen (ab 11:18),Berlin Hbf (tief)
12:10 (+1),RB 18514,Berlin Südkreuz (ab 12:03),Berlin Hbf (tief)
12:11,RE 62065,Elsterwerda (ab 10:12),Berlin Hbf (tief)
12:17 Ausfall,ICE 1046,Stralsund Hbf (ab 09:15),Berlin Hbf (tief)
12:17 Ausfall,RE 51046,Prenzlau (ab 10:55),Berlin Hbf (tief)
12:17,RE 51050,Prenzlau (ab 10:55),Berlin Hbf (tief)
12:20 (+3),ICE 509,Hamburg-Altona (ab 10:17),Berlin Hbf (tief)
12:22 (+1),ICE 802,München Hbf (ab 07:57),Berlin Hbf (tief)
12:28 (+1),RE 3347,Schwedt(Oder) (ab 11:06),Berlin Hbf (tief)
12:30 (+2),RE 3310,Lutherstadt Wittenberg Hbf (ab 10:59),Berlin Hbf (tief)
12:32 (+4),ICE 474,Basel Bad Bf (ab 05:08),Berlin Hbf (tief)
12:33,FEX19830,Ludwigsfelde (ab 11:38),Berlin Hbf (tief)
12:37,FLX 1233,Köln Hbf (ab 06:45),Berlin Hbf (tief)
12:46,RB 18515,Nauen (ab 12:08),Berlin Hbf (tief)
12:48,RB 18614,Berlin Südkreuz (ab 12:41),Berlin Hbf (tief)
12:52 (+2),RE 3153,Falkenberg(Elster) (ab 11:14),Berlin Hbf (tief)
12:55,ec 175,Flensburg (ab 08:33),Berlin Hbf (tief)
12:55 (+2),EC 175,Flensburg (ab 08:33),Berlin Hbf (tief)
12:55 (+4),ICE 772,Stuttgart Hbf (ab 07:25),Berlin Hbf (tief)
12:59 (+13),EC 176,Praha hl.n. (ab 08:25),Berlin Hbf (tief)
12:59 (+5),RE 3152,Rathenow (ab 12:03),Berlin Hbf (tief)
12:59,RE 62166,Rathenow (ab 12:03),Berlin Hbf (tief)
13:03,FEX19832,Wünsdorf-Waldstadt (ab 11:49),Berlin Hbf (tief)
13:06,RB 18615,Nauen (ab 12:18),Berlin Hbf (tief)
13:10 (+1),RB 18516,Berlin Südkreuz (ab 13:03),Berlin Hbf (tief)
13:12,RE 62067,Baruth(Mark) (ab 12:08),Berlin Hbf (tief)
13:16 (+3),FLX 1240,Stuttgart Hbf (ab 07:17),Berlin Hbf (tief)
13:22 (+4),ICE 707,Hamburg-Altona (ab 11:18),Berlin Hbf (tief)
13:26 (+1),RE 3348,Luckenwalde (ab 12:39),Berlin Hbf (tief)
13:28 (+1),RE 3309,Stralsund Hbf (ab 10:17),Berlin Hbf (tief)
13:29 (+28),ICE 1600,München Hbf (ab 08:55),Berlin Hbf (tief)
13:29 (+27),ICE 1710,München Hbf (ab 08:55),Berlin Hbf (tief)
13:33,FEX19834,Ludwigsfelde (ab 12:32),Berlin Hbf (tief)
13:33 (+4),IC 2178,Dresden Hbf (ab 11:19),Berlin Hbf (tief)
13:33 (+3),RE 52178,Elsterwerda (ab 11:56),Berlin Hbf (tief)
13:38 (+1),ICE 758,Stralsund Hbf (ab 10:55),Berlin Hbf (tief)
13:38 (+1),RE 50758,Prenzlau (ab 12:23),Berlin Hbf (tief)
13:45 (+2),RB 18517,Nauen (ab 13:08),Berlin Hbf (tief)
13:45 (+1),RB 18616,Berlin Südkreuz (ab 13:39),Berlin Hbf (tief)
13:51 Ausfall,RE 3175,Brandenburg Hbf (ab 09:20),Berlin Hbf (tief)
13:53 (+1),ICE 1706,München Hbf (ab 09:21),Berlin Hbf (tief)
13:55,ICE 1707,Hamburg-Altona (ab 11:49),Berlin Hbf (tief)
13:59 (+1),RE 3172,Frankfurt(Oder) (ab 10:26),Berlin Hbf (tief)
14:03,FEX19836,Wünsdorf-Waldstadt (ab 12:49),Berlin Hbf (tief)
14:06,RB 18617,Nauen (ab 13:18),Berlin Hbf (tief)
14:09,RE 62069,Elsterwerda (ab 12:12),Berlin Hbf (tief)
14:10 (+1),RB 18518,Berlin Südkreuz (ab 14:03),Berlin Hbf (tief)
14:16,ICE 1711,Stralsund Hbf (ab 11:15),Berlin Hbf (tief)
14:16,RE 51711,Prenzlau (ab 12:55),Berlin Hbf (tief)
