Ankunft,Zugnr.,von (Abfahrt),Ankunftsbhf.
06:38,RE 62002,Bad Wilsnack (ab 05:13),Berlin Hbf
06:39,RE 73761,Frankfurt(Oder) (ab 05:26),Berlin Hbf
06:41 (+1),ICE 573,Kiel Hbf (ab 06:13),Berlin Hbf
06:42 (+6),ICE 644,Berlin Ostbahnhof (ab 06:44),Berlin Hbf
06:44,RE 3706,Dessau Hbf (ab 05:05),Berlin Hbf
06:45,RB 18503,Nauen (ab 06:08),Berlin Hbf
06:48,RB 18142,Flughafen BER (ab 06:13),Berlin Hbf
06:52 (+3),RE 3147,Falkenberg(Elster) (ab 05:14),Berlin Hbf
06:57,RE 73716,Magdeburg Hbf (ab 05:12),Berlin Hbf
06:59,RE 73721,Frankfurt(Oder) (ab 05:55),Berlin Hbf
06:59,RE 90417,Frankfurt(Oder) (ab 05:55),Berlin Hbf
07:02,RE 3146,Rathenow (ab 06:06),Berlin Hbf
07:02,RE 62154,Rathenow (ab 06:06),Berlin Hbf
07:03,FEX19808,Flughafen BER (ab 06:28),Berlin Hbf
07:08,RB 18145,Berlin-Charlottenburg (ab 07:00),Berlin Hbf
07:08,RB 18504,Berlin Südkreuz (ab 07:01),Berlin Hbf
07:12,RE 18541,Brandenburg Hbf (ab 06:19),Berlin Hbf
07:12,RE 3711,Senftenberg (ab 05:10),Berlin Hbf
07:12,RE 62055,Baruth(Mark) (ab 06:07),Berlin Hbf
07:12,RE 73758,Brandenburg Hbf (ab 06:19),Berlin Hbf
07:18,RE 62007,Flughafen BER (ab 06:44),Berlin Hbf
07:19 (+1),ICE 791,Berlin Südkreuz (ab 07:14),Berlin Hbf
07:21,RE 3106,Nauen (ab 06:37),Berlin Hbf
07:22,DPN,Berlin Alexanderplatz (ab 07:16),Berlin Hbf
07:28,IC 2432,Cottbus Hbf (ab 05:00),Berlin Hbf
07:28 (+2),RE 3342,Jüterbog (ab 06:33),Berlin Hbf
07:28,RE 62432,Cottbus Hbf (ab 05:00),Berlin Hbf
07:28,RE56,Cottbus Hbf (ab 05:00),Berlin Hbf
07:29 (+24),ICE 1606,Leipzig Hbf (ab 06:17),Berlin Hbf
07:30 (+3),RE 3303,Stralsund Hbf (ab 04:16),Berlin Hbf
07:32 (+1),IC 2274,Dresden Hbf (ab 05:30),Berlin Hbf
07:32 (+1),RE 52274,Elsterwerda (ab 06:04),Berlin Hbf
07:32,RE17,Elsterwerda (ab 06:04),Berlin Hbf
07:33,FEX19810,Ludwigsfelde (ab 06:39),Berlin Hbf
07:35,RE 3107,Cottbus Hbf (ab 06:08),Berlin Hbf
07:35,RE 91846,Berlin Ostbahnhof (ab 07:25),Berlin Hbf
07:38,RE 62004,Schwerin Hbf (ab 05:00),Berlin Hbf
07:39,RE 73763,Frankfurt(Oder) (ab 06:26),Berlin Hbf
07:44,RE 3708,Bad Belzig (ab 06:41),Berlin Hbf
07:45,RB 18505,Nauen (ab 07:08),Berlin Hbf
07:48,RB 18144,Flughafen BER (ab 07:13),Berlin Hbf
07:53 (+4),RE 3169,Jüterbog (ab 07:03),Berlin Hbf
07:53,RE 62157,Jüterbog (ab 07:03),Berlin Hbf
07:55 (+23),ICE 698,München Hbf (ab 20:47),Berlin Hbf
07:57,RE 73718,Magdeburg Hbf (ab 06:12),Berlin Hbf
07:59,RE 73723,Frankfurt(Oder) (ab 06:55),Berlin Hbf
08:01 (+18),FLX 1360,Leipzig Hbf (ab 06:41),Berlin Hbf
08:01 (+1),RE 3166,Rathenow (ab 07:06),Berlin Hbf
08:03,FEX19812,Flughafen BER (ab 07:28),Berlin Hbf
08:03 (+4),IC 148,Berlin Ostbahnhof (ab 07:53),Berlin Hbf
08:08,RB 18147,Berlin-Charlottenburg (ab 08:00),Berlin Hbf
08:09,RB 18506,Berlin Südkreuz (ab 08:02),Berlin Hbf
08:11,RE 62057,Elsterwerda (ab 06:13),Berlin Hbf
08:12,RE 3713,Berlin Ostbahnhof (ab 08:02),Berlin Hbf
08:12,RE 73760,Magdeburg Hbf (ab 06:12),Berlin Hbf
08:12,RE1,Pfaffenhofen(Ilm) (ab 00:05),Berlin Hbf
08:15 (+4),EN 40476,Budapest-Nyugati (ab 19:30),Berlin Hbf
08:15,NJ 27N,Pardubice hl.n. (ab 02:00),Berlin Hbf
08:15 (+5),NJ 456,Graz Hbf (ab 19:20),Berlin Hbf
08:17 (+18),ICE 505,Hamburg-Altona (ab 05:34),Berlin Hbf
08:18,RE 62009,Flughafen BER (ab 07:44),Berlin Hbf
08:19 (+4),FLX 1230,Dresden Hbf (ab 06:22),Berlin Hbf
08:21,RE 3108,Nauen (ab 07:37),Berlin Hbf
08:24 (+2),IC 2173,Rostock Hbf (ab 06:21),Berlin Hbf
08:25,ICE 841,Hannover Hbf (ab 06:31),Berlin Hbf
08:26 (+2),ICE 575,Berlin Ostbahnhof (ab 08:17),Berlin Hbf
08:28 (+1),RE 3343,Schwedt(Oder) (ab 07:06),Berlin Hbf
08:29 (+21),IC 2231,Magdeburg Hbf (ab 07:03),Berlin Hbf
08:32 (+20),RE 3306,Halle(Saale)Hbf (ab 05:51),Berlin Hbf
08:33,FEX19814,Ludwigsfelde (ab 07:40),Berlin Hbf
08:33 (+25),ICE 806,Eisenach (ab 05:47),Berlin Hbf
08:35,RE 3109,Cottbus Hbf (ab 07:03),Berlin Hbf
08:35,RE 95034,Berlin Ostbahnhof (ab 08:25),Berlin Hbf
08:38,RE 62006,Wismar (ab 05:22),Berlin Hbf
08:39,RE 73765,Frankfurt(Oder) (ab 07:26),Berlin Hbf
08:44 (+1),RE 3710,Dessau Hbf (ab 07:05),Berlin Hbf
08:45 (+1),ICE 870,Dresden Hbf (ab 07:00),Berlin Hbf
08:45,RB 18507,Nauen (ab 08:08),Berlin Hbf
08:47,RB 18146,Flughafen BER (ab 08:13),Berlin Hbf
08:48 (+1),RB 18606,Berlin Südkreuz (ab 08:42),Berlin Hbf
08:53 (+8),RE 3149,Falkenberg(Elster) (ab 07:11),Berlin Hbf
08:54 (+6),ICE 642,Berlin Ostbahnhof (ab 08:32),Berlin Hbf
08:54 (+6),ICE 652,Berlin Ostbahnhof (ab 08:44),Berlin Hbf
08:57 (+26),ICE 1636,Eisenach (ab 06:38),Berlin Hbf
08:57 (+25),RE 51636,Berlin Südkreuz (ab 08:52),Berlin Hbf
08:59,RE 73720,Magdeburg Hbf (ab 07:12),Berlin Hbf
08:59,RE 73725,Frankfurt(Oder) (ab 07:55),Berlin Hbf
08:59,RE 94125,Frankfurt(Oder) (ab 07:55),Berlin Hbf
09:02 (+1),RE 3148,Stendal Hbf (ab 07:43),Berlin Hbf
09:03,FEX19816,Flughafen BER (ab 08:28),Berlin Hbf
09:03 (+6),ICE 1050,Berlin Ostbahnhof (ab 08:54),Berlin Hbf
09:08,RB 18149,Berlin-Charlottenburg (ab 09:00),Berlin Hbf
09:09 (+4),RB 18508,Berlin Südkreuz (ab 09:02),Berlin Hbf
09:10 (+1),RB 18607,Nauen (ab 08:31),Berlin Hbf
09:12 (+1),RE 3715,Senftenberg (ab 07:14),Berlin Hbf
09:12,RE 62059,Baruth(Mark) (ab 08:08),Berlin Hbf
09:12,RE 73762,Brandenburg Hbf (ab 08:19),Berlin Hbf
09:16 (+8),ICE 541,Köln Hbf (ab 03:25),Berlin Hbf
09:18,RE 62011,Flughafen BER (ab 08:44),Berlin Hbf
09:21 (+3),ICE 793,Berlin Südkreuz (ab 09:16),Berlin Hbf
09:21,RE 3110,Nauen (ab 08:37),Berlin Hbf
09:22 (+17),ICE 703,Hamburg-Altona (ab 06:35),Berlin Hbf
09:27 (+4),RE 3344,Jüterbog (ab 08:33),Berlin Hbf
09:28 (+2),RE 3305,Stralsund Hbf (ab 06:16),Berlin Hbf
09:29 (+33),ICE 1604,Nürnberg Hbf (ab 05:42),Berlin Hbf
09:29 (+22),ICE 2926,Kassel-Wilhelmshöhe (ab 06:43),Berlin Hbf
09:29 Ausfall,ICE 876,Kassel-Wilhelmshöhe (ab 06:43),Berlin Hbf
09:32 (+6),IC 2272,Chemnitz Hbf (ab 06:26),Berlin Hbf
09:32 (+4),RE 52272,Elsterwerda (ab 08:04),Berlin Hbf
09:33,FEX19818,Ludwigsfelde (ab 08:32),Berlin Hbf
09:35 (+39),ICE 1008,München Hbf (ab 05:34),Berlin Hbf
09:35,RE 3111,Cottbus Hbf (ab 08:04),Berlin Hbf
09:36 (+14),IC 60479,Zürich HB (ab 19:11),Berlin Hbf
09:36,NJ 12N,Ludwigsburg (ab 00:47),Berlin Hbf
09:36 (+14),NJ 479,Ludwigsburg (ab 00:47),Berlin Hbf
09:38,RE 62008,Bad Wilsnack (ab 08:13),Berlin Hbf
09:39,RE 73767,Frankfurt(Oder) (ab 08:26),Berlin Hbf
09:44,RE 3712,Bad Belzig (ab 08:41),Berlin Hbf
09:44,RE 95139,Bad Belzig (ab 08:41),Berlin Hbf
09:45,RB 18509,Nauen (ab 09:08),Berlin Hbf
09:48 (+4),RB 18148,Flughafen BER (ab 09:13),Berlin Hbf
09:48 (+5),RB 18608,Berlin Südkreuz (ab 09:41),Berlin Hbf
09:49 (+2),FLX 1361,Hamburg Hbf (ab 07:18),Berlin Hbf
09:51 (+5),ICE 741,Münster(Westf)Hbf (ab 06:17),Berlin Hbf
09:52 (+4),RE 3171,Jüterbog (ab 09:03),Berlin Hbf
09:56,RE 73722,Magdeburg Hbf (ab 08:12),Berlin Hbf
09:58,RE 33598,Berlin Südkreuz (ab 09:51),Berlin Hbf
09:58,RE 3532,Berlin Südkreuz (ab 09:51),Berlin Hbf
09:59,RE 73727,Frankfurt(Oder) (ab 08:55),Berlin Hbf
09:59,RE 91727,Frankfurt(Oder) (ab 08:55),Berlin Hbf
10:01 (+3),RE 3168,Rathenow (ab 09:07),Berlin Hbf
10:03,FEX19820,Flughafen BER (ab 09:28),Berlin Hbf
10:03,RE 18768,Berlin-Charlottenburg (ab 09:55),Berlin Hbf
10:06 (+30),EC 248,Warszawa Wschodnia (ab 04:34),Berlin Hbf
10:08,RB 18151,Berlin-Charlottenburg (ab 10:00),Berlin Hbf
10:08 (+1),RB 18609,Nauen (ab 09:30),Berlin Hbf
10:09 (+1),RB 18510,Berlin Südkreuz (ab 10:02),Berlin Hbf
10:09,RE 62061,Elsterwerda (ab 08:13),Berlin Hbf
10:12,RE 3717,Senftenberg (ab 08:14),Berlin Hbf
10:12,RE 73764,Brandenburg Hbf (ab 09:19),Berlin Hbf
10:16 (+6),ICE 843,Köln Hbf (ab 04:33),Berlin Hbf
10:16 (+6),ICE 853,Köln Hbf (ab 04:44),Berlin Hbf
10:18,RE 62013,Flughafen BER (ab 09:44),Berlin Hbf
10:20 (+7),ICE 507,Hamburg-Altona (ab 07:19),Berlin Hbf
10:21,RE 3112,Nauen (ab 09:37),Berlin Hbf
10:22 (+19),ICE 804,Nürnberg Hbf (ab 07:05),Berlin Hbf
10:25 (+14),IC 2175,Warnemünde (ab 07:56),Berlin Hbf
10:28 (+1),RE 3345,Schwedt(Oder) (ab 09:06),Berlin Hbf
10:30,RE 3747,Berlin Ostkreuz (ab 10:14),Berlin Hbf
10:31 (+1),RE 3308,Lutherstadt Wittenberg Hbf (ab 09:00),Berlin Hbf
10:32 (+29),ICE 676,Frankfurt(Main)Hbf (ab 06:14),Berlin Hbf
10:32 (+8),ICE 996,Kassel-Wilhelmshöhe (ab 07:47),Berlin Hbf
10:33,FEX19822,Ludwigsfelde (ab 09:39),Berlin Hbf
10:35,RE 3113,Cottbus Hbf (ab 09:04),Berlin Hbf
10:35,RE 95041,Berlin Ostbahnhof (ab 10:25),Berlin Hbf
10:38,RE 62010,Wismar (ab 07:33),Berlin Hbf
10:39,RE 73769,Frankfurt(Oder) (ab 09:26),Berlin Hbf
10:42 Ausfall,EC 178,Praha hl.n. (ab 06:28),Berlin Hbf
10:44,RE 3714,Dessau Hbf (ab 09:05),Berlin Hbf
10:45,RB 18511,Nauen (ab 10:08),Berlin Hbf
10:48,RB 18150,Flughafen BER (ab 10:13),Berlin Hbf
10:48,RB 18610,Berlin Südkreuz (ab 10:41),Berlin Hbf
10:52 (+9),RE 3151,Falkenberg(Elster) (ab 09:14),Berlin Hbf
10:53 (+5),ICE 640,Berlin Ostbahnhof (ab 10:33),Berlin Hbf
10:53 (+5),ICE 650,Berlin Ostbahnhof (ab 10:44),Berlin Hbf
10:57 (+18),ICE 1114,München Hbf (ab 06:52),Berlin Hbf
10:57,RE 73724,Magdeburg Hbf (ab 09:12),Berlin Hbf
10:59,RE 73729,Frankfurt(Oder) (ab 09:55),Berlin Hbf
11:01 (+2),ICE 543,Köln Hbf (ab 05:15),Berlin Hbf
11:01 (+2),ICE 553,Koblenz Hbf (ab 04:51),Berlin Hbf
11:02 (+2),RE 3150,Stendal Hbf (ab 09:40),Berlin Hbf
11:03,FEX19824,Flughafen BER (ab 10:28),Berlin Hbf
11:06 (+7),EC 54,Krakow Glowny (ab 04:13),Berlin Hbf
11:08 (+1),RB 18153,Berlin-Charlottenburg (ab 11:00),Berlin Hbf
11:09 (+1),RB 18611,Nauen (ab 10:31),Berlin Hbf
11:10 (+1),RB 18512,Berlin Südkreuz (ab 11:01),Berlin Hbf
11:11,RE 62063,Baruth(Mark) (ab 10:07),Berlin Hbf
11:12 (+5),RE 3719,Senftenberg (ab 09:14),Berlin Hbf
11:12,RE 73766,Brandenburg Hbf (ab 10:19),Berlin Hbf
11:17,FLX 1249,Mainz Hbf (ab 05:54),Berlin Hbf
11:18,RE 62015,Flughafen BER (ab 10:44),Berlin Hbf
11:21 (+3),ICE 705,Kiel Hbf (ab 07:42),Berlin Hbf
11:21 (+8),RE 3114,Nauen (ab 10:37),Berlin Hbf
11:25 (+5),RE 3346,Jüterbog (ab 10:33),Berlin Hbf
11:26 (+13),RE 3307,Stralsund Hbf (ab 08:16),Berlin Hbf
11:26,RE 90207,Stralsund Hbf (ab 08:16),Berlin Hbf
11:29 (+10),ICE 774,Stuttgart Hbf (ab 05:02),Berlin Hbf
11:30 (+14),ICE 602,München Hbf (ab 06:57),Berlin Hbf
11:32 (+10),FLX 1231,Köln Hbf (ab 06:13),Berlin Hbf
11:32 (+2),IC 2170,Chemnitz Hbf (ab 08:58),Berlin Hbf
11:33,FEX19882,Ludwigsfelde (ab 10:32),Berlin Hbf
11:35,RE 3115,Cottbus Hbf (ab 10:04),Berlin Hbf
11:35,RE 95047,Berlin Ostbahnhof (ab 11:25),Berlin Hbf
