Abfahrt,Zugnr.,nach (Ankunft),Abfahrtsbhf.
09:31 (+1),RE 3344,Schwedt(Oder) (an 10:56),Berlin Hbf (tief)
09:31,RE 99672,Angermünde (an 10:29),Berlin Hbf (tief)
09:34 (+1),ICE 703,München Hbf (an 14:02),Berlin Hbf (tief)
09:36 (+18),IC 2272,Rostock Hbf (an 12:01),Berlin Hbf (tief)
09:36 (+2),ICE 708,Leipzig Hbf (an 23:58),Berlin Hbf (tief)
09:38,ICE 1604,Hamburg-Altona (an 11:39),Berlin Hbf (tief)
09:38,ICE 1704,Hamburg-Altona (an 11:39),Berlin Hbf (tief)
09:42 (+1),ICE 1714,Stralsund Hbf (an 12:33),Berlin Hbf (tief)
09:42,RE 51714,Prenzlau (an 11:02),Berlin Hbf (tief)
09:43,RE 62062,Elsterwerda (an 11:39),Berlin Hbf (tief)
09:48 (+8),RB 18509,Berlin Südkreuz (an 09:56),Berlin Hbf (tief)
09:48,RB 18608,Nauen (an 10:33),Berlin Hbf (tief)
09:53,FEX19829,Flughafen BER - Terminal 1-2 (an 10:27),Berlin Hbf (tief)
09:53,FLX93674,Berlin Ostbahnhof (an 10:03),Berlin Hbf (tief)
09:56 (+4),RE 3171,Rathenow (an 10:53),Berlin Hbf (tief)
10:01 (+2),RE 3168,Jüterbog (an 10:56),Berlin Hbf (tief)
10:04 (+5),ICE 1093,München Hbf (an 15:18),Berlin Hbf (tief)
10:04 (+5),ICE 93,Wien Hbf (an 17:47),Berlin Hbf (tief)
10:05 Ausfall,ICE 1008,Hamburg-Altona (an 12:03),Berlin Hbf (tief)
10:05 (+1),ICE 2928,Dortmund Hbf (an 16:06),Berlin Hbf (tief)
10:08 (+3),RB 18609,Berlin Südkreuz (an 10:15),Berlin Hbf (tief)
10:12 (+3),RB 18510,Nauen (an 10:50),Berlin Hbf (tief)
10:26 (+1),IC 2175,Dresden Hbf (an 12:40),Berlin Hbf (tief)
10:26,RE 52175,Elsterwerda (an 11:59),Berlin Hbf (tief)
10:29 (+1),ICE 507,München Hbf (an 15:03),Berlin Hbf (tief)
10:32 (+1),RE 3345,Zahna (an 11:40),Berlin Hbf (tief)
10:33 (+1),RE 3308,Stralsund Hbf (an 13:43),Berlin Hbf (tief)
10:38 (+1),ICE 804,Kiel Hbf (an 13:43),Berlin Hbf (tief)
10:44,RE 62064,Baruth(Mark) (an 11:50),Berlin Hbf (tief)
10:48,RB 18511,Berlin Südkreuz (an 10:56),Berlin Hbf (tief)
10:50,RB 18610,Nauen (an 11:33),Berlin Hbf (tief)
10:56 (+1),RE 3151,Rathenow (an 11:55),Berlin Hbf (tief)
10:57,FEX19833,Flughafen BER - Terminal 1-2 (an 11:27),Berlin Hbf (tief)
10:57,RB 18359,Wünsdorf-Waldstadt (an 12:12),Berlin Hbf (tief)
11:01 (+2),EC 379,Praha hl.n. (an 15:35),Berlin Hbf (tief)
11:01 (+1),RE 3150,Falkenberg(Elster) (an 12:35),Berlin Hbf (tief)
11:01,RE 62162,Berlin Südkreuz (an 11:11),Berlin Hbf (tief)
11:05,ICE 2807,Stuttgart Hbf (an 16:38),Berlin Hbf (tief)
11:05 (+2),ICE 577,Stuttgart Hbf (an 16:38),Berlin Hbf (tief)
11:06 (+1),ICE 774,Hamburg-Altona (an 13:24),Berlin Hbf (tief)
11:08,RB 18611,Berlin Südkreuz (an 11:15),Berlin Hbf (tief)
11:12,RB 18512,Nauen (an 11:50),Berlin Hbf (tief)
11:26 (+1),ICE 77,Zürich HB (an 20:00),Berlin Hbf (tief)
11:33 (+1),RE 3307,Luckenwalde (an 12:18),Berlin Hbf (tief)
11:33 (+1),RE 3346,Schwedt(Oder) (an 12:56),Berlin Hbf (tief)
11:33,RE 90207,Berlin Südkreuz (an 11:42),Berlin Hbf (tief)
11:33,RE 99676,Angermünde (an 12:29),Berlin Hbf (tief)
11:34 (+3),ICE 705,München Hbf (an 16:13),Berlin Hbf (tief)
11:38 (+1),ICE 602,Hamburg-Altona (an 13:40),Berlin Hbf (tief)
11:42,RE 62066,Elsterwerda (an 13:39),Berlin Hbf (tief)
11:44 (+3),ICE 1043,Ostseebad Binz (an 15:58),Berlin Hbf (tief)
11:44,RE 51043,Prenzlau (an 13:03),Berlin Hbf (tief)
11:48 (+1),RB 18513,Berlin Südkreuz (an 11:55),Berlin Hbf (tief)
11:48 (+1),RB 18612,Nauen (an 12:32),Berlin Hbf (tief)
11:51,FEX19837,Flughafen BER - Terminal 1-2 (an 12:31),Berlin Hbf (tief)
11:51,RB 18361,Wünsdorf-Waldstadt (an 13:12),Berlin Hbf (tief)
11:56 (+3),RE 3173,Rathenow (an 12:53),Berlin Hbf (tief)
12:01 (+1),RE 3170,Jüterbog (an 12:56),Berlin Hbf (tief)
12:04 (+1),ICE 1005,München Hbf (an 16:01),Berlin Hbf (tief)
12:05 (+1),ICE 1006,Hamburg-Altona (an 14:05),Berlin Hbf (tief)
12:08,RB 18613,Berlin Südkreuz (an 12:15),Berlin Hbf (tief)
12:12 (+1),RB 18514,Nauen (an 12:50),Berlin Hbf (tief)
12:26,IC 2177,Dresden Hbf (an 14:34),Berlin Hbf (tief)
12:26,RE 52177,Elsterwerda (an 13:59),Berlin Hbf (tief)
12:29 (+4),ICE 509,München Hbf (an 17:01),Berlin Hbf (tief)
12:32 (+4),RE 3347,Zahna (an 13:40),Berlin Hbf (tief)
12:33 (+1),RE 3310,Stralsund Hbf (an 15:43),Berlin Hbf (tief)
12:38 (+1),ICE 802,Hamburg-Altona (an 14:38),Berlin Hbf (tief)
12:44,RE 62068,Baruth(Mark) (an 13:50),Berlin Hbf (tief)
12:48,RB 18515,Berlin Südkreuz (an 12:56),Berlin Hbf (tief)
12:50,RB 18614,Nauen (an 13:33),Berlin Hbf (tief)
12:51,FEX19841,Flughafen BER - Terminal 1-2 (an 13:27),Berlin Hbf (tief)
12:51,RB 18363,Wünsdorf-Waldstadt (an 14:12),Berlin Hbf (tief)
12:56 (+1),RE 3153,Rathenow (an 13:56),Berlin Hbf (tief)
13:01 (+2),EC 175,Praha hl.n. (an 17:35),Berlin Hbf (tief)
13:01 (+1),RE 3152,Falkenberg(Elster) (an 14:35),Berlin Hbf (tief)
13:01,RE 62166,Berlin Südkreuz (an 13:11),Berlin Hbf (tief)
13:03 (+3),EC 176,Hamburg-Altona (an 15:26),Berlin Hbf (tief)
13:04 (+5),ICE 579,Stuttgart Hbf (an 18:38),Berlin Hbf (tief)
13:06 (+3),ICE 1050,Köln Hbf (an 19:24),Berlin Hbf (tief)
13:08,RB 18615,Berlin Südkreuz (an 13:15),Berlin Hbf (tief)
13:12 (+1),RB 18516,Nauen (an 13:50),Berlin Hbf (tief)
13:26 (+1),ICE 79,Zürich HB (an 22:00),Berlin Hbf (tief)
13:27 (+8),FLX 1240,Berlin Gesundbrunnen (an 13:31),Berlin Hbf (tief)
13:31 (+1),RE 3309,Luckenwalde (an 14:18),Berlin Hbf (tief)
13:31 (+1),RE 3348,Schwedt(Oder) (an 14:56),Berlin Hbf (tief)
13:34 (+1),ICE 707,München Hbf (an 18:03),Berlin Hbf (tief)
