Ankunft,Zugnr.,von (Abfahrt),Gleis
18:00 (+8),RE 3728,Dessau Hbf (ab 16:05),1
18:01,RB 61126,Templin Stadt (ab 16:33),8
18:05,RE 73784,Frankfurt(Oder) (ab 17:08),2
18:14,RE 73737,Magdeburg Hbf (ab 16:12),1
18:18,RE 3129,Cottbus Hbf (ab 17:03),2
18:20,RB 18329,Eberswalde Hbf (ab 17:35),13
18:39,RB 18328,Blankenfelde(Teltow-Fläming) (ab 18:09),14
18:40,RE 3128,Hennigsdorf(b Berlin) (ab 17:35),1
18:42,RE 73744,Frankfurt(Oder) (ab 17:38),2
18:52,RE 73779,Brandenburg Hbf (ab 17:45),1
18:56 (+2),RE 3735,Senftenberg (ab 17:14),2
19:00 (+5),RE 3730,Dessau Hbf (ab 17:05),1
19:01,RB 61128,Templin Stadt (ab 17:33),8
19:04 (+6),IC 2431,Emden Außenhafen (ab 12:01),1
19:05,RE 73786,Frankfurt(Oder) (ab 18:08),2
19:14 (+7),RE 73739,Magdeburg Hbf (ab 17:12),1
19:16,RB 18228,Ludwigsfelde (ab 18:38),14
19:18,RE 3131,Cottbus Hbf (ab 18:03),2
19:39,RB 18330,Blankenfelde(Teltow-Fläming) (ab 19:09),14
19:40,RE 3130,Hennigsdorf(b Berlin) (ab 18:35),1
19:42,RE 73746,Frankfurt(Oder) (ab 18:38),2
19:51,RE 73781,Brandenburg Hbf (ab 18:44),1
19:56,RE 3737,Senftenberg (ab 18:14),2
20:00,RE 3732,Dessau Hbf (ab 18:05),1
20:01,RB 61130,Templin Stadt (ab 18:33),7
20:05,RE 73788,Frankfurt(Oder) (ab 19:08),2
20:14,RE 73741,Magdeburg Hbf (ab 18:12),1
20:18,RE 3133,Cottbus Hbf (ab 19:03),2
20:20,RB 18333,Eberswalde Hbf (ab 19:35),13
20:29,RE 73823,Berlin Zoologischer Garten (ab 20:08),1
20:39,RB 18332,Blankenfelde(Teltow-Fläming) (ab 20:09),14
20:40,RE 3132,Hennigsdorf(b Berlin) (ab 19:35),1
20:42,RE 73748,Frankfurt(Oder) (ab 19:42),2
20:52,RE 73783,Brandenburg Hbf (ab 19:44),1
20:56,RE 3739,Senftenberg (ab 19:14),2
21:00,RE 3734,Dessau Hbf (ab 19:05),1
21:01,RB 61132,Templin Stadt (ab 19:33),8
21:14,RE 73743,Magdeburg Hbf (ab 19:12),1
21:18,RE 3135,Cottbus Hbf (ab 20:03),2
21:20,RB 18335,Eberswalde Hbf (ab 20:35),13
21:36,RE 73790,Frankfurt(Oder) (ab 20:32),2
21:39,RB 18334,Flughafen BER (ab 21:22),14
21:40,RE 3134,Hennigsdorf(b Berlin) (ab 20:35),1
21:51,RE 73785,Brandenburg Hbf (ab 20:44),1
21:59,RE 3741,Senftenberg (ab 20:14),2
22:00,RE 3736,Dessau Hbf (ab 20:05),1
22:01,RB 61134,Templin Stadt (ab 20:33),7
