Ankunft,Zugnr.,von (Abfahrt),Ankunftsbhf.
00:26 (+3),RE 62045,Berlin Friedrichstr (ab 00:14),Berlin-Charlottenburg
00:42,RE 3100,Nauen (ab 00:08),Berlin-Charlottenburg
00:43 (+9),FEX19878,Flughafen BER (ab 00:02),Berlin-Charlottenburg
00:58 (+11),RE 3141,Bestensee (ab 00:03),Berlin-Charlottenburg
01:35,RE 62042,Nauen (ab 01:03),Berlin-Charlottenburg
02:34,RE 62046,Nauen (ab 02:02),Berlin-Charlottenburg
03:33,RE 62044,Nauen (ab 03:02),Berlin-Charlottenburg
04:31,RE 62048,Nauen (ab 04:01),Berlin-Charlottenburg
05:48 (+3),RE 3601,Neuruppin West (ab 04:23),Berlin-Charlottenburg
05:58,RB 18140,Flughafen BER (ab 05:13),Berlin-Charlottenburg
06:10,RE 73719,Frankfurt(Oder) (ab 04:44),Berlin-Charlottenburg
06:12,RE 3104,Nauen (ab 05:37),Berlin-Charlottenburg
06:46,RE 3105,Cottbus Hbf (ab 05:01),Berlin-Charlottenburg
06:46,RE 3639,Dossow(Prign) (ab 04:56),Berlin-Charlottenburg
06:58 (+4),RB 18142,Flughafen BER (ab 06:13),Berlin-Charlottenburg
07:12,RE 3106,Nauen (ab 06:37),Berlin-Charlottenburg
07:46 (+1),RE 3107,Cottbus Hbf (ab 06:08),Berlin-Charlottenburg
07:46,RE 3603,Dossow(Prign) (ab 06:02),Berlin-Charlottenburg
07:49 (+2),RE 73718,Magdeburg Hbf (ab 06:12),Berlin-Charlottenburg
07:58,RB 18144,Flughafen BER (ab 07:13),Berlin-Charlottenburg
08:10,RE 73723,Frankfurt(Oder) (ab 06:55),Berlin-Charlottenburg
08:12,RE 3108,Nauen (ab 07:37),Berlin-Charlottenburg
08:45,RE 3623,Neuruppin West (ab 07:26),Berlin-Charlottenburg
08:46,RE 3109,Cottbus Hbf (ab 07:03),Berlin-Charlottenburg
08:57 (+3),RB 18146,Flughafen BER (ab 08:13),Berlin-Charlottenburg
09:12,RE 3110,Nauen (ab 08:37),Berlin-Charlottenburg
09:31,RE 62247,Berlin Ostkreuz (ab 09:08),Berlin-Charlottenburg
09:46 (+1),RE 3111,Cottbus Hbf (ab 08:04),Berlin-Charlottenburg
09:46 (+1),RE 3605,Dossow(Prign) (ab 08:00),Berlin-Charlottenburg
09:49 (+14),RE 73722,Magdeburg Hbf (ab 08:12),Berlin-Charlottenburg
