Abfahrt,Zugnr.,nach (Ankunft),Abfahrtsbhf.
08:20,RE 3109,Berlin-Spandau (an 08:54),Berlin Ostkreuz
08:26,RE 73765,Potsdam Hbf (an 09:05),Berlin Ostkreuz
08:32 (+1),IC 2173,Wien Franz-Josefs-Bahnhof (an 16:27),Berlin Ostkreuz
08:32,RE 52173,Elsterwerda (an 09:35),Berlin Ostkreuz
08:32,RE 73760,Frankfurt(Oder) (an 09:31),Berlin Ostkreuz
08:37,RE 18757,Berlin-Wannsee (an 09:13),Berlin Ostkreuz
08:37,RE 62060,Baruth(Mark) (an 09:53),Berlin Ostkreuz
08:39 (+31),RE 3108,Cottbus Hbf (an 09:55),Berlin Ostkreuz
08:45,RE 73725,Möser (an 10:34),Berlin Ostkreuz
08:45,RE 93725,Berlin Hbf (an 08:59),Berlin Ostkreuz
08:55,RB 18309,Schönefeld(bei Berlin) (an 09:11),Berlin Ostkreuz
08:57,RE 3715,Berlin-Wannsee (an 09:33),Berlin Ostkreuz
08:57,RE 62006,Flughafen BER (an 09:15),Berlin Ostkreuz
09:03 (+4),RE 3710,Senftenberg (an 10:41),Berlin Ostkreuz
09:03,RE 62011,Elstal (an 09:52),Berlin Ostkreuz
09:06,RB 61260,Müncheberg(Mark) (an 09:48),Berlin Ostkreuz
09:08,RB 18308,Eberswalde Hbf (an 09:54),Berlin Ostkreuz
09:14,RE 62059,Berlin-Lichtenberg (an 09:19),Berlin Ostkreuz
09:15,RE 73720,Fürstenwalde(Spree) (an 09:47),Berlin Ostkreuz
09:20,RE 3111,Hennigsdorf(b Berlin) (an 10:23),Berlin Ostkreuz
09:26,RE 73767,Brandenburg Hbf (an 10:38),Berlin Ostkreuz
09:31 (+3),IC 2272,Rostock Hbf (an 11:38),Berlin Ostkreuz
09:32,RE 73762,Frankfurt(Oder) (an 10:31),Berlin Ostkreuz
09:37,RE 18759,Bad Belzig (an 10:54),Berlin Ostkreuz
09:39 (+34),RE 3110,Cottbus Hbf (an 10:55),Berlin Ostkreuz
09:45,RE 73727,Möser (an 11:34),Berlin Ostkreuz
09:45,RE 93727,Brandenburg Hbf (an 10:53),Berlin Ostkreuz
09:48,RB 61121,Templin Stadt (an 11:18),Berlin Ostkreuz
