Ankunft,Zugnr.,von (Abfahrt),Ankunftsbhf.
00:25,RE 62045,Flughafen BER (ab 23:43),Berlin-Charlottenburg
00:38 (+3),RE 3745,Senftenberg (ab 22:26),Berlin-Charlottenburg
00:53,RE 73797,Frankfurt(Oder) (ab 23:24),Berlin-Charlottenburg
01:00,RE 3141,Cottbus Hbf (ab 22:54),Berlin-Charlottenburg
01:09,RE 73794,Magdeburg Hbf (ab 23:21),Berlin-Charlottenburg
02:35,RE 62046,Wustermark (ab 02:10),Berlin-Charlottenburg
03:22,RE 62043,Flughafen BER (ab 02:39),Berlin-Charlottenburg
04:20,RE 3705,Berlin Ostkreuz (ab 03:55),Berlin-Charlottenburg
04:35,RE 3702,Beelitz-Heilstätten (ab 04:01),Berlin-Charlottenburg
05:12,RE 3102,Hennigsdorf(b Berlin) (ab 04:33),Berlin-Charlottenburg
05:37,RE 3704,Beelitz-Heilstätten (ab 05:00),Berlin-Charlottenburg
05:42,RE 73714,Brandenburg Hbf (ab 05:05),Berlin-Charlottenburg
06:10,RE 73719,Eisenhüttenstadt (ab 04:26),Berlin-Charlottenburg
06:12,RE 3104,Hennigsdorf(b Berlin) (ab 05:34),Berlin-Charlottenburg
06:46,RE 3105,Cottbus Hbf (ab 04:50),Berlin-Charlottenburg
06:48,RE 73716,Magdeburg Hbf (ab 05:12),Berlin-Charlottenburg
07:02,RE 18753,Cottbus Hbf (ab 05:07),Berlin-Charlottenburg
07:10,RE 73721,Eisenhüttenstadt (ab 05:36),Berlin-Charlottenburg
07:12,RE 3106,Hennigsdorf(b Berlin) (ab 06:34),Berlin-Charlottenburg
07:23,RE 3711,Senftenberg (ab 05:11),Berlin-Charlottenburg
07:35,RE 3708,Beelitz-Heilstätten (ab 07:01),Berlin-Charlottenburg
07:46,RE 3107,Cottbus Hbf (ab 05:53),Berlin-Charlottenburg
07:48,RE 73718,Brandenburg Hbf (ab 07:05),Berlin-Charlottenburg
08:12,RE 3108,Hennigsdorf(b Berlin) (ab 07:34),Berlin-Charlottenburg
08:23,RE 3713,Senftenberg (ab 06:14),Berlin-Charlottenburg
08:26,RE 73806,Brandenburg Hbf (ab 07:45),Berlin-Charlottenburg
08:35 (+4),RE 3710,Beelitz-Heilstätten (ab 08:01),Berlin-Charlottenburg
08:46,RE 3109,Lübbenau(Spreewald) (ab 07:27),Berlin-Charlottenburg
08:50,RE 73720,Magdeburg Hbf (ab 07:12),Berlin-Charlottenburg
09:01,RE 18757,Lübbenau(Spreewald) (ab 07:46),Berlin-Charlottenburg
09:10,RE 73725,Eisenhüttenstadt (ab 07:36),Berlin-Charlottenburg
09:12 (+1),RE 3110,Hennigsdorf(b Berlin) (ab 08:35),Berlin-Charlottenburg
09:23 (+2),RE 3715,Senftenberg (ab 07:14),Berlin-Charlottenburg
09:46,RE 3111,Lübbenau(Spreewald) (ab 08:27),Berlin-Charlottenburg
09:47,RE 73722,Magdeburg Hbf (ab 08:12),Berlin-Charlottenburg
10:10,RE 73727,Eisenhüttenstadt (ab 08:36),Berlin-Charlottenburg
10:23 (+9),RE 3717,Senftenberg (ab 08:14),Berlin-Charlottenburg
10:35 (+6),RE 3714,Beelitz-Heilstätten (ab 10:01),Berlin-Charlottenburg
10:46,RE 3113,Lübbenau(Spreewald) (ab 09:27),Berlin-Charlottenburg
10:48,RE 73724,Magdeburg Hbf (ab 09:12),Berlin-Charlottenburg
11:10,RE 73729,Frankfurt(Oder) (ab 09:55),Berlin-Charlottenburg
11:12,RE 3114,Hennigsdorf(b Berlin) (ab 10:34),Berlin-Charlottenburg
11:23,RE 3719,Senftenberg (ab 09:14),Berlin-Charlottenburg
11:35,RE 3716,Beelitz-Heilstätten (ab 11:01),Berlin-Charlottenburg
11:48,RE 73726,Magdeburg Hbf (ab 10:12),Berlin-Charlottenburg
12:12,RE 3116,Hennigsdorf(b Berlin) (ab 11:34),Berlin-Charlottenburg
12:35,RE 3718,Beelitz-Heilstätten (ab 12:01),Berlin-Charlottenburg
12:48,RE 73728,Magdeburg Hbf (ab 11:12),Berlin-Charlottenburg
13:12,RE 3118,Hennigsdorf(b Berlin) (ab 12:34),Berlin-Charlottenburg
13:35 (+12),RE 3720,Beelitz-Heilstätten (ab 13:01),Berlin-Charlottenburg
13:48,RE 73730,Magdeburg Hbf (ab 12:12),Berlin-Charlottenburg
14:10,RE 73735,Frankfurt(Oder) (ab 12:55),Berlin-Charlottenburg
14:12,RE 3120,Hennigsdorf(b Berlin) (ab 13:34),Berlin-Charlottenburg
14:35 (+23),RE 3722,Beelitz-Heilstätten (ab 14:01),Berlin-Charlottenburg
14:46,RE 3121,Lübbenau(Spreewald) (ab 13:27),Berlin-Charlottenburg
14:48,RE 73732,Magdeburg Hbf (ab 13:12),Berlin-Charlottenburg
15:10,RE 73737,Frankfurt(Oder) (ab 13:55),Berlin-Charlottenburg
15:12,RE 3122,Hennigsdorf(b Berlin) (ab 14:34),Berlin-Charlottenburg
15:23,RE 3727,Senftenberg (ab 13:14),Berlin-Charlottenburg
15:35 (+19),RE 3724,Beelitz-Heilstätten (ab 15:01),Berlin-Charlottenburg
15:46,RE 3123,Lübbenau(Spreewald) (ab 14:27),Berlin-Charlottenburg
15:48,RE 73734,Magdeburg Hbf (ab 14:12),Berlin-Charlottenburg
16:10,RE 73739,Eisenhüttenstadt (ab 14:36),Berlin-Charlottenburg
16:12,RE 3124,Hennigsdorf(b Berlin) (ab 15:34),Berlin-Charlottenburg
16:23,RE 3729,Troisvierges (ab 04:35),Berlin-Charlottenburg
16:35 (+16),RE 3726,Beelitz-Heilstätten (ab 16:01),Berlin-Charlottenburg
16:46,RE 3125,Lübbenau(Spreewald) (ab 15:27),Berlin-Charlottenburg
16:48,RE 73736,Magdeburg Hbf (ab 15:12),Berlin-Charlottenburg
17:01,RE 18761,Lübbenau(Spreewald) (ab 15:46),Berlin-Charlottenburg
17:23,RE 3731,Senftenberg (ab 15:14),Berlin-Charlottenburg
17:35 (+9),RE 3728,Beelitz-Heilstätten (ab 17:01),Berlin-Charlottenburg
17:46,RE 3127,Lübbenau(Spreewald) (ab 16:27),Berlin-Charlottenburg
17:48,RE 73738,Magdeburg Hbf (ab 16:12),Berlin-Charlottenburg
18:12,RE 3128,Hennigsdorf(b Berlin) (ab 17:34),Berlin-Charlottenburg
18:23 (+10),RE 3733,Senftenberg (ab 16:14),Berlin-Charlottenburg
18:35 (+9),RE 3730,Beelitz-Heilstätten (ab 18:01),Berlin-Charlottenburg
18:46,RE 3129,Lübbenau(Spreewald) (ab 17:27),Berlin-Charlottenburg
18:48,RE 73740,Magdeburg Hbf (ab 17:12),Berlin-Charlottenburg
19:01,RE 18765,Lübbenau(Spreewald) (ab 17:46),Berlin-Charlottenburg
19:10,RE 73745,Cottbus Hbf (ab 16:56),Berlin-Charlottenburg
19:12,RE 3130,Hennigsdorf(b Berlin) (ab 18:35),Berlin-Charlottenburg
19:23,RE 3735,Senftenberg (ab 17:14),Berlin-Charlottenburg
19:35 (+19),RE 3732,Beelitz-Heilstätten (ab 19:01),Berlin-Charlottenburg
19:46,RE 3131,Lübbenau(Spreewald) (ab 18:27),Berlin-Charlottenburg
19:48,RE 73742,Magdeburg Hbf (ab 18:12),Berlin-Charlottenburg
20:10,RE 73747,Eisenhüttenstadt (ab 18:36),Berlin-Charlottenburg
20:12 (+33),RE 3132,Hennigsdorf(b Berlin) (ab 19:34),Berlin-Charlottenburg
