Ankunft,Zugnr.,von (Abfahrt),Ankunftsbhf.
00:29 (+15),ICE 276,Brig (ab 13:45),Berlin Ostbahnhof
00:36 (+1),ICE 947,Köln Hbf (ab 19:27),Berlin Ostbahnhof
05:26,RE 73753,Brandenburg Hbf (ab 04:17),Berlin Ostbahnhof
05:36,RE 2,Berlin Ostkreuz (ab 00:33),Berlin Ostbahnhof
06:10,RE 73760,Berlin Ostkreuz (ab 06:07),Berlin Ostbahnhof
06:36,RE 3104,Hennigsdorf(b Berlin) (ab 05:35),Berlin Ostbahnhof
06:46,RE 73755,Brandenburg Hbf (ab 05:44),Berlin Ostbahnhof
06:56,RE 3706,Dessau Hbf (ab 05:05),Berlin Ostbahnhof
07:04,ICE 1272,Frankfurt(Main)Hbf (ab 23:35),Berlin Ostbahnhof
07:10,RE 73762,Berlin Ostkreuz (ab 07:07),Berlin Ostbahnhof
07:23,RE 91435,Berlin Ostkreuz (ab 07:20),Berlin Ostbahnhof
07:36,RB 91434,Hennigsdorf(b Berlin) (ab 06:35),Berlin Ostbahnhof
07:36,RE 3106,Hennigsdorf(b Berlin) (ab 06:35),Berlin Ostbahnhof
07:46,RE 73757,Brandenburg Hbf (ab 06:44),Berlin Ostbahnhof
08:10,RE 73764,Berlin Ostkreuz (ab 08:07),Berlin Ostbahnhof
08:36,RE 3108,Hennigsdorf(b Berlin) (ab 07:35),Berlin Ostbahnhof
08:46,RE 73759,Brandenburg Hbf (ab 07:44),Berlin Ostbahnhof
09:04 (+1),ICE 841,Hannover Hbf (ab 06:50),Berlin Ostbahnhof
09:10,RE 73766,Berlin Ostkreuz (ab 09:07),Berlin Ostbahnhof
09:23,RE 91442,Berlin Ostkreuz (ab 09:20),Berlin Ostbahnhof
09:28,ICE 541,Köln Hbf (ab 04:25),Berlin Ostbahnhof
09:36,RE 3110,Hennigsdorf(b Berlin) (ab 08:35),Berlin Ostbahnhof
09:46,RE 73761,Brandenburg Hbf (ab 08:44),Berlin Ostbahnhof
09:51,ICE 2838,Kassel-Wilhelmshöhe (ab 06:45),Berlin Ostbahnhof
09:51,ICE 676,Kassel-Wilhelmshöhe (ab 06:45),Berlin Ostbahnhof
10:10,RE 73768,Berlin Ostkreuz (ab 10:07),Berlin Ostbahnhof
10:29 (+10),ICE 843,Köln Hbf (ab 05:26),Berlin Ostbahnhof
10:36,RB 91445,Hennigsdorf(b Berlin) (ab 09:35),Berlin Ostbahnhof
10:36,RE 3112,Hennigsdorf(b Berlin) (ab 09:35),Berlin Ostbahnhof
10:46,RE 73763,Brandenburg Hbf (ab 09:44),Berlin Ostbahnhof
10:49 (+2),ICE 996,Kassel-Wilhelmshöhe (ab 07:49),Berlin Ostbahnhof
11:10,RE 73770,Berlin Ostkreuz (ab 11:07),Berlin Ostbahnhof
11:23,RB 91468,Berlin Ostkreuz (ab 11:20),Berlin Ostbahnhof
11:28 (+43),ICE 543,Köln Hbf (ab 06:25),Berlin Ostbahnhof
11:36,RE 3114,Hennigsdorf(b Berlin) (ab 10:35),Berlin Ostbahnhof
11:46,RE 73765,Brandenburg Hbf (ab 10:44),Berlin Ostbahnhof
12:10,RE 73772,Berlin Ostkreuz (ab 12:07),Berlin Ostbahnhof
12:28 (+11),ICE 845,Köln Hbf (ab 07:27),Berlin Ostbahnhof
12:36,RB 91492,Hennigsdorf(b Berlin) (ab 11:35),Berlin Ostbahnhof
12:36,RE 3116,Hennigsdorf(b Berlin) (ab 11:35),Berlin Ostbahnhof
12:39 (+23),IC 2035,Norddeich (ab 05:39),Berlin Ostbahnhof
12:46,RE 73767,Brandenburg Hbf (ab 11:44),Berlin Ostbahnhof
12:50,ICE 994,Stuttgart Hbf (ab 06:36),Berlin Ostbahnhof
13:10,RE 73774,Berlin Ostkreuz (ab 13:07),Berlin Ostbahnhof
13:28,ICE 545,Köln Hbf (ab 08:25),Berlin Ostbahnhof
13:36,RE 3118,Hennigsdorf(b Berlin) (ab 12:35),Berlin Ostbahnhof
13:46,RE 73769,Brandenburg Hbf (ab 12:44),Berlin Ostbahnhof
14:09,RE 73776,Berlin Ostkreuz (ab 14:06),Berlin Ostbahnhof
14:28 (+11),ICE 847,Köln Hbf (ab 09:27),Berlin Ostbahnhof
14:36,RB 91496,Hennigsdorf(b Berlin) (ab 13:35),Berlin Ostbahnhof
14:36,RE 3120,Hennigsdorf(b Berlin) (ab 13:35),Berlin Ostbahnhof
14:46,RE 73771,Brandenburg Hbf (ab 13:44),Berlin Ostbahnhof
14:49 (+1),ICE 992,Frankfurt(M) Flughafen Fernbf (ab 10:09),Berlin Ostbahnhof
15:10,RE 73778,Berlin Ostkreuz (ab 15:07),Berlin Ostbahnhof
15:28 (+6),ICE 547,Köln Hbf (ab 10:24),Berlin Ostbahnhof
15:36,RB 91498,Hennigsdorf(b Berlin) (ab 14:35),Berlin Ostbahnhof
15:36,RE 3122,Hennigsdorf(b Berlin) (ab 14:35),Berlin Ostbahnhof
15:46,RE 73773,Brandenburg Hbf (ab 14:44),Berlin Ostbahnhof
16:29 (+1),ICE 849,Köln Hbf (ab 11:28),Berlin Ostbahnhof
16:36,RE 3124,Hennigsdorf(b Berlin) (ab 15:35),Berlin Ostbahnhof
16:36,RE 91500,Hennigsdorf(b Berlin) (ab 15:35),Berlin Ostbahnhof
16:46,RE 73775,Brandenburg Hbf (ab 15:44),Berlin Ostbahnhof
16:49,ICE 798,Karlsruhe Hbf (ab 10:40),Berlin Ostbahnhof
