Ankunft ▼,Ist ▼,Zugnr. ▼,von (Abfahrt) ▼,Gleis ▼
00:01,00:01,RE 73795,Berlin-Charlottenburg (ab 00:06),
00:07 (+4),00:11,ICE 901,Hamburg-Altona (ab 21:26),2
00:09,00:09,RE 3139,Rudersberg-Oberndorf (ab 09:49),4
00:22,00:22,FEX,Blankenfelde(Teltow-Fläming) (ab 23:11),
00:28,00:28,RE 73826,Frankfurt(Oder) (ab 23:07),1
00:33 (+2),00:35,RE 3745,Senftenberg (ab 22:26),3
00:33,00:33,RE 7,Berlin Ostkreuz (ab 00:12),
00:38 (+2),00:40,ICE 947,Köln Hbf (ab 19:27),1
01:01,01:01,RE 91367,Frankfurt(Oder) (ab 23:32),
01:09,01:09,FEX,Berlin Ostkreuz (ab 00:00),
01:09,01:09,RE 2,Herne-Wanne-Eickel Hbf (ab 00:04),
01:09,01:09,RE 3141,Cottbus Hbf (ab 23:01),4
01:15,01:15,RE 93994,Potsdam Hbf (ab 00:53),
01:23 (+114),03:17,ICE 1707,Hamburg-Altona (ab 22:34),2
01:36,01:36,RB 21969,Berlin-Charlottenburg (ab 01:33),2
04:04 (+9),04:13,ICE 646,Berlin Ostbahnhof (ab 03:48),4
05:32,05:32,ICE 946,Berlin Ostbahnhof (ab 05:08),3
06:22 (+54),07:16,EC 430,Opalenica (ab 03:43),4
06:42,06:42,ICE 1272,Frankfurt(Main)Hbf (ab 23:04),1
07:18,07:18,RE 3106,Hennigsdorf(b Berlin) (ab 06:35),1
07:45,07:45,ICE 649,Hannover Hbf (ab 05:30),2
08:11,08:11,ICE 851,Hannover Hbf (ab 05:46),1
08:38 (+13),08:51,RE 3710,Dessau Hbf (ab 07:05),2
08:51,08:51,RE 94719,Berlin-Wannsee (ab 08:39),
09:18,09:18,RE 3110,Hennigsdorf(b Berlin) (ab 08:35),1
09:38 (+5),09:43,RE 3712,Dessau Hbf (ab 08:05),1
09:42,09:42,RE 3111,Cottbus Hbf (ab 08:04),4
09:51,09:51,RE 94721,Berlin-Wannsee (ab 09:39),
09:57,09:57,RB 18150,Berlin Ostbahnhof (ab 09:39),
10:03,10:03,RB 18149,Potsdam Griebnitzsee (ab 09:46),1
10:07,10:07,RE 94726,Frankfurt(Oder) (ab 08:38),
10:18,10:18,RE 3112,Hennigsdorf(b Berlin) (ab 09:35),1
10:20 (+13),10:33,RE 3717,Senftenberg (ab 08:14),3
10:29,10:29,RE 94763,Potsdam Hbf (ab 10:10),
10:29,10:29,RE 94768,Frankfurt(Oder) (ab 09:08),
10:38 (+5),10:43,RE 3714,Dessau Hbf (ab 09:05),2
10:42,10:42,RE 3113,Cottbus Hbf (ab 09:03),4
10:51,10:51,RE 93724,Berlin-Wannsee (ab 10:39),
11:07,11:07,RE 94728,Frankfurt(Oder) (ab 09:38),
11:18 (+20),11:38,RE 3114,Hennigsdorf(b Berlin) (ab 10:35),1
11:20 (+8),11:28,RE 3719,Senftenberg (ab 09:14),3
11:29,11:29,RE 94765,Potsdam Hbf (ab 11:10),
11:29,11:29,RE 94770,Frankfurt(Oder) (ab 10:07),
11:38 (+6),11:44,RE 3716,Dessau Hbf (ab 10:05),2
11:42,11:42,RE 3115,Cottbus Hbf (ab 10:03),4
11:51,11:51,RE 93726,Berlin-Wannsee (ab 11:39),
12:07,12:07,RE 94730,Frankfurt(Oder) (ab 10:38),
12:18,12:18,RE 3116,Hennigsdorf(b Berlin) (ab 11:35),1
12:20,12:20,RE 3721,Senftenberg (ab 10:14),3
12:29,12:29,RE 94767,Potsdam Hbf (ab 12:10),
12:38 (+1),12:39,RE 3718,Dessau Hbf (ab 11:05),2
12:42,12:42,RE 3117,Cottbus Hbf (ab 11:03),4
12:46 (+144),15:10,IC 2035,Norddeich (ab 05:39),2
13:07,13:07,RE 94732,Frankfurt(Oder) (ab 11:38),
13:18,13:18,RE 3118,Hennigsdorf(b Berlin) (ab 12:35),1
13:20 (+12),13:32,RE 3723,Senftenberg (ab 11:14),3
13:29,13:29,RE 94769,Potsdam Hbf (ab 13:10),2
13:29,13:29,RE 94774,Frankfurt(Oder) (ab 12:07),4
