Abfahrt,Zugnr.,nach (Ankunft),Gleis
00:29,RE 62038,Berlin Hbf (an 00:36),3
00:58,RE 3165,Rathenow (an 01:54),
03:08,RE 62090,Wustermark (an 03:33),4
04:23,RB 18241,Dallgow-Döberitz (an 04:37),
04:30,RE 62001,Elstal (an 04:49),4
04:41,RE 62040,Elsterwerda (an 06:29),
04:53,RB 62094,Dallgow-Döberitz (an 05:09),
05:00,RE 3145,Stendal Hbf (an 06:13),4
05:03,RE 3144,Jüterbog (an 05:58),
05:23,RB 18243,Werder(Havel) (an 06:17),4
05:28,RE 62000,Elsterwerda (an 07:15),3
05:33,RE 62003,Elstal (an 05:53),4
05:34,RB 18240,Berlin Gesundbrunnen (an 05:40),3
06:00,RE 3164,Jüterbog (an 06:54),3
06:00,RE 3167,Stendal Hbf (an 07:13),4
06:07,RB 62051,Rangsdorf (an 06:38),3
06:23,RB 18245,Werder(Havel) (an 07:21),4
06:28,RE 62002,Elsterwerda (an 08:31),3
06:30,RE 62005,Elstal (an 06:49),4
06:34,RB 18242,Berlin Gesundbrunnen (an 06:40),3
06:59,RE 3146,Falkenberg(Elster) (an 08:44),3
07:00,RE 3147,Rathenow (an 07:52),4
07:07,RB 62053,Rangsdorf (an 07:38),3
07:23,RB 18247,Werder(Havel) (an 08:17),4
07:28 (+7),RE 62004,Elsterwerda (an 09:14),3
07:34,RE 62007,Elstal (an 07:53),4
07:40 (+1),RB 18244,Berlin Gesundbrunnen (an 07:48),3
08:00 (+9),RE 3166,Jüterbog (an 08:54),3
08:00,RE 3169,Stendal Hbf (an 09:30),4
08:07,RB 62055,Berlin Südkreuz (an 08:21),3
08:28,RE 62006,Elsterwerda (an 10:31),3
08:30,RE 62009,Elstal (an 08:49),4
08:33 (+4),RB 18246,Berlin Gesundbrunnen (an 08:40),3
08:53,RB 62056,Wustermark (an 09:18),4
08:59,RE 3148,Falkenberg(Elster) (an 10:44),3
09:00,RE 3149,Rathenow (an 09:54),4
09:07,RB 62057,Berlin Südkreuz (an 09:21),3
09:22,RB 18251,Werder(Havel) (an 10:17),4
09:28,RE 62008,Baruth(Mark) (an 10:36),3
09:33,RB 18248,Berlin Gesundbrunnen (an 09:40),3
09:36,RE 62011,Elstal (an 09:55),4
10:00,RE 3168,Jüterbog (an 10:54),3
10:00,RE 3171,Stendal Hbf (an 11:30),4
10:07,RB 62059,Berlin Südkreuz (an 10:22),3
10:25 (+9),RE 62010,Elsterwerda (an 12:31),3
10:30,RE 62013,Elstal (an 10:49),4
